game_year,hit_direction,bb_type,bips,total_level,share,below_floor,n_la,min_la,max_la,mu_la,std_la,p5_la,p95_la,n_ev,min_ev,max_ev,mu_ev,std_ev,p5_ev,p95_ev,n_dist,min_dist,max_dist,mu_dist,std_dist,p5_dist,p95_dist
2025,Straightaway,fly_ball,349,994,0.351,False,349,22.0,64.0,35.467,9.032,24.0,54.0,349,62.9,110.4,92.659,10.799,72.04,106.96,348,182.0,445.0,325.279,64.676,219.7,417.0
2025,Straightaway,ground_ball,322,994,0.324,False,319,-74.0,51.0,-9.379,16.468,-43.0,8.0,318,34.2,112.3,87.525,16.424,58.04,107.215,319,0.0,182.0,41.241,45.129,2.0,138.0
2025,Straightaway,line_drive,297,994,0.299,False,297,4.0,37.0,16.724,5.479,8.0,25.2,297,54.1,113.8,93.813,11.758,73.4,108.12,296,77.0,424.0,265.922,74.841,152.5,377.75
2025,Straightaway,popup,26,994,0.026,False,26,20.0,71.0,58.385,10.771,42.5,69.75,26,30.2,102.8,78.219,15.289,58.1,99.05,26,58.0,231.0,155.423,40.63,86.25,213.5
2026,Oppo,fly_ball,378,1164,0.325,False,378,21.0,65.0,39.177,10.36,24.85,59.0,378,62.4,110.7,89.291,8.772,72.38,102.215,378,177.0,408.0,291.897,55.162,198.7,381.15
2026,Oppo,ground_ball,333,1164,0.286,False,331,-90.0,18.0,-12.792,20.933,-55.5,9.0,331,19.9,109.3,79.621,20.188,38.4,103.1,331,0.0,164.0,36.317,40.393,1.5,122.0
2026,Oppo,line_drive,293,1164,0.252,False,293,3.0,29.0,16.816,5.321,8.0,25.4,293,55.4,109.5,91.068,10.146,70.84,103.6,293,78.0,380.0,248.952,62.939,143.2,338.4
2026,Oppo,popup,160,1164,0.137,False,160,26.0,87.0,68.8,10.416,50.95,82.05,160,28.7,93.4,76.495,11.392,55.1,91.9,160,13.0,221.0,110.662,51.174,26.95,182.0
2026,Pull,fly_ball,293,1783,0.164,False,292,0.0,60.0,35.182,9.043,24.0,51.45,292,64.0,113.0,94.973,10.547,73.975,109.1,290,47.0,464.0,337.807,63.944,224.8,423.55
2026,Pull,ground_ball,1071,1783,0.601,False,1067,-87.0,26.0,-13.198,17.856,-51.0,7.0,1067,28.7,111.6,87.013,14.351,61.08,105.5,1066,0.0,167.0,30.179,35.973,2.0,115.0
2026,Pull,line_drive,364,1783,0.204,False,363,5.0,30.0,16.372,5.337,8.0,25.0,363,59.6,113.5,95.966,10.622,76.6,109.89,363,90.0,412.0,251.868,72.377,145.1,367.9
2026,Pull,popup,55,1783,0.031,False,55,30.0,88.0,66.727,11.772,47.7,84.6,55,24.9,102.7,79.795,14.651,50.95,95.16,55,8.0,226.0,120.4,60.454,23.2,194.3
2026,Straightaway,fly_ball,328,955,0.343,False,328,19.0,61.0,35.195,8.723,24.0,53.0,328,60.4,112.6,93.052,9.27,74.97,105.765,328,190.0,459.0,331.558,58.109,226.35,411.65
2026,Straightaway,ground_ball,296,955,0.31,False,292,-79.0,39.0,-12.644,19.951,-60.0,9.0,292,29.4,111.1,87.503,16.709,56.17,106.245,292,0.0,154.0,34.856,41.297,1.0,134.0
2026,Straightaway,line_drive,302,955,0.316,False,302,2.0,30.0,16.192,5.593,7.0,25.0,302,43.5,112.1,93.504,11.198,75.5,107.79,302,56.0,419.0,258.526,77.708,136.25,383.95
2026,Straightaway,popup,29,955,0.03,False,29,45.0,78.0,61.414,8.39,50.0,76.4,29,42.1,92.1,74.486,13.348,49.86,89.62,29,44.0,233.0,137.828,45.271,59.2,203.6
