family,check,status,expected,got
C,in-zone decomposition zone_row=Down (pull),PASS,-1.4551291744005803,-1.455129174
C,in-zone decomposition zone_row=Middle (pull),PASS,-1.355185615628765,-1.355185616
C,in-zone decomposition zone_row=Up (pull),PASS,-1.3082458037433244,-1.308245804
C,in-zone decomposition zone_col=Inside (pull),PASS,-1.5166704862577394,-1.516670486
C,in-zone decomposition zone_col=Middle (pull),PASS,-1.5661115255695832,-1.566111526
C,in-zone decomposition zone_col=Outside (pull),PASS,-1.5269949684617923,-1.526994968
C,zone_row slices partition 2026 in-zone BIP,PASS,379,379
C,zone_col slices partition 2026 in-zone BIP,PASS,379,379
C,PM-1a chi-square recomputed,PASS,81.04747717001784,81.047477
C,PM-1a total-variation distance recomputed,PASS,0.05651386530843238,0.056513865
C,PM-1a 2026 n recomputed,PASS,2356,2356
C,PM-1b chi-square recomputed,PASS,7.288494079160151,7.288494
C,PM-1b total-variation distance recomputed,PASS,0.030603754444765797,0.030603754
C,PM-1b 2026 n recomputed,PASS,1109,1109
C,PM-1c chi-square recomputed,PASS,72.82529521555847,72.825295
C,PM-1c total-variation distance recomputed,PASS,0.08196064876625411,0.081960649
C,PM-1c 2026 n recomputed,PASS,1247,1247
C,DC-1 baseline slg_bip recomputed [all BIP],PASS,0.5781476121562953,0.578147612
C,DC-1 current slg_bip recomputed [all BIP],PASS,0.5044444444444445,0.504444444
C,DC-1 mix effect recomputed [all BIP],PASS,-0.016999079653821525,-0.01699908
C,DC-1 rate effect recomputed [all BIP],PASS,-0.058711996311833325,-0.058711996
C,DC-1 identity closes: gap = mix + rate + interaction [all BIP],PASS,-0.07370316771185081,-0.07370316771185081
C,DC-1 current slg_bip equals raw TB/BIP [all BIP],PASS,0.5044444444444445,0.504444444
C,DC-1 baseline slg_bip recomputed [in-zone BIP],PASS,0.6217162872154116,0.621716287
C,DC-1 current slg_bip recomputed [in-zone BIP],PASS,0.5145118733509234,0.514511873
C,DC-1 mix effect recomputed [in-zone BIP],PASS,-0.021663698798973008,-0.021663699
C,DC-1 rate effect recomputed [in-zone BIP],PASS,-0.09243452746334668,-0.092434527
C,DC-1 identity closes: gap = mix + rate + interaction [in-zone BIP],PASS,-0.1072044138644882,-0.1072044138644882
C,DC-1 current slg_bip equals raw TB/BIP [in-zone BIP],PASS,0.5145118733509234,0.514511873
C,slg_bip in-zone 2023 Oppo,PASS,117/0.4188034188034188,117
C,slg_bip in-zone 2023 Pull,PASS,185/0.8810810810810811,185
C,slg_bip in-zone 2023 Straightaway,PASS,89/0.5168539325842697,89
C,slg_bip in-zone 2024 Oppo,PASS,86/0.3953488372093023,86
C,slg_bip in-zone 2024 Pull,PASS,177/0.7853107344632768,177
C,slg_bip in-zone 2024 Straightaway,PASS,75/0.48,75
C,slg_bip in-zone 2025 Oppo,PASS,134/0.5223880597014925,134
C,slg_bip in-zone 2025 Pull,PASS,181/0.6298342541436464,181
C,slg_bip in-zone 2025 Straightaway,PASS,98/0.6020408163265306,98
C,slg_bip in-zone 2026 Oppo,PASS,133/0.42857142857142855,133
C,slg_bip in-zone 2026 Pull,PASS,152/0.631578947368421,152
C,slg_bip in-zone 2026 Straightaway,PASS,94/0.44680851063829785,94
C,RC-1 = runs_created / PA * 600 for every context row,PASS,0,0
C,context pool respects the 50-PA repo floor,PASS,0,0
C,context pool contains all four Turner seasons,PASS,4,4
C,Turner 2026 is flagged as the subject row,PASS,True,True
C,Turner 2026 RC/600 is the lowest of his four Phillies seasons,PASS,53.503184713375795,53.503184713375795
C,Turner 2026 barrel rate is NOT the lowest of his four seasons (the down year is not a barrel-rate story),PASS,< 0.064,0.058
C,O-8 subject exposure recomputed,PASS,1,1
D,coordinate convention: median loc_x for Pull is negative (RHB),PASS,< 0,-66.26
D,coordinate convention: median loc_x for Oppo is positive (RHB),PASS,> 0,103.77
D,"direction vocabulary is closed — no ""not grouped"" rows shipped",PASS,Pull/Straightaway/Oppo,"['Oppo', 'Pull', 'Straightaway']"
D,NULL-zone rows excluded from the BIP frame entirely,PASS,none,ok
D,entity lock: pitch frame is a strict superset of the BIP frame,PASS,subset,ok
D,pitch_uid is unique at the pitch grain,PASS,9485,9485
D,BIP frame carries no untracked hit coordinates,PASS,none,ok
D,"subject is 100% right-handed in this window — L branch untested, as disclosed",PASS,R,['R']
D,every BIP row is regular season (game_type filtered upstream),PASS,1832,1832
E,dashboard embeds the payload inline (no runtime fetch),PASS,payload literal,found
E,payload BIP count matches the shipped extract,PASS,1832,1832
E,payload context count matches the shipped extract,PASS,65,65
E,payload rate rows match the shipped extract,PASS,12,12
E,payload carries the parallel non-contact arrays at equal length,PASS,1,[7649]
E,payload declares version 1.1.0 and its parent,PASS,1.1.0 / dp_uc42 v1.0.0,1.1.0 / dp_uc42 v1.0.0
E,payload entity lock is the confirmed MLBAM id,PASS,607208,607208
E,every element the dashboard script addresses exists in its markup,PASS,none missing,[]
E,dashboard references no external host (vendor-don't-CDN rule),PASS,no external src/href,[]
F,report states the receipt value for outside-zone pull rate 2026,PASS,39.4%,present
F,report states the receipt value for outside-zone pull rate pooled,PASS,43.3%,present
F,report states the receipt value for in-zone pull rate 2026,PASS,40.1%,present
F,report states the receipt value for in-zone pull rate pooled,PASS,47.5%,present
F,report states the receipt value for in-zone oppo rate 2026,PASS,35.1%,present
F,report states the receipt value for in-zone oppo rate pooled,PASS,29.5%,present
F,report states the receipt value for in-zone pull z,PASS,−2.52,present
F,report states the receipt value for in-zone oppo z,PASS,+2.04,present
F,report states the receipt value for outside pull z,PASS,−0.58,present
F,report states the receipt value for BIP volume,PASS,"1,832",present
F,report states the receipt value for pitch volume,PASS,"9,485",present
F,report states the receipt value for context pool size,PASS,65,present
F,report states the receipt value for PM-1b chi-square,PASS,7.3,present
F,report states the receipt value for PM-1c chi-square,PASS,72.8,present
F,report states the receipt value for PM-1a chi-square,PASS,81.0,present
F,report states the receipt value for DC-1 baseline slg_bip,PASS,.622,present
F,report states the receipt value for DC-1 current slg_bip,PASS,.515,present
F,report states the receipt value for DC-1 mix share,PASS,20%,present
F,report states the receipt value for DC-1 rate share,PASS,86%,present
F,report states the receipt value for subject RC/600,PASS,53.5,present
F,report states the receipt value for subject barrel rate,PASS,.064,present
F,report states the receipt value for peer RC/600 at a lower barrel rate,PASS,87.1,present
F,report states the premise verdict explicitly,PASS,not supported,present
F,README states the receipt value for outside-zone pull rate 2026,PASS,39.4%,present
F,README states the receipt value for outside-zone pull rate pooled,PASS,43.3%,present
F,README states the receipt value for in-zone pull rate 2026,PASS,40.1%,present
F,README states the receipt value for in-zone pull rate pooled,PASS,47.5%,present
F,README states the receipt value for in-zone oppo rate 2026,PASS,35.1%,present
F,README states the receipt value for in-zone oppo rate pooled,PASS,29.5%,present
F,README states the receipt value for in-zone pull z,PASS,−2.52,present
F,README states the receipt value for BIP volume,PASS,"1,832",present
F,README states the receipt value for pitch volume,PASS,"9,485",present
F,README states the receipt value for DC-1 baseline slg_bip,PASS,.622,present
F,README states the receipt value for DC-1 current slg_bip,PASS,.515,present
F,README states the receipt value for DC-1 mix share,PASS,20%,present
F,README states the receipt value for DC-1 rate share,PASS,86%,present
F,README names the V-1 correction rather than silently fixing it,PASS,V-1 disclosed with the superseded figure,disclosed
F,dashboard markup states the receipt value for outside-zone pull rate 2026,PASS,39.4%,present
F,dashboard markup states the receipt value for outside-zone pull rate pooled,PASS,43.3%,present
F,dashboard markup states the receipt value for in-zone pull rate 2026,PASS,40.1%,present
F,dashboard markup states the receipt value for in-zone pull rate pooled,PASS,47.5%,present
F,dashboard markup states the receipt value for in-zone oppo rate 2026,PASS,35.1%,present
F,dashboard markup states the receipt value for in-zone oppo rate pooled,PASS,29.5%,present
F,dashboard markup states the receipt value for DC-1 mix share,PASS,20%,present
F,dashboard markup states the receipt value for DC-1 rate share,PASS,86%,present
F,report's stated harness size matches the harness that ran,PASS,155/155,verification 155/155 PASS
