player_name,game_year,games,pitches,plate_apps,woba,ops,hard_hit_rate,barrel_rate,runs_created,runs_created_per_600,bips,barrels,hard_hits,df_color,is_subject
"Marchán, Rafael",2024,15,195,56,0.375,0.888,0.3181818181818182,0.091,6,64.28571428571428,44.0,4,14.0,Context,False
"Marchán, Rafael",2025,39,459,119,0.259,0.579,0.2222222222222222,0.022,14,70.58823529411765,90.0,2,20.0,Context,False
"Marchán, Rafael",2026,29,362,92,0.143,0.312,0.1891891891891892,0.027,6,39.130434782608695,74.0,2,14.0,Context,False
"Marsh, Brandon",2023,130,1984,470,0.356,0.823,0.4867924528301887,0.091,61,77.87234042553192,265.0,24,129.0,Context,False
"Marsh, Brandon",2024,134,2007,478,0.324,0.743,0.4740740740740741,0.1,60,75.31380753138075,270.0,27,128.0,Context,False
"Marsh, Brandon",2025,126,1657,426,0.334,0.775,0.463768115942029,0.083,45,63.38028169014084,276.0,23,128.0,Context,False
"Marsh, Brandon",2026,138,1973,527,0.313,0.724,0.43526170798898073,0.083,64,72.86527514231499,363.0,30,158.0,Context,False
"Merrifield, Whit",2024,49,633,175,0.256,0.567,0.17391304347826086,0.029,12,41.142857142857146,138.0,4,24.0,Context,False
"Pache, Cristian",2023,36,382,95,0.317,0.732,0.4482758620689655,0.069,11,69.47368421052632,58.0,4,26.0,Context,False
"Pache, Cristian",2024,40,496,117,0.257,0.562,0.45161290322580644,0.032,10,51.282051282051285,62.0,2,28.0,Context,False
"Realmuto, J.T.",2023,135,2096,537,0.323,0.756,0.43258426966292135,0.112,66,73.74301675977654,356.0,40,154.0,Context,False
"Realmuto, J.T.",2024,99,1583,413,0.325,0.747,0.4659498207885305,0.104,49,71.1864406779661,279.0,29,130.0,Context,False
"Realmuto, J.T.",2025,134,2196,549,0.306,0.697,0.45478723404255317,0.088,54,59.01639344262295,376.0,33,171.0,Context,False
"Realmuto, J.T.",2026,108,1650,415,0.282,0.632,0.4070175438596491,0.053,47,67.95180722891565,285.0,15,116.0,Context,False
"Rincones Jr., Gabriel",2026,29,344,89,0.215,0.488,0.35714285714285715,0.089,7,47.19101123595505,56.0,5,20.0,Context,False
"Rojas, Johan",2023,45,561,165,0.321,0.754,0.2831858407079646,0.009,23,83.63636363636364,113.0,1,32.0,Context,False
"Rojas, Johan",2024,110,1329,363,0.26,0.595,0.2743682310469314,0.025,37,61.15702479338843,277.0,7,76.0,Context,False
"Rojas, Johan",2025,61,625,172,0.248,0.563,0.35294117647058826,0.034,19,66.27906976744187,119.0,4,42.0,Context,False
"Schwarber, Kyle",2023,160,3068,716,0.35,0.811,0.4879356568364611,0.164,106,88.8268156424581,373.0,61,182.0,Context,False
"Schwarber, Kyle",2024,150,2852,689,0.365,0.846,0.5546875,0.156,112,97.53265602322206,384.0,60,213.0,Context,False
"Schwarber, Kyle",2025,162,3059,719,0.39,0.918,0.5955882352941176,0.208,134,111.82197496522949,408.0,85,243.0,Context,False
"Schwarber, Kyle",2026,140,2689,629,0.372,0.873,0.4969512195121951,0.171,93,88.71224165341813,328.0,56,163.0,Context,False
"Sosa, Edmundo",2023,89,1126,300,0.306,0.715,0.32211538461538464,0.067,30,60.0,208.0,14,67.0,Context,False
"Sosa, Edmundo",2024,87,1050,275,0.315,0.727,0.41397849462365593,0.086,32,69.81818181818181,186.0,16,77.0,Context,False
"Sosa, Edmundo",2025,84,942,261,0.327,0.77,0.3802083333333333,0.062,39,89.65517241379311,192.0,12,73.0,Context,False
"Sosa, Edmundo",2026,75,855,232,0.291,0.671,0.39285714285714285,0.071,43,111.20689655172414,168.0,12,66.0,Context,False
"Stott, Bryson",2023,151,2665,639,0.321,0.744,0.3522267206477733,0.047,65,61.032863849765256,494.0,23,174.0,Context,False
"Stott, Bryson",2024,147,2307,569,0.295,0.669,0.3080568720379147,0.036,62,65.37785588752197,422.0,15,130.0,Context,False
"Stott, Bryson",2025,145,2466,562,0.312,0.712,0.2946859903381642,0.051,67,71.53024911032028,414.0,21,122.0,Context,False
"Stott, Bryson",2026,139,2259,545,0.317,0.718,0.37373737373737376,0.058,61,67.1559633027523,396.0,23,148.0,Context,False
"Stubbs, Garrett",2023,38,496,125,0.25,0.555,0.17647058823529413,0.0,12,57.6,85.0,0,15.0,Context,False
"Stubbs, Garrett",2024,52,746,187,0.256,0.555,0.09565217391304348,0.0,12,38.50267379679145,115.0,0,11.0,Context,False
"Stubbs, Garrett",2026,19,217,59,0.184,0.387,0.2558139534883721,0.0,3,30.508474576271187,43.0,0,11.0,Context,False
"Turner, Trea",2023,155,2675,692,0.332,0.773,0.42244897959183675,0.084,78,67.6300578034682,490.0,41,207.0,Context,False
"Turner, Trea",2024,121,2043,541,0.348,0.804,0.4068627450980392,0.069,63,69.87060998151571,408.0,28,166.0,Context,False
"Turner, Trea",2025,141,2407,641,0.35,0.807,0.4214876033057851,0.058,74,69.26677067082683,484.0,28,204.0,Context,False
"Turner, Trea",2026,141,2360,628,0.3,0.684,0.4,0.064,56,53.503184713375795,450.0,29,180.0,Trea Turner '26,True
"Wilson, Weston",2024,39,379,99,0.355,0.827,0.5,0.15,10,60.6060606060606,60.0,9,30.0,Context,False
"Wilson, Weston",2025,46,536,125,0.285,0.649,0.41025641025641024,0.103,17,81.60000000000001,78.0,8,32.0,Context,False
