batter,src,pitches,games,player
592663,taillon,33,3,"Realmuto, J.T."
592663,turnbull,14,1,"Realmuto, J.T."
592663,walker,77,8,"Realmuto, J.T."
592663,wheeler,68,7,"Realmuto, J.T."
592663,white-sox-of-25-26,3,2,"Realmuto, J.T."
607208,alcantara,126,12,"Turner, Trea"
607208,allard,13,1,"Turner, Trea"
607208,anderson,18,2,"Turner, Trea"
607208,banks,9,2,"Turner, Trea"
607208,bellatti,2,1,"Turner, Trea"
607208,buehler,73,6,"Turner, Trea"
607208,covey,13,1,"Turner, Trea"
607208,de_geus,4,1,"Turner, Trea"
607208,diekman,8,2,"Turner, Trea"
607208,duran,9,3,"Turner, Trea"
607208,eflin,10,1,"Turner, Trea"
607208,eickhoff,6,1,"Turner, Trea"
607208,estevez,26,7,"Turner, Trea"
607208,ferrer,12,4,"Turner, Trea"
607208,gore,86,7,"Turner, Trea"
607208,hamels,42,4,"Turner, Trea"
607208,hand,18,4,"Turner, Trea"
607208,hoffman,35,6,"Turner, Trea"
607208,joe_ross,3,1,"Turner, Trea"
607208,jruiz,26,5,"Turner, Trea"
607208,keller,32,4,"Turner, Trea"
607208,kelly,119,11,"Turner, Trea"
607208,kimbrel,12,2,"Turner, Trea"
607208,liberatore,32,5,"Turner, Trea"
607208,luzardo,40,4,"Turner, Trea"
607208,marlins-of-24-25,41,18,"Turner, Trea"
607208,mayza,8,1,"Turner, Trea"
607208,mikolas,79,8,"Turner, Trea"
607208,moore,18,2,"Turner, Trea"
607208,morton,75,7,"Turner, Trea"
607208,nats-of-23,27,12,"Turner, Trea"
607208,natsparker,15,1,"Turner, Trea"
607208,pallante,5,2,"Turner, Trea"
607208,pdodgers,83,5,"Turner, Trea"
607208,phils_2023,2883,168,"Turner, Trea"
607208,phils_2024,2121,125,"Turner, Trea"
607208,phils_2025,2479,145,"Turner, Trea"
607208,phils_2026,1845,113,"Turner, Trea"
607208,pop,16,2,"Turner, Trea"
607208,quantrill,21,2,"Turner, Trea"
607208,rea,30,4,"Turner, Trea"
607208,romano,10,2,"Turner, Trea"
607208,sale,36,3,"Turner, Trea"
607208,senzatela,44,5,"Turner, Trea"
607208,smith_shawver,4,1,"Turner, Trea"
607208,soto,11,1,"Turner, Trea"
607208,strahm,1,1,"Turner, Trea"
607208,strider,82,8,"Turner, Trea"
607208,taillon,74,6,"Turner, Trea"
607208,tigers-of-20-22,7,3,"Turner, Trea"
607208,trivino,5,1,"Turner, Trea"
607208,turner,15279,880,"Turner, Trea"
607208,walker,88,7,"Turner, Trea"
607208,wheeler,95,8,"Turner, Trea"
607208,white-sox-of-25-26,11,5,"Turner, Trea"
607208,yunior,31,6,"Turner, Trea"
624641,alcantara,14,2,"Sosa, Edmundo"
624641,buehler,12,1,"Sosa, Edmundo"
624641,de_geus,2,1,"Sosa, Edmundo"
624641,edmundo,1688,163,"Sosa, Edmundo"
624641,ferrer,5,1,"Sosa, Edmundo"
624641,giants-of-rangers-of-24,10,7,"Sosa, Edmundo"
624641,gore,50,6,"Sosa, Edmundo"
624641,hand,4,2,"Sosa, Edmundo"
624641,hoffman,10,2,"Sosa, Edmundo"
624641,joe_ross,8,1,"Sosa, Edmundo"
624641,josh_walker,2,1,"Sosa, Edmundo"
624641,jruiz,3,1,"Sosa, Edmundo"
624641,keller,14,2,"Sosa, Edmundo"
624641,kelly,34,3,"Sosa, Edmundo"
624641,kimbrel,6,2,"Sosa, Edmundo"
624641,liberatore,9,2,"Sosa, Edmundo"
624641,lord,3,1,"Sosa, Edmundo"
624641,luzardo,38,4,"Sosa, Edmundo"
624641,marlins-of-24-25,11,9,"Sosa, Edmundo"
624641,mayza,5,1,"Sosa, Edmundo"
624641,mikolas,9,1,"Sosa, Edmundo"
624641,nats-of-23,7,3,"Sosa, Edmundo"
624641,pdodgers,32,4,"Sosa, Edmundo"
624641,phils_2022,254,26,"Sosa, Edmundo"
624641,phils_2023,1130,90,"Sosa, Edmundo"
624641,phils_2024,1066,89,"Sosa, Edmundo"
624641,phils_2025,950,86,"Sosa, Edmundo"
624641,phils_2026,714,63,"Sosa, Edmundo"
624641,pop,3,1,"Sosa, Edmundo"
624641,price,2,1,"Sosa, Edmundo"
624641,quantrill,11,2,"Sosa, Edmundo"
624641,rea,17,2,"Sosa, Edmundo"
624641,romano,7,1,"Sosa, Edmundo"
624641,sale,35,3,"Sosa, Edmundo"
624641,strider,19,2,"Sosa, Edmundo"
624641,taillon,1,1,"Sosa, Edmundo"
624641,trivino,2,1,"Sosa, Edmundo"
624641,walker,4,1,"Sosa, Edmundo"
624641,white-sox-of-25-26,3,1,"Sosa, Edmundo"
624641,yunior,4,1,"Sosa, Edmundo"
656537,carlos_hernandez,10,2,"Hill, Derek"
656537,derek_hill,2636,233,"Hill, Derek"
656537,duran,7,2,"Hill, Derek"
656537,hand,7,1,"Hill, Derek"
656537,mayza,5,1,"Hill, Derek"
656537,mikolas,17,1,"Hill, Derek"
656537,phils_2026,289,23,"Hill, Derek"
656537,quantrill,5,1,"Hill, Derek"
656537,rios,11,3,"Hill, Derek"
656537,romano,6,2,"Hill, Derek"
656537,smith_shawver,8,1,"Hill, Derek"
656941,alcantara,159,13,"Schwarber, Kyle"
656941,allard,13,1,"Schwarber, Kyle"
656941,anderson,61,9,"Schwarber, Kyle"
656941,banks,8,2,"Schwarber, Kyle"
656941,bowlan,4,1,"Schwarber, Kyle"
656941,buehler,49,5,"Schwarber, Kyle"
656941,de_geus,8,1,"Schwarber, Kyle"
656941,diekman,3,1,"Schwarber, Kyle"
656941,duran,5,1,"Schwarber, Kyle"
656941,eflin,13,1,"Schwarber, Kyle"
656941,eickhoff,11,1,"Schwarber, Kyle"
656941,estevez,10,2,"Schwarber, Kyle"
656941,ferrer,32,7,"Schwarber, Kyle"
656941,giants-of-rangers-of-24,17,10,"Schwarber, Kyle"
656941,gore,87,8,"Schwarber, Kyle"
656941,hand,42,8,"Schwarber, Kyle"
656941,hoffman,28,3,"Schwarber, Kyle"
656941,jeanmar,13,3,"Schwarber, Kyle"
656941,joe_ross,8,1,"Schwarber, Kyle"
656941,josh_walker,4,1,"Schwarber, Kyle"
656941,jruiz,10,2,"Schwarber, Kyle"
656941,keller,40,4,"Schwarber, Kyle"
656941,kelly,70,6,"Schwarber, Kyle"
656941,kimbrel,28,5,"Schwarber, Kyle"
656941,liberatore,46,7,"Schwarber, Kyle"
656941,luzardo,45,4,"Schwarber, Kyle"
656941,marlins-of-24-25,34,19,"Schwarber, Kyle"
656941,mayza,30,8,"Schwarber, Kyle"
656941,mikolas,146,13,"Schwarber, Kyle"
656941,moore,11,3,"Schwarber, Kyle"
656941,morton,106,10,"Schwarber, Kyle"
656941,nats-of-23,19,10,"Schwarber, Kyle"
656941,natsparker,7,1,"Schwarber, Kyle"
656941,pallante,20,5,"Schwarber, Kyle"
656941,pdodgers,162,8,"Schwarber, Kyle"
656941,phils_2022,3211,172,"Schwarber, Kyle"
656941,phils_2023,3295,173,"Schwarber, Kyle"
656941,phils_2024,2936,154,"Schwarber, Kyle"
656941,phils_2025,3130,166,"Schwarber, Kyle"
656941,phils_2026,1925,102,"Schwarber, Kyle"
656941,pop,6,1,"Schwarber, Kyle"
656941,price,3,1,"Schwarber, Kyle"
656941,quantrill,80,6,"Schwarber, Kyle"
656941,rea,33,4,"Schwarber, Kyle"
656941,rios,5,1,"Schwarber, Kyle"
656941,romano,10,2,"Schwarber, Kyle"
656941,sale,31,3,"Schwarber, Kyle"
656941,schwarber,11449,697,"Schwarber, Kyle"
656941,senzatela,25,3,"Schwarber, Kyle"
656941,smith_shawver,6,1,"Schwarber, Kyle"
656941,soto,12,2,"Schwarber, Kyle"
656941,strahm,5,1,"Schwarber, Kyle"
656941,strider,127,12,"Schwarber, Kyle"
656941,taillon,91,9,"Schwarber, Kyle"
656941,tigers-of-20-22,4,1,"Schwarber, Kyle"
656941,trivino,9,2,"Schwarber, Kyle"
656941,turnbull,8,1,"Schwarber, Kyle"
656941,walker,91,8,"Schwarber, Kyle"
656941,wheeler,16,2,"Schwarber, Kyle"
656941,white-sox-of-25-26,8,3,"Schwarber, Kyle"
664761,alcantara,100,9,"Bohm, Alec"
664761,anderson,6,1,"Bohm, Alec"
664761,banks,6,2,"Bohm, Alec"
664761,buehler,9,1,"Bohm, Alec"
664761,carlos_hernandez,2,1,"Bohm, Alec"
664761,diekman,6,1,"Bohm, Alec"
664761,duran,5,1,"Bohm, Alec"
664761,eflin,10,1,"Bohm, Alec"
664761,enyel,4,2,"Bohm, Alec"
664761,estevez,27,6,"Bohm, Alec"
664761,ferrer,17,4,"Bohm, Alec"
664761,giants-of-rangers-of-24,14,8,"Bohm, Alec"
664761,gore,91,8,"Bohm, Alec"
664761,hand,14,3,"Bohm, Alec"
664761,joe_ross,24,3,"Bohm, Alec"
664761,jruiz,8,3,"Bohm, Alec"
664761,keller,10,1,"Bohm, Alec"
664761,kelly,26,3,"Bohm, Alec"
664761,kimbrel,4,1,"Bohm, Alec"
664761,lhvb25,81,5,"Bohm, Alec"
664761,liberatore,30,5,"Bohm, Alec"
664761,luzardo,49,6,"Bohm, Alec"
664761,marlins-of-24-25,39,19,"Bohm, Alec"
664761,mayza,1,1,"Bohm, Alec"
664761,mikolas,65,6,"Bohm, Alec"
664761,moore,9,2,"Bohm, Alec"
664761,morton,92,12,"Bohm, Alec"
664761,nats-of-23,18,8,"Bohm, Alec"
664761,natsparker,3,1,"Bohm, Alec"
664761,neris,8,2,"Bohm, Alec"
664761,pallante,18,3,"Bohm, Alec"
664761,pdodgers,50,4,"Bohm, Alec"
664761,phils_2020,661,44,"Bohm, Alec"
664761,phils_2021,1673,115,"Bohm, Alec"
664761,phils_2022,2518,169,"Bohm, Alec"
664761,phils_2023,2436,158,"Bohm, Alec"
664761,phils_2024,2161,147,"Bohm, Alec"
664761,phils_2025,1861,124,"Bohm, Alec"
664761,phils_2026,1579,111,"Bohm, Alec"
664761,pop,20,6,"Bohm, Alec"
664761,price,3,1,"Bohm, Alec"
664761,quantrill,12,1,"Bohm, Alec"
664761,rea,35,4,"Bohm, Alec"
664761,romano,31,7,"Bohm, Alec"
664761,sale,40,3,"Bohm, Alec"
664761,senzatela,10,1,"Bohm, Alec"
664761,smith_shawver,5,1,"Bohm, Alec"
664761,strider,80,11,"Bohm, Alec"
664761,taillon,32,4,"Bohm, Alec"
664761,trivino,5,1,"Bohm, Alec"
664761,walker,73,8,"Bohm, Alec"
664761,white-sox-of-25-26,7,3,"Bohm, Alec"
669016,alcantara,69,7,"Marsh, Brandon"
669016,allard,1,1,"Marsh, Brandon"
669016,banks,14,3,"Marsh, Brandon"
669016,buehler,33,2,"Marsh, Brandon"
669016,de_geus,5,1,"Marsh, Brandon"
669016,diekman,25,7,"Marsh, Brandon"
669016,duran,2,1,"Marsh, Brandon"
669016,eflin,12,1,"Marsh, Brandon"
669016,enyel,5,1,"Marsh, Brandon"
669016,estevez,23,3,"Marsh, Brandon"
669016,ferrer,13,3,"Marsh, Brandon"
669016,giants-of-rangers-of-24,9,4,"Marsh, Brandon"
669016,giles,4,1,"Marsh, Brandon"
669016,gore,17,2,"Marsh, Brandon"
669016,hand,9,2,"Marsh, Brandon"
669016,josh_walker,5,1,"Marsh, Brandon"
669016,jruiz,17,3,"Marsh, Brandon"
669016,keller,15,2,"Marsh, Brandon"
669016,kelly,29,4,"Marsh, Brandon"
669016,kimbrel,7,1,"Marsh, Brandon"
669016,lhvb25,94,6,"Marsh, Brandon"
669016,liberatore,18,3,"Marsh, Brandon"
669016,lord,6,1,"Marsh, Brandon"
669016,luzardo,15,2,"Marsh, Brandon"
669016,marlins-of-24-25,28,18,"Marsh, Brandon"
669016,marsh,2341,160,"Marsh, Brandon"
669016,mikolas,44,5,"Marsh, Brandon"
669016,moore,7,1,"Marsh, Brandon"
669016,morton,51,5,"Marsh, Brandon"
669016,nats-of-23,9,6,"Marsh, Brandon"
669016,neris,9,2,"Marsh, Brandon"
669016,pallante,17,5,"Marsh, Brandon"
669016,pdodgers,86,7,"Marsh, Brandon"
669016,phils_2022,709,56,"Marsh, Brandon"
669016,phils_2023,2149,142,"Marsh, Brandon"
669016,phils_2024,2059,138,"Marsh, Brandon"
669016,phils_2025,1716,130,"Marsh, Brandon"
669016,phils_2026,1587,110,"Marsh, Brandon"
669016,pop,3,2,"Marsh, Brandon"
669016,quantrill,35,4,"Marsh, Brandon"
669016,rea,9,3,"Marsh, Brandon"
669016,romano,18,5,"Marsh, Brandon"
669016,showard,18,2,"Marsh, Brandon"
669016,smith_shawver,8,1,"Marsh, Brandon"
669016,soto,4,1,"Marsh, Brandon"
669016,strahm,2,1,"Marsh, Brandon"
669016,strider,96,9,"Marsh, Brandon"
669016,taillon,42,5,"Marsh, Brandon"
669016,tigers-of-20-22,7,3,"Marsh, Brandon"
669016,trivino,29,6,"Marsh, Brandon"
669016,walker,13,1,"Marsh, Brandon"
669016,white-sox-of-25-26,14,6,"Marsh, Brandon"
681082,alcantara,103,9,"Stott, Bryson"
681082,banks,17,3,"Stott, Bryson"
681082,buehler,13,2,"Stott, Bryson"
681082,carlos_hernandez,5,1,"Stott, Bryson"
681082,diekman,3,1,"Stott, Bryson"
681082,eflin,10,1,"Stott, Bryson"
681082,enyel,4,1,"Stott, Bryson"
681082,estevez,4,2,"Stott, Bryson"
681082,ferrer,17,5,"Stott, Bryson"
681082,flyballs-citi-field-similar-to-dhill-robberinho,1,1,"Stott, Bryson"
681082,giants-of-rangers-of-24,17,9,"Stott, Bryson"
681082,gore,34,3,"Stott, Bryson"
681082,hand,16,3,"Stott, Bryson"
681082,josh_walker,7,1,"Stott, Bryson"
681082,jruiz,8,2,"Stott, Bryson"
681082,keller,13,3,"Stott, Bryson"
681082,kelly,36,4,"Stott, Bryson"
681082,kimbrel,4,1,"Stott, Bryson"
681082,liberatore,18,4,"Stott, Bryson"
681082,luzardo,39,4,"Stott, Bryson"
681082,marlins-of-24-25,47,24,"Stott, Bryson"
681082,mayza,4,2,"Stott, Bryson"
681082,mikolas,81,7,"Stott, Bryson"
681082,moore,12,2,"Stott, Bryson"
681082,morton,92,8,"Stott, Bryson"
681082,nats-of-23,13,9,"Stott, Bryson"
681082,natsparker,4,1,"Stott, Bryson"
681082,neris,2,1,"Stott, Bryson"
681082,pallante,25,4,"Stott, Bryson"
681082,pdodgers,118,8,"Stott, Bryson"
681082,phils_2022,2112,141,"Stott, Bryson"
681082,phils_2023,2881,164,"Stott, Bryson"
681082,phils_2024,2368,151,"Stott, Bryson"
681082,phils_2025,2518,149,"Stott, Bryson"
681082,phils_2026,1691,110,"Stott, Bryson"
681082,pop,11,4,"Stott, Bryson"
681082,quantrill,17,2,"Stott, Bryson"
681082,rea,33,4,"Stott, Bryson"
681082,romano,2,2,"Stott, Bryson"
681082,sale,7,1,"Stott, Bryson"
681082,smith_shawver,5,1,"Stott, Bryson"
681082,strider,129,12,"Stott, Bryson"
681082,taillon,29,3,"Stott, Bryson"
681082,white-sox-of-25-26,6,5,"Stott, Bryson"
687282,clwo26,67,4,"Rincones Jr., Gabriel"
687282,curet,14,1,"Rincones Jr., Gabriel"
687282,lhvb25,2012,119,"Rincones Jr., Gabriel"
687282,lhvo26,209,12,"Rincones Jr., Gabriel"
687282,phils_2026,309,25,"Rincones Jr., Gabriel"
702222,lhvb25,1938,111,"Crawford, Justin"
702222,phils_2026,1242,103,"Crawford, Justin"
702222,white-sox-of-25-26,3,2,"Crawford, Justin"
