game_year,p_throws,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,bips,fly_ball,ground_ball,line_drive,popup,gb_rate,fb_rate,ld_rate,pu_rate,tracked_bips,mean_la,median_la,mean_ev,hard_hits,hard_hit_rate,barrels,barrel_rate,xba_bip,xwobacon_bip,swings,swing_rate,whiffs,whiff_rate,ooz,chase_rate,in_zone_rate,z_pitches,swing_rate_in_zone,whiff_rate_in_zone,ooz_whiff_rate,in_zone_rate_fix,zone_null_rate,srfp,fpsr,total_pulls,pull_airs,pull_air_rate,pull_rate,tracked_swings,bat_speed_mu,swing_length_mu,attack_angle_mu,fast_swing_rate,below_floor
2020,L,64,264,56,21,8,8,0,8,0,11,4,2,4,48,0.375,0.4531,0.7321,1.1853,0.3571,0.125,0.125,0.3864,0.4889,48,9,14,18,7,0.2917,0.1875,0.375,0.1458,47,20.383,19.0,88.6,14,0.2917,3,0.0625,0.3376,0.3784,118,0.447,19,0.161,142,0.2817,0.4621,122,0.6393,0.1026,0.275,0.4621,0.0,0.2923,0.6308,16,7,0.1458,0.3333,0,,,,,False
2020,R,195,769,177,57,14,14,2,28,2,36,11,2,8,151,0.322,0.3744,0.5424,0.9167,0.2203,0.1436,0.0718,0.3427,0.3877,151,37,75,35,4,0.4967,0.245,0.2318,0.0265,149,6.1141,8.0,91.1081,67,0.4437,16,0.106,0.3378,0.3992,366,0.4759,76,0.2077,387,0.2687,0.4967,382,0.6859,0.145,0.3654,0.4967,0.0,0.2615,0.6462,57,19,0.1258,0.3775,0,,,,,False
2021,L,166,584,153,60,10,10,2,19,1,35,12,2,11,135,0.3922,0.4337,0.7124,1.1462,0.3203,0.1145,0.0602,0.3952,0.4774,135,29,59,38,9,0.437,0.2148,0.2815,0.0667,135,11.4222,11.0,91.7348,72,0.5333,11,0.0815,0.3707,0.4184,273,0.4675,50,0.1832,285,0.2281,0.512,299,0.6957,0.1298,0.3538,0.512,0.0,0.3892,0.6946,64,28,0.2074,0.4741,0,,,,,False
2021,R,478,1903,442,135,29,29,4,91,3,95,22,1,17,354,0.3054,0.3515,0.4751,0.8266,0.1697,0.1904,0.0607,0.3501,0.3545,354,86,164,82,22,0.4633,0.2429,0.2316,0.0621,352,11.3523,11.0,88.7483,154,0.435,25,0.0706,0.3472,0.3849,950,0.4992,231,0.2432,971,0.275,0.4898,932,0.7328,0.1611,0.4532,0.4898,0.0,0.3299,0.6555,146,58,0.1638,0.4124,0,,,,,False
2022,L,182,744,168,50,10,10,2,38,2,30,9,1,10,132,0.2976,0.3407,0.5417,0.8823,0.244,0.2088,0.0549,0.3279,0.3765,132,41,50,36,5,0.3788,0.3106,0.2727,0.0379,131,11.6718,18.0,89.8084,58,0.4394,16,0.1212,0.3868,0.4625,404,0.543,112,0.2772,403,0.3449,0.4583,341,0.7771,0.1811,0.4604,0.4583,0.0,0.4044,0.6503,69,37,0.2803,0.5227,0,,,,,False
2022,R,525,1976,484,144,34,34,1,93,4,100,30,3,11,395,0.2975,0.3423,0.4401,0.7823,0.1426,0.1771,0.0648,0.3464,0.3403,395,97,179,94,25,0.4532,0.2456,0.238,0.0633,393,9.916,11.0,88.6262,161,0.4076,24,0.0608,0.3153,0.3441,989,0.5005,254,0.2568,1064,0.3261,0.4615,912,0.7039,0.1449,0.464,0.4615,0.0,0.3365,0.6293,195,77,0.1949,0.4937,0,,,,,False
2023,L,205,797,188,43,14,14,2,41,1,24,10,0,9,148,0.2287,0.2878,0.4255,0.7133,0.1968,0.2,0.0683,0.2446,0.3067,148,53,58,29,8,0.3919,0.3581,0.1959,0.0541,148,14.4527,16.0,89.4655,54,0.3649,14,0.0946,0.3286,0.3917,407,0.5107,127,0.312,452,0.3341,0.4329,345,0.742,0.2031,0.4967,0.4329,0.0,0.3942,0.6298,75,29,0.1959,0.5068,0,,,,,False
2023,R,484,1878,451,127,29,29,4,109,0,80,25,5,17,342,0.2816,0.3306,0.4723,0.8029,0.1907,0.2252,0.0599,0.3385,0.3445,342,97,139,87,19,0.4064,0.2836,0.2544,0.0556,342,12.3977,14.0,90.0316,153,0.4474,27,0.0789,0.3363,0.3789,1014,0.5399,293,0.289,996,0.3614,0.4696,882,0.7415,0.1682,0.5083,0.4696,0.0,0.3856,0.6536,151,65,0.1901,0.4415,0,,,,,False
2024,L,169,679,153,46,13,13,2,29,1,28,10,0,8,124,0.3007,0.3609,0.5229,0.8838,0.2222,0.1716,0.0769,0.3248,0.3789,124,37,56,25,6,0.4516,0.2984,0.2016,0.0484,124,12.7339,14.0,90.7274,53,0.4274,11,0.0887,0.3294,0.395,362,0.5331,87,0.2403,359,0.3148,0.4713,320,0.7781,0.1406,0.4602,0.4713,0.0,0.3905,0.6036,66,25,0.2016,0.5323,312,70.5695,7.5075,,0.1731,False
2024,R,372,1364,354,103,14,14,4,69,0,75,15,0,13,284,0.291,0.3253,0.4435,0.7688,0.1525,0.1855,0.0376,0.3309,0.3337,284,71,136,62,15,0.4789,0.25,0.2183,0.0528,283,11.0,10.0,88.442,113,0.3979,17,0.0599,0.3075,0.3571,736,0.5396,200,0.2717,693,0.3521,0.4919,671,0.7332,0.1423,0.5328,0.4919,0.0,0.3898,0.6909,140,56,0.1972,0.493,689,69.7823,7.523,,0.1466,False
2025,L,204,773,189,61,13,13,2,32,0,46,8,3,4,157,0.3228,0.3725,0.4603,0.8329,0.1376,0.1569,0.0637,0.3725,0.3623,157,45,59,46,7,0.3758,0.2866,0.293,0.0446,157,15.293,16.0,90.6885,66,0.4204,6,0.0382,0.3309,0.3615,410,0.5304,85,0.2073,407,0.317,0.4735,366,0.7678,0.0854,0.4729,0.4735,0.0,0.3971,0.6373,66,29,0.1847,0.4204,388,70.0631,7.4814,7.85,0.2088,False
2025,R,437,1634,403,118,29,29,3,75,2,80,23,4,11,327,0.2928,0.3432,0.4516,0.7949,0.1588,0.1716,0.0664,0.3354,0.3439,327,67,175,71,14,0.5352,0.2049,0.2171,0.0428,327,6.1437,7.0,88.7015,138,0.422,22,0.0673,0.3167,0.3612,828,0.5067,222,0.2681,826,0.3075,0.4945,808,0.7104,0.1655,0.5,0.4945,0.0,0.3753,0.6316,149,54,0.1651,0.4557,789,69.1862,7.4734,7.4109,0.142,False
2026,L,197,787,175,39,20,19,2,32,0,28,8,0,3,143,0.2229,0.3096,0.32,0.6296,0.0971,0.1624,0.1015,0.2571,0.2852,143,35,69,28,11,0.4825,0.2448,0.1958,0.0769,143,9.1049,10.0,89.258,59,0.4126,9,0.0629,0.321,0.3452,384,0.4879,85,0.2214,424,0.2948,0.4612,359,0.7214,0.1197,0.432,0.4585,0.0051,0.2995,0.5635,60,23,0.1608,0.4196,370,71.2784,7.5311,7.8659,0.2378,False
2026,R,405,1489,381,94,19,19,2,99,3,64,15,1,14,285,0.2467,0.284,0.4016,0.6855,0.1549,0.2444,0.0469,0.2952,0.2986,285,77,130,59,19,0.4561,0.2702,0.207,0.0667,285,11.7053,14.0,87.5596,109,0.3825,18,0.0632,0.3145,0.3395,764,0.5131,230,0.301,778,0.3689,0.4775,711,0.6709,0.1677,0.5226,0.4775,0.0,0.3424,0.6404,112,45,0.1579,0.393,733,69.4115,7.5192,8.4124,0.1528,False
