pitcher,val_y0,val_y1,delta,metric,y0,y1,basis,pitcher_label
621383,0.6652,0.6614,-0.0038,shadow_zone_rate,2024,2025,native_rails,"Banks, Tanner"
624133,0.6164,0.6572,0.0408,shadow_zone_rate,2024,2025,native_rails,"Suárez, Ranger"
650911,0.6271,0.6556,0.0285,shadow_zone_rate,2024,2025,native_rails,"Sánchez, Cristopher"
663623,0.6733,0.6736,0.0003,shadow_zone_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
669022,0.6522,0.6071,-0.0451,shadow_zone_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
676661,0.6262,0.6502,0.024,shadow_zone_rate,2024,2025,native_rails,"Lazar, Max"
689147,0.6523,0.6757,0.0234,shadow_zone_rate,2024,2025,native_rails,"Kerkering, Orion"
554430,0.3667,0.378,0.0113,shadow_miss_rate,2024,2025,native_rails,"Wheeler, Zack"
592836,0.3868,0.3678,-0.019,shadow_miss_rate,2024,2025,native_rails,"Walker, Taijuan"
605400,0.3976,0.3635,-0.0341,shadow_miss_rate,2024,2025,native_rails,"Nola, Aaron"
614179,0.3904,0.3855,-0.0049,shadow_miss_rate,2024,2025,native_rails,"Ruiz, José"
621237,0.3945,0.3873,-0.0072,shadow_miss_rate,2024,2025,native_rails,"Alvarado, José"
621381,0.3028,0.3202,0.0174,shadow_miss_rate,2024,2025,native_rails,"Strahm, Matt"
621383,0.3348,0.3386,0.0038,shadow_miss_rate,2024,2025,native_rails,"Banks, Tanner"
624133,0.3836,0.3428,-0.0408,shadow_miss_rate,2024,2025,native_rails,"Suárez, Ranger"
650911,0.3729,0.3444,-0.0285,shadow_miss_rate,2024,2025,native_rails,"Sánchez, Cristopher"
663623,0.3267,0.3264,-0.0003,shadow_miss_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
669022,0.3478,0.3929,0.0451,shadow_miss_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
676661,0.3738,0.3498,-0.024,shadow_miss_rate,2024,2025,native_rails,"Lazar, Max"
689147,0.3477,0.3243,-0.0234,shadow_miss_rate,2024,2025,native_rails,"Kerkering, Orion"
554430,0.2585,0.2707,0.0122,beyond_shadow_chase_rate,2024,2025,native_rails,"Wheeler, Zack"
592836,0.2072,0.1807,-0.0265,beyond_shadow_chase_rate,2024,2025,native_rails,"Walker, Taijuan"
605400,0.2823,0.286,0.0037,beyond_shadow_chase_rate,2024,2025,native_rails,"Nola, Aaron"
614179,0.2761,0.2396,-0.0365,beyond_shadow_chase_rate,2024,2025,native_rails,"Ruiz, José"
621237,0.2169,0.2147,-0.0022,beyond_shadow_chase_rate,2024,2025,native_rails,"Alvarado, José"
621381,0.2458,0.2799,0.0341,beyond_shadow_chase_rate,2024,2025,native_rails,"Strahm, Matt"
621383,0.1824,0.1771,-0.0053,beyond_shadow_chase_rate,2024,2025,native_rails,"Banks, Tanner"
624133,0.2669,0.2473,-0.0196,beyond_shadow_chase_rate,2024,2025,native_rails,"Suárez, Ranger"
650911,0.2915,0.2588,-0.0327,beyond_shadow_chase_rate,2024,2025,native_rails,"Sánchez, Cristopher"
663623,0.1826,0.2025,0.0199,beyond_shadow_chase_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
669022,0.1953,0.3,0.1047,beyond_shadow_chase_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
676661,0.2375,0.2301,-0.0074,beyond_shadow_chase_rate,2024,2025,native_rails,"Lazar, Max"
689147,0.2196,0.1954,-0.0242,beyond_shadow_chase_rate,2024,2025,native_rails,"Kerkering, Orion"
554430,0.544,0.4788,-0.0652,edge_out_chase_rate,2024,2025,native_rails,"Wheeler, Zack"
592836,0.4174,0.5145,0.0971,edge_out_chase_rate,2024,2025,native_rails,"Walker, Taijuan"
605400,0.4758,0.4904,0.0146,edge_out_chase_rate,2024,2025,native_rails,"Nola, Aaron"
614179,0.5211,0.5833,0.0622,edge_out_chase_rate,2024,2025,native_rails,"Ruiz, José"
621237,0.4854,0.5,0.0146,edge_out_chase_rate,2024,2025,native_rails,"Alvarado, José"
621381,0.5085,0.4588,-0.0497,edge_out_chase_rate,2024,2025,native_rails,"Strahm, Matt"
621383,0.4474,0.5337,0.0863,edge_out_chase_rate,2024,2025,native_rails,"Banks, Tanner"
624133,0.4447,0.4426,-0.0021,edge_out_chase_rate,2024,2025,native_rails,"Suárez, Ranger"
650911,0.5832,0.4896,-0.0936,edge_out_chase_rate,2024,2025,native_rails,"Sánchez, Cristopher"
663623,0.4478,0.35,-0.0978,edge_out_chase_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
669022,0.4878,0.5,0.0122,edge_out_chase_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
676661,0.5625,0.3846,-0.1779,edge_out_chase_rate,2024,2025,native_rails,"Lazar, Max"
689147,0.4783,0.3978,-0.0805,edge_out_chase_rate,2024,2025,native_rails,"Kerkering, Orion"
554430,0.366,0.355,-0.011,edge_rate,2024,2025,native_rails,"Wheeler, Zack"
592836,0.323,0.358,0.035,edge_rate,2024,2025,native_rails,"Walker, Taijuan"
605400,0.362,0.408,0.046,edge_rate,2024,2025,native_rails,"Nola, Aaron"
614179,0.34,0.361,0.021,edge_rate,2024,2025,native_rails,"Ruiz, José"
621237,0.346,0.333,-0.013,edge_rate,2024,2025,native_rails,"Alvarado, José"
621381,0.38,0.378,-0.002,edge_rate,2024,2025,native_rails,"Strahm, Matt"
621383,0.346,0.343,-0.003,edge_rate,2024,2025,native_rails,"Banks, Tanner"
624133,0.368,0.39,0.022,edge_rate,2024,2025,native_rails,"Suárez, Ranger"
650911,0.354,0.365,0.011,edge_rate,2024,2025,native_rails,"Sánchez, Cristopher"
663623,0.395,0.36,-0.035,edge_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
669022,0.421,0.275,-0.146,edge_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
676661,0.322,0.327,0.005,edge_rate,2024,2025,native_rails,"Lazar, Max"
689147,0.373,0.378,0.005,edge_rate,2024,2025,native_rails,"Kerkering, Orion"
554430,0.4555,0.4641,0.0086,geo_zone_rate,2024,2025,native_rails,"Wheeler, Zack"
592836,0.453,0.4643,0.0113,geo_zone_rate,2024,2025,native_rails,"Walker, Taijuan"
605400,0.4337,0.4375,0.0038,geo_zone_rate,2024,2025,native_rails,"Nola, Aaron"
614179,0.4395,0.4699,0.0304,geo_zone_rate,2024,2025,native_rails,"Ruiz, José"
621237,0.443,0.4595,0.0165,geo_zone_rate,2024,2025,native_rails,"Alvarado, José"
621381,0.5168,0.5086,-0.0082,geo_zone_rate,2024,2025,native_rails,"Strahm, Matt"
621383,0.4932,0.5111,0.0179,geo_zone_rate,2024,2025,native_rails,"Banks, Tanner"
624133,0.432,0.4815,0.0495,geo_zone_rate,2024,2025,native_rails,"Suárez, Ranger"
650911,0.4616,0.4891,0.0275,geo_zone_rate,2024,2025,native_rails,"Sánchez, Cristopher"
663623,0.483,0.5083,0.0253,geo_zone_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
669022,0.4293,0.4714,0.0421,geo_zone_rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
676661,0.4766,0.5093,0.0327,geo_zone_rate,2024,2025,native_rails,"Lazar, Max"
689147,0.483,0.5023,0.0193,geo_zone_rate,2024,2025,native_rails,"Kerkering, Orion"
554430,0.066,0.056,-0.01,bbrate,2024,2025,native_rails,"Wheeler, Zack"
592836,0.097,0.078,-0.019,bbrate,2024,2025,native_rails,"Walker, Taijuan"
605400,0.061,0.069,0.008,bbrate,2024,2025,native_rails,"Nola, Aaron"
614179,0.074,0.087,0.013,bbrate,2024,2025,native_rails,"Ruiz, José"
621237,0.105,0.061,-0.044,bbrate,2024,2025,native_rails,"Alvarado, José"
621381,0.043,0.075,0.032,bbrate,2024,2025,native_rails,"Strahm, Matt"
621383,0.092,0.041,-0.051,bbrate,2024,2025,native_rails,"Banks, Tanner"
624133,0.064,0.058,-0.006,bbrate,2024,2025,native_rails,"Suárez, Ranger"
650911,0.058,0.054,-0.004,bbrate,2024,2025,native_rails,"Sánchez, Cristopher"
663623,0.054,0.104,0.05,bbrate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
669022,0.087,0.031,-0.056,bbrate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
676661,0.037,0.071,0.034,bbrate,2024,2025,native_rails,"Lazar, Max"
689147,0.066,0.091,0.025,bbrate,2024,2025,native_rails,"Kerkering, Orion"
554430,0.3038,0.2899,-0.0139,pitch_share_ahead,2024,2025,native_rails,"Wheeler, Zack"
592836,0.2585,0.2649,0.0064,pitch_share_ahead,2024,2025,native_rails,"Walker, Taijuan"
605400,0.3029,0.3036,0.0007,pitch_share_ahead,2024,2025,native_rails,"Nola, Aaron"
614179,0.3066,0.2972,-0.0094,pitch_share_ahead,2024,2025,native_rails,"Ruiz, José"
621237,0.2804,0.2713,-0.0091,pitch_share_ahead,2024,2025,native_rails,"Alvarado, José"
621381,0.3537,0.3414,-0.0123,pitch_share_ahead,2024,2025,native_rails,"Strahm, Matt"
621383,0.3213,0.3173,-0.004,pitch_share_ahead,2024,2025,native_rails,"Banks, Tanner"
624133,0.2995,0.3103,0.0108,pitch_share_ahead,2024,2025,native_rails,"Suárez, Ranger"
650911,0.3289,0.3115,-0.0174,pitch_share_ahead,2024,2025,native_rails,"Sánchez, Cristopher"
663623,0.2585,0.3182,0.0597,pitch_share_ahead,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
669022,0.288,0.3429,0.0549,pitch_share_ahead,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
676661,0.3084,0.2601,-0.0483,pitch_share_ahead,2024,2025,native_rails,"Lazar, Max"
689147,0.3174,0.3178,0.0004,pitch_share_ahead,2024,2025,native_rails,"Kerkering, Orion"
554430,0.6404,0.6105,-0.0299,First Pitch Strike Rate,2024,2025,native_rails,"Wheeler, Zack"
592836,0.6188,0.6118,-0.007,First Pitch Strike Rate,2024,2025,native_rails,"Walker, Taijuan"
605400,0.6634,0.6093,-0.0541,First Pitch Strike Rate,2024,2025,native_rails,"Nola, Aaron"
614179,0.6481,0.6232,-0.025,First Pitch Strike Rate,2024,2025,native_rails,"Ruiz, José"
621237,0.6142,0.6228,0.0086,First Pitch Strike Rate,2024,2025,native_rails,"Alvarado, José"
621381,0.6255,0.6392,0.0137,First Pitch Strike Rate,2024,2025,native_rails,"Strahm, Matt"
621383,0.7059,0.6504,-0.0555,First Pitch Strike Rate,2024,2025,native_rails,"Banks, Tanner"
624133,0.6464,0.6626,0.0162,First Pitch Strike Rate,2024,2025,native_rails,"Suárez, Ranger"
650911,0.6578,0.6535,-0.0044,First Pitch Strike Rate,2024,2025,native_rails,"Sánchez, Cristopher"
663623,0.5978,0.7015,0.1037,First Pitch Strike Rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
669022,0.5761,0.6462,0.0701,First Pitch Strike Rate,2024,2025,native_rails,"opponent arm (name not in log, O-10)"
676661,0.6111,0.5647,-0.0464,First Pitch Strike Rate,2024,2025,native_rails,"Lazar, Max"
689147,0.6008,0.6212,0.0204,First Pitch Strike Rate,2024,2025,native_rails,"Kerkering, Orion"
519242,0.538,0.472,-0.066,in_zone_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
554430,0.501,0.422,-0.079,in_zone_rate,2025,2026,native_rails,"Wheeler, Zack"
592836,0.506,0.465,-0.041,in_zone_rate,2025,2026,native_rails,"Walker, Taijuan"
605400,0.481,0.44,-0.041,in_zone_rate,2025,2026,native_rails,"Nola, Aaron"
621237,0.503,0.422,-0.081,in_zone_rate,2025,2026,native_rails,"Alvarado, José"
621383,0.551,0.508,-0.043,in_zone_rate,2025,2026,native_rails,"Banks, Tanner"
645261,0.551,0.51,-0.041,in_zone_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
650911,0.519,0.465,-0.054,in_zone_rate,2025,2026,native_rails,"Sánchez, Cristopher"
661395,0.542,0.47,-0.072,in_zone_rate,2025,2026,native_rails,"Duran, Jhoan"
666200,0.505,0.465,-0.04,in_zone_rate,2025,2026,native_rails,"Luzardo, Jesús"
686751,0.551,0.464,-0.087,in_zone_rate,2025,2026,native_rails,"Johnson, Seth"
689147,0.542,0.463,-0.079,in_zone_rate,2025,2026,native_rails,"Kerkering, Orion"
519242,0.317,0.348,0.031,chase_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
554430,0.312,0.356,0.044,chase_rate,2025,2026,native_rails,"Wheeler, Zack"
592836,0.258,0.264,0.006,chase_rate,2025,2026,native_rails,"Walker, Taijuan"
605400,0.335,0.334,-0.001,chase_rate,2025,2026,native_rails,"Nola, Aaron"
621237,0.278,0.325,0.047,chase_rate,2025,2026,native_rails,"Alvarado, José"
621383,0.267,0.317,0.05,chase_rate,2025,2026,native_rails,"Banks, Tanner"
645261,0.297,0.372,0.075,chase_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
650911,0.316,0.362,0.046,chase_rate,2025,2026,native_rails,"Sánchez, Cristopher"
661395,0.376,0.349,-0.027,chase_rate,2025,2026,native_rails,"Duran, Jhoan"
666200,0.304,0.337,0.033,chase_rate,2025,2026,native_rails,"Luzardo, Jesús"
686751,0.292,0.225,-0.067,chase_rate,2025,2026,native_rails,"Johnson, Seth"
689147,0.251,0.28,0.029,chase_rate,2025,2026,native_rails,"Kerkering, Orion"
519242,0.6541,0.6181,-0.036,shadow_zone_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
554430,0.622,0.5555,-0.0665,shadow_zone_rate,2025,2026,native_rails,"Wheeler, Zack"
592836,0.6322,0.5755,-0.0567,shadow_zone_rate,2025,2026,native_rails,"Walker, Taijuan"
605400,0.6365,0.5795,-0.057,shadow_zone_rate,2025,2026,native_rails,"Nola, Aaron"
621237,0.6127,0.5427,-0.07,shadow_zone_rate,2025,2026,native_rails,"Alvarado, José"
621383,0.6614,0.6229,-0.0385,shadow_zone_rate,2025,2026,native_rails,"Banks, Tanner"
645261,0.6502,0.6182,-0.032,shadow_zone_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
650911,0.6556,0.5926,-0.063,shadow_zone_rate,2025,2026,native_rails,"Sánchez, Cristopher"
661395,0.6753,0.5749,-0.1004,shadow_zone_rate,2025,2026,native_rails,"Duran, Jhoan"
666200,0.6399,0.5934,-0.0465,shadow_zone_rate,2025,2026,native_rails,"Luzardo, Jesús"
686751,0.6682,0.5697,-0.0985,shadow_zone_rate,2025,2026,native_rails,"Johnson, Seth"
689147,0.6757,0.589,-0.0867,shadow_zone_rate,2025,2026,native_rails,"Kerkering, Orion"
519242,0.3459,0.3819,0.036,shadow_miss_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
554430,0.378,0.4445,0.0665,shadow_miss_rate,2025,2026,native_rails,"Wheeler, Zack"
592836,0.3678,0.4245,0.0567,shadow_miss_rate,2025,2026,native_rails,"Walker, Taijuan"
605400,0.3635,0.4205,0.057,shadow_miss_rate,2025,2026,native_rails,"Nola, Aaron"
621237,0.3873,0.4573,0.07,shadow_miss_rate,2025,2026,native_rails,"Alvarado, José"
621383,0.3386,0.3771,0.0385,shadow_miss_rate,2025,2026,native_rails,"Banks, Tanner"
645261,0.3498,0.3818,0.032,shadow_miss_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
650911,0.3444,0.4074,0.063,shadow_miss_rate,2025,2026,native_rails,"Sánchez, Cristopher"
661395,0.3247,0.4251,0.1004,shadow_miss_rate,2025,2026,native_rails,"Duran, Jhoan"
666200,0.3601,0.4066,0.0465,shadow_miss_rate,2025,2026,native_rails,"Luzardo, Jesús"
686751,0.3318,0.4303,0.0985,shadow_miss_rate,2025,2026,native_rails,"Johnson, Seth"
689147,0.3243,0.411,0.0867,shadow_miss_rate,2025,2026,native_rails,"Kerkering, Orion"
519242,0.2935,0.3026,0.0091,beyond_shadow_chase_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
554430,0.2707,0.306,0.0353,beyond_shadow_chase_rate,2025,2026,native_rails,"Wheeler, Zack"
592836,0.1807,0.2222,0.0415,beyond_shadow_chase_rate,2025,2026,native_rails,"Walker, Taijuan"
605400,0.286,0.2899,0.0039,beyond_shadow_chase_rate,2025,2026,native_rails,"Nola, Aaron"
621237,0.2147,0.2563,0.0416,beyond_shadow_chase_rate,2025,2026,native_rails,"Alvarado, José"
621383,0.1771,0.2398,0.0627,beyond_shadow_chase_rate,2025,2026,native_rails,"Banks, Tanner"
645261,0.25,0.292,0.042,beyond_shadow_chase_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
650911,0.2588,0.306,0.0472,beyond_shadow_chase_rate,2025,2026,native_rails,"Sánchez, Cristopher"
661395,0.33,0.2951,-0.0349,beyond_shadow_chase_rate,2025,2026,native_rails,"Duran, Jhoan"
666200,0.247,0.288,0.041,beyond_shadow_chase_rate,2025,2026,native_rails,"Luzardo, Jesús"
686751,0.1831,0.2086,0.0255,beyond_shadow_chase_rate,2025,2026,native_rails,"Johnson, Seth"
689147,0.1954,0.2248,0.0294,beyond_shadow_chase_rate,2025,2026,native_rails,"Kerkering, Orion"
519242,0.4565,0.5278,0.0713,edge_out_chase_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
554430,0.4788,0.5704,0.0916,edge_out_chase_rate,2025,2026,native_rails,"Wheeler, Zack"
592836,0.5145,0.4493,-0.0652,edge_out_chase_rate,2025,2026,native_rails,"Walker, Taijuan"
605400,0.4904,0.503,0.0126,edge_out_chase_rate,2025,2026,native_rails,"Nola, Aaron"
621237,0.5,0.5503,0.0503,edge_out_chase_rate,2025,2026,native_rails,"Alvarado, José"
621383,0.5337,0.5758,0.0421,edge_out_chase_rate,2025,2026,native_rails,"Banks, Tanner"
645261,0.4706,0.6744,0.2038,edge_out_chase_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
650911,0.4896,0.5464,0.0568,edge_out_chase_rate,2025,2026,native_rails,"Sánchez, Cristopher"
661395,0.5556,0.5662,0.0106,edge_out_chase_rate,2025,2026,native_rails,"Duran, Jhoan"
666200,0.4788,0.5073,0.0285,edge_out_chase_rate,2025,2026,native_rails,"Luzardo, Jesús"
686751,0.6061,0.34,-0.2661,edge_out_chase_rate,2025,2026,native_rails,"Johnson, Seth"
689147,0.3978,0.5,0.1022,edge_out_chase_rate,2025,2026,native_rails,"Kerkering, Orion"
519242,0.335,0.352,0.017,edge_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
554430,0.355,0.361,0.006,edge_rate,2025,2026,native_rails,"Wheeler, Zack"
592836,0.358,0.337,-0.021,edge_rate,2025,2026,native_rails,"Walker, Taijuan"
605400,0.408,0.364,-0.044,edge_rate,2025,2026,native_rails,"Nola, Aaron"
621237,0.333,0.329,-0.004,edge_rate,2025,2026,native_rails,"Alvarado, José"
621383,0.343,0.396,0.053,edge_rate,2025,2026,native_rails,"Banks, Tanner"
645261,0.312,0.355,0.043,edge_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
650911,0.365,0.358,-0.007,edge_rate,2025,2026,native_rails,"Sánchez, Cristopher"
661395,0.347,0.334,-0.013,edge_rate,2025,2026,native_rails,"Duran, Jhoan"
666200,0.354,0.36,0.006,edge_rate,2025,2026,native_rails,"Luzardo, Jesús"
686751,0.355,0.341,-0.014,edge_rate,2025,2026,native_rails,"Johnson, Seth"
689147,0.378,0.338,-0.04,edge_rate,2025,2026,native_rails,"Kerkering, Orion"
519242,0.4812,0.4372,-0.044,geo_zone_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
554430,0.4641,0.378,-0.0861,geo_zone_rate,2025,2026,native_rails,"Wheeler, Zack"
592836,0.4643,0.4127,-0.0516,geo_zone_rate,2025,2026,native_rails,"Walker, Taijuan"
605400,0.4375,0.3999,-0.0376,geo_zone_rate,2025,2026,native_rails,"Nola, Aaron"
621237,0.4595,0.3804,-0.0791,geo_zone_rate,2025,2026,native_rails,"Alvarado, José"
621383,0.5111,0.4539,-0.0572,geo_zone_rate,2025,2026,native_rails,"Banks, Tanner"
645261,0.5209,0.473,-0.0479,geo_zone_rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
650911,0.4891,0.425,-0.0641,geo_zone_rate,2025,2026,native_rails,"Sánchez, Cristopher"
661395,0.5,0.417,-0.083,geo_zone_rate,2025,2026,native_rails,"Duran, Jhoan"
666200,0.4673,0.4252,-0.0421,geo_zone_rate,2025,2026,native_rails,"Luzardo, Jesús"
686751,0.514,0.4149,-0.0991,geo_zone_rate,2025,2026,native_rails,"Johnson, Seth"
689147,0.5023,0.4235,-0.0788,geo_zone_rate,2025,2026,native_rails,"Kerkering, Orion"
519242,0.059,0.061,0.002,bbrate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
554430,0.056,0.078,0.022,bbrate,2025,2026,native_rails,"Wheeler, Zack"
592836,0.078,0.096,0.018,bbrate,2025,2026,native_rails,"Walker, Taijuan"
605400,0.069,0.077,0.008,bbrate,2025,2026,native_rails,"Nola, Aaron"
621237,0.061,0.087,0.026,bbrate,2025,2026,native_rails,"Alvarado, José"
621383,0.041,0.077,0.036,bbrate,2025,2026,native_rails,"Banks, Tanner"
645261,0.068,0.037,-0.031,bbrate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
650911,0.054,0.055,0.001,bbrate,2025,2026,native_rails,"Sánchez, Cristopher"
661395,0.012,0.037,0.025,bbrate,2025,2026,native_rails,"Duran, Jhoan"
666200,0.075,0.071,-0.004,bbrate,2025,2026,native_rails,"Luzardo, Jesús"
686751,0.074,0.175,0.101,bbrate,2025,2026,native_rails,"Johnson, Seth"
689147,0.091,0.123,0.032,bbrate,2025,2026,native_rails,"Kerkering, Orion"
519242,0.3647,0.2538,-0.1109,pitch_share_ahead,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
554430,0.2899,0.3119,0.022,pitch_share_ahead,2025,2026,native_rails,"Wheeler, Zack"
592836,0.2649,0.2972,0.0323,pitch_share_ahead,2025,2026,native_rails,"Walker, Taijuan"
605400,0.3036,0.294,-0.0096,pitch_share_ahead,2025,2026,native_rails,"Nola, Aaron"
621237,0.2713,0.2915,0.0202,pitch_share_ahead,2025,2026,native_rails,"Alvarado, José"
621383,0.3173,0.3407,0.0234,pitch_share_ahead,2025,2026,native_rails,"Banks, Tanner"
645261,0.3574,0.3277,-0.0297,pitch_share_ahead,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
650911,0.3115,0.3132,0.0017,pitch_share_ahead,2025,2026,native_rails,"Sánchez, Cristopher"
661395,0.3149,0.2771,-0.0378,pitch_share_ahead,2025,2026,native_rails,"Duran, Jhoan"
666200,0.3219,0.2944,-0.0275,pitch_share_ahead,2025,2026,native_rails,"Luzardo, Jesús"
686751,0.3692,0.2291,-0.1401,pitch_share_ahead,2025,2026,native_rails,"Johnson, Seth"
689147,0.3178,0.2819,-0.0359,pitch_share_ahead,2025,2026,native_rails,"Kerkering, Orion"
519242,0.7206,0.5556,-0.165,First Pitch Strike Rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
554430,0.6105,0.6585,0.048,First Pitch Strike Rate,2025,2026,native_rails,"Wheeler, Zack"
592836,0.6118,0.6121,0.0002,First Pitch Strike Rate,2025,2026,native_rails,"Walker, Taijuan"
605400,0.6093,0.6344,0.0251,First Pitch Strike Rate,2025,2026,native_rails,"Nola, Aaron"
621237,0.6228,0.5754,-0.0474,First Pitch Strike Rate,2025,2026,native_rails,"Alvarado, José"
621383,0.6504,0.7032,0.0528,First Pitch Strike Rate,2025,2026,native_rails,"Banks, Tanner"
645261,0.6271,0.6543,0.0272,First Pitch Strike Rate,2025,2026,native_rails,"opponent arm (name not in log, O-10)"
650911,0.6535,0.6497,-0.0038,First Pitch Strike Rate,2025,2026,native_rails,"Sánchez, Cristopher"
661395,0.642,0.578,-0.064,First Pitch Strike Rate,2025,2026,native_rails,"Duran, Jhoan"
666200,0.6724,0.626,-0.0463,First Pitch Strike Rate,2025,2026,native_rails,"Luzardo, Jesús"
686751,0.6481,0.575,-0.0731,First Pitch Strike Rate,2025,2026,native_rails,"Johnson, Seth"
689147,0.6212,0.6032,-0.018,First Pitch Strike Rate,2025,2026,native_rails,"Kerkering, Orion"
519242,0.6154,0.6181,0.0027,shadow_zone_rate,2025,2026,2026_abs_rails,"opponent arm (name not in log, O-10)"
554430,0.5871,0.5555,-0.0316,shadow_zone_rate,2025,2026,2026_abs_rails,"Wheeler, Zack"
592836,0.5948,0.5755,-0.0193,shadow_zone_rate,2025,2026,2026_abs_rails,"Walker, Taijuan"
