pitcher,game_year,n,ivb_in,hb_in,velo,spin,name
504379,2019,349,15.592091690544411,-9.574212034383955,93.76389684813753,2075.091690544413,"Nicasio, Juan"
518603,2015,693,13.52900432900433,-10.163982683982685,92.36911976911978,2048.162002945508,"De Fratus, Justin"
518886,2023,754,15.184456233421752,-10.510026525198938,95.82453580901857,2356.5822281167107,"Kimbrel, Craig"
543883,2019,121,15.586115702479336,-5.103471074380165,88.77272727272727,2332.7685950413224,"Vincent, Nick"
544727,2022,137,13.423357664233576,-9.675328467153285,95.5970802919708,2296.4233576642337,"Familia, Jeurys"
547179,2023,283,16.154204946996465,-11.781625441696114,94.09929328621908,2421.2120141342757,"Lorenzen, Michael"
554430,2020,472,14.09491525423729,-5.950169491525424,96.94385593220339,2333.739406779661,"Wheeler, Zack"
554430,2021,1359,15.91399558498896,-7.649448123620308,97.17601177336277,2388.297496318115,"Wheeler, Zack"
554430,2022,998,16.21070140280561,-9.221002004008017,95.92054108216432,2391.5751503006013,"Wheeler, Zack"
554430,2023,1370,15.282569343065695,-6.29334306569343,95.79240875912409,2494.529197080292,"Wheeler, Zack"
554430,2024,1298,14.631494607087827,-9.541201848998458,95.2673343605547,2430.7973805855163,"Wheeler, Zack"
554430,2025,981,14.694434250764525,-10.138715596330275,96.07257900101936,2470.4036697247707,"Wheeler, Zack"
554430,2026,913,14.111237677984665,-11.390536692223439,95.2210295728368,2432.3899233296825,"Wheeler, Zack"
571479,2022,389,16.753727506426735,-10.480102827763497,94.35167095115682,2436.473007712082,"Bellatti, Andrew"
571479,2023,216,16.31833333333333,-9.905555555555555,94.07037037037037,2508.9720930232556,"Bellatti, Andrew"
571527,2015,456,13.39342105263158,-6.0181578947368415,89.76600877192983,2120.3424657534247,"Buchanan, David"
571704,2015,719,16.988094575799725,-5.413518776077886,97.1876216968011,2337.5112994350284,"Giles, Ken"
571735,2021,216,13.135000000000002,-9.34388888888889,92.83472222222223,2224.846511627907,"Hale, David"
571800,2018,162,13.085925925925926,-4.124444444444444,90.57654320987655,2154.864197530864,"Hutchison, Drew"
591693,2016,327,14.69834862385321,-7.310458715596331,95.88623853211008,2487.4587155963304,"Ramos, Edubray"
591693,2018,260,14.405096525096527,-4.853281853281853,93.31235521235521,2472.814671814672,"Ramos, Edubray"
591693,2019,104,12.763846153846156,-2.350384615384615,91.5048076923077,2420.019230769231,"Ramos, Edubray"
592390,2020,110,17.304,-10.797818181818181,93.81909090909092,2519.4545454545455,"Hembree, Heath"
592826,2016,1242,16.883478260869566,-6.705024154589372,94.60177133655394,2306.6063311688313,"Velasquez, Vince"
592826,2018,1342,16.987332339791358,-4.407272727272728,94.03964232488822,2334.6684053651265,"Velasquez, Vince"
592826,2019,1324,16.957885196374622,-4.071842900302115,94.17296072507553,2397.882930513595,"Velasquez, Vince"
592826,2020,338,19.15810650887574,-5.349585798816569,93.76153846153846,2434.5295857988167,"Velasquez, Vince"
592826,2021,772,18.313678756476683,-3.722642487046633,93.15479274611398,2357.2694300518133,"Velasquez, Vince"
592836,2023,493,16.629858012170384,-9.043083164300203,92.85496957403652,2113.444897959184,"Walker, Taijuan"
592836,2024,181,16.955138121546963,-9.267845303867404,91.48839779005526,2064.957575757576,"Walker, Taijuan"
592836,2025,195,17.188923076923075,-9.095384615384615,92.2097435897436,2128.2,"Walker, Taijuan"
593576,2015,204,16.051764705882352,-8.549411764705884,93.6313725490196,2397.6633165829144,"Neris, Hector"
593576,2016,321,16.039252336448598,-9.935327102803738,94.78411214953272,2459.0662460567823,"Neris, Hector"
593576,2018,339,16.487433628318584,-8.7529203539823,94.64218289085547,2462.6106194690265,"Neris, Hector"
593576,2019,290,15.366620689655175,-9.578068965517243,94.40275862068965,2477.103448275862,"Neris, Hector"
593576,2020,170,15.759529411764705,-10.116705882352942,93.84235294117647,2352.5,"Neris, Hector"
593576,2021,458,15.98986899563319,-9.524279475982532,94.14847161572052,2349.1943231441046,"Neris, Hector"
594742,2015,223,18.11192825112108,-6.932556053811659,92.20448430493273,2237.6822429906542,"Asher, Alec"
594902,2018,207,16.959999999999997,-6.3536231884057965,90.91739130434783,2052.705314009662,"Lively, Ben"
595191,2015,364,17.60802197802198,-6.157582417582418,91.65576923076922,2202.187675070028,"Eickhoff, Jerad"
595191,2016,1094,16.700621572212064,-8.07148080438757,91.5918647166362,2236.675925925926,"Eickhoff, Jerad"
595191,2019,357,18.102184873949582,-9.041344537815126,89.42156862745098,2414.624649859944,"Eickhoff, Jerad"
601713,2018,1411,17.216613603473228,-8.874095513748193,94.78473227206946,2268.036903039074,"Pivetta, Nick"
601713,2019,798,17.759999999999998,-9.854285714285714,94.55601503759398,2339.65664160401,"Pivetta, Nick"
605151,2021,430,16.411813953488373,-8.393023255813954,94.02906976744185,2131.020930232558,"Bradley, Archie"
605396,2016,361,17.09052631578947,-8.759002770083104,94.1038781163435,2127.3870056497176,"Murray, Colton"
605400,2015,357,11.564033613445378,-12.067226890756302,91.22128851540616,2047.6656626506024,"Nola, Aaron"
605400,2016,183,11.037377049180328,-11.365901639344262,90.8879781420765,2027.7127071823204,"Nola, Aaron"
605400,2018,1171,12.43265584970111,-12.576327924850554,92.73236549957302,2116.346712211785,"Nola, Aaron"
605400,2019,1180,13.03525423728814,-12.93935593220339,93.05584745762711,2170.8457627118646,"Nola, Aaron"
605400,2020,280,13.832999999999998,-13.791857142857143,92.84928571428571,2180.3440860215055,"Nola, Aaron"
605400,2021,1115,14.20283408071749,-13.276627802690584,92.89865470852018,2198.209865470852,"Nola, Aaron"
605400,2022,1015,15.42230541871921,-13.055881773399015,92.75270935960592,2307.8344827586207,"Nola, Aaron"
605400,2023,904,15.16924778761062,-12.200707964601772,92.72975663716814,2304.8226164079824,"Nola, Aaron"
605400,2024,887,14.628906426155583,-11.932626832018038,92.48624577226607,2307.1352874859076,"Nola, Aaron"
605400,2025,475,14.846905263157893,-12.827368421052629,91.8621052631579,2317.138947368421,"Nola, Aaron"
605400,2026,699,14.593819742489268,-12.76635193133047,92.29241773962804,2354.3919885550786,"Nola, Aaron"
605441,2018,125,14.503278688524588,-9.197704918032787,96.14016393442623,2038.2540983606557,"Ríos, Yacksel"
605447,2025,258,17.906511627906976,-7.294883720930232,95.47945736434109,2268.294573643411,"Romano, Jordan"
605452,2025,321,11.086728971962618,-3.0811214953271024,94.19688473520249,2217.841121495327,"Ross, Joe"
605513,2024,319,9.610532915360503,-0.37730407523510967,91.96112852664577,2499.473354231975,"Turnbull, Spencer"
605894,2015,299,13.495384615384616,-7.597324414715718,89.74648829431439,2382.212837837838,"González, Severino"
605894,2016,305,14.689573770491805,-8.892983606557378,94.24393442622952,2498.529605263158,"González, Severino"
608032,2024,204,17.194117647058825,-7.664117647058825,97.2200980392157,2126.8382352941176,"Estévez, Carlos"
608349,2022,555,17.509837837837836,-3.8441081081081085,95.64108108108108,2368.7927927927926,"Knebel, Corey"
614179,2024,232,17.516379310344828,-5.815862068965517,96.37241379310345,2316.1696428571427,"Ruiz, José"
621107,2016,397,14.964030226700253,-7.899445843828715,93.32670025188916,2205.5768261964736,"Eflin, Zach"
621107,2018,947,14.232734952481522,-9.147750791974657,94.62650475184795,2196.2903907074974,"Eflin, Zach"
621107,2019,865,13.184462427745665,-9.309502890173409,93.76728323699422,2185.6493055555557,"Eflin, Zach"
621107,2021,200,13.957799999999999,-10.186800000000002,93.10549999999999,2149.39,"Eflin, Zach"
621107,2022,185,14.128216216216217,-10.43156756756757,93.08108108108108,2175.6378378378377,"Eflin, Zach"
622097,2016,353,12.354560906515582,-2.557393767705382,91.7699716713881,2125.668555240793,"Thompson, Jake"
622554,2018,557,12.428078994614001,-1.016660682226212,97.98581687612209,2338.382405745063,"Domínguez, Seranthony"
622554,2019,277,12.999422382671476,-2.331119133574007,97.29891696750903,2380.4151624548736,"Domínguez, Seranthony"
622554,2022,309,13.94407766990291,-3.1541747572815533,97.63656957928802,2357.1812297734627,"Domínguez, Seranthony"
622554,2023,336,15.090714285714284,-4.063214285714286,97.50059523809524,2354.2380952380954,"Domínguez, Seranthony"
622554,2024,260,14.184923076923079,-4.559538461538461,97.47730769230769,2384.833976833977,"Domínguez, Seranthony"
641401,2021,414,16.657101449275363,-10.365797101449276,96.0048309178744,2287.8357487922704,"Brogdon, Connor"
641401,2022,227,16.484933920704847,-10.793127753303965,95.12422907488987,2294.466960352423,"Brogdon, Connor"
641401,2023,177,15.9735593220339,-10.9735593220339,94.73785310734462,2264.7344632768363,"Brogdon, Connor"
641745,2026,170,14.582823529411764,-0.20047058823529412,96.97941176470589,2400.9882352941177,"Keller, Brad"
644364,2018,236,16.288474576271188,-11.557118644067796,93.93389830508475,2339.851694915254,"Arano, Víctor"
648737,2015,202,18.617821782178215,-6.457425742574258,93.8618811881188,2275.6717948717946,"Hinojosa, Dalier"
656322,2021,139,15.957410071942444,-9.652661870503598,98.53309352517986,2282.1007194244603,"Coonrod, Sam"
656546,2023,298,16.86,-12.017315436241613,97.12885906040269,2585.1174496644294,"Hoffman, Jeff"
656546,2024,391,17.086342710997442,-12.200716112531971,96.6460358056266,2592.892030848329,"Hoffman, Jeff"
656793,2022,517,16.483636363636364,-6.5605415860735015,96.26247582205029,1968.5299806576402,"Nelson, Nick"
656803,2022,180,15.550666666666666,-12.015333333333334,96.58888888888889,2144.8659217877093,"Norwood, James"
658305,2019,311,17.698263665594858,-5.41620578778135,93.76816720257236,2304.996784565916,"García, Edgar"
660604,2026,168,19.59357142857143,-3.5907142857142857,92.92261904761905,2279.875,"Rangel, Alan"
660853,2018,202,11.377425742574257,-11.673861386138613,94.5980198019802,2144.7772277227723,"De Los Santos, Enyel"
660853,2019,103,11.757669902912625,-13.818640776699029,93.27378640776699,2130.097087378641,"De Los Santos, Enyel"
660853,2021,394,13.392182741116748,-13.195431472081218,94.85939086294415,2190.8020304568527,"De Los Santos, Enyel"
661395,2025,116,12.799655172413795,-13.382068965517243,101.29137931034482,2106.344827586207,"Duran, Jhoan"
661395,2026,256,13.3603125,-12.830156249999998,100.4578125,2077.484375,"Duran, Jhoan"
663969,2024,108,9.54111111111111,-3.0455555555555556,92.65833333333333,2313.462962962963,"Phillips, Tyler"
665759,2020,126,13.236190476190476,-0.8028571428571427,93.63174603174603,2527.904761904762,"Rosso, Ramón"
670456,2019,185,16.473729729729733,-10.25318918918919,94.35837837837838,2234.135135135135,"Hammer, JD"
670456,2021,240,16.617500000000003,-11.2245,94.00541666666666,2298.4083333333333,"Hammer, JD"
672578,2025,240,17.704500000000003,-8.563,97.84875000000001,2422.6916666666666,"Hernández, Carlos"
675650,2024,123,16.39707317073171,-10.98829268292683,95.37967479674798,2287.6666666666665,"Mercado, Michael"
675921,2020,248,17.93225806451613,-9.863709677419354,94.04274193548386,2344.891129032258,"Howard, Spencer"
675921,2021,369,17.385040650406502,-7.75869918699187,94.48455284552847,2170.0975609756097,"Howard, Spencer"
676661,2024,131,13.556335877862598,0.31236641221374045,93.4412213740458,2322.8396946564885,"Lazar, Max"
676661,2025,357,16.344537815126053,-1.1425210084033615,94.49299719887955,2498.535014005602,"Lazar, Max"
680742,2026,467,18.033147751606,-7.875032119914348,97.03875802997858,2410.6338329764453,"Bowlan, Jonathan"
686751,2025,110,17.148000000000003,-8.142545454545456,97.17454545454547,2342.827272727273,"Johnson, Seth"
686751,2026,154,17.422597402597404,-7.896623376623378,97.92922077922078,2391.194805194805,"Johnson, Seth"
686934,2026,106,14.891320754716984,-9.596603773584906,99.71698113207547,2563.6132075471696,"McFarlane, Alex"
689147,2024,317,15.621955835962144,-10.795457413249212,97.58706624605678,2354.8770226537217,"Kerkering, Orion"
689147,2025,365,15.946520547945207,-11.558794520547947,97.53068493150684,2410.2109589041097,"Kerkering, Orion"
689147,2026,372,15.913225806451614,-11.22064516129032,97.1486559139785,2348.5134408602153,"Kerkering, Orion"
690953,2025,207,16.47478260869565,-8.117101449275363,96.19130434782608,2543.8212560386473,"Abel, Mick"
691725,2026,665,16.59536842105263,-2.227127819548872,96.60240601503759,2315.584962406015,"Painter, Andrew"
