game_pk,game_date,game_year,home_team,away_team,bat_score,fld_score,pitcher_days_since_prev_game,pitches,inn_first,inn_last,batters,runs_created,ff_n,ff_velo,ff_max,entry_inning,entry_outs,entry_runners,entry_lead,multi_inning,rest_days,back_to_back,close_late
823237,2026-04-06,2026,SF,PHI,4,2,5.0,15,6,6,3,0,7,97.47142857142856,98.4,6,0,0,-2,False,5.0,False,False
823234,2026-04-08,2026,SF,PHI,3,0,2.0,18,7,7,4,0,6,97.75,99.1,7,0,0,-3,False,2.0,False,False
823482,2026-04-10,2026,PHI,AZ,5,4,2.0,19,5,6,4,0,9,96.54444444444444,97.6,5,2,1,-1,True,2.0,False,False
823479,2026-04-12,2026,PHI,AZ,3,3,2.0,18,8,8,4,1,4,97.2,98.1,8,1,1,0,False,2.0,False,True
823471,2026-04-30,2026,PHI,SF,1,2,18.0,22,5,6,6,1,6,95.58333333333333,97.6,5,0,0,1,True,18.0,False,False
823877,2026-05-01,2026,MIA,PHI,1,6,1.0,31,8,8,5,2,15,96.81333333333333,97.6,8,0,0,5,False,1.0,True,False
823467,2026-05-07,2026,PHI,ATH,12,1,6.0,11,8,8,3,0,5,96.26,98.3,8,0,0,-11,False,6.0,False,False
823466,2026-05-08,2026,PHI,COL,6,0,1.0,20,4,5,6,0,7,97.3,98.2,4,0,2,-6,True,1.0,True,False
823463,2026-05-10,2026,PHI,COL,0,6,2.0,9,8,8,3,0,3,97.73333333333333,98.5,8,0,0,6,False,2.0,False,False
823384,2026-05-15,2026,PIT,PHI,7,3,5.0,21,6,6,6,1,10,97.19,99.3,6,0,0,-4,False,5.0,False,False
823381,2026-05-17,2026,PIT,PHI,0,6,2.0,17,8,8,4,0,11,97.87272727272726,99.1,8,0,0,6,False,2.0,False,False
823464,2026-05-19,2026,PHI,CIN,2,1,2.0,14,7,7,4,2,1,96.4,96.4,7,1,3,-1,False,2.0,False,True
823459,2026-05-24,2026,PHI,CLE,2,1,5.0,12,8,8,4,1,6,96.55,98.5,8,0,0,-1,False,5.0,False,True
823295,2026-05-27,2026,SD,PHI,0,2,3.0,18,8,8,3,0,4,98.475,99.4,8,0,0,2,False,3.0,False,True
823455,2026-06-05,2026,PHI,CWS,5,6,9.0,21,7,7,5,1,11,98.47272727272728,99.8,7,0,0,1,False,9.0,False,True
823453,2026-06-07,2026,PHI,CWS,5,9,2.0,19,8,9,6,0,12,96.80833333333334,98.9,8,0,0,4,True,2.0,False,False
822804,2026-06-10,2026,TOR,PHI,1,6,3.0,4,6,6,1,0,3,96.39999999999999,96.9,6,2,2,5,False,3.0,False,False
823452,2026-06-15,2026,PHI,MIA,0,5,5.0,20,8,8,5,0,16,97.69375,100.2,8,0,0,5,False,5.0,False,False
823450,2026-06-17,2026,PHI,MIA,6,4,2.0,11,5,5,4,0,4,95.35,97.5,5,0,0,-2,False,2.0,False,False
823449,2026-06-21,2026,PHI,NYM,2,6,4.0,4,6,6,1,0,1,97.7,97.7,6,2,2,4,False,4.0,False,False
822718,2026-06-23,2026,WSH,PHI,5,3,2.0,5,7,7,1,0,2,96.45,96.9,7,2,2,-2,False,2.0,False,True
822719,2026-06-24,2026,WSH,PHI,2,3,1.0,12,6,6,3,2,7,97.77142857142857,98.3,6,2,1,1,False,1.0,True,False
823609,2026-06-27,2026,NYM,PHI,2,2,3.0,10,6,6,4,2,2,97.55000000000001,97.9,6,1,2,0,False,3.0,False,False
823445,2026-06-30,2026,PHI,PIT,0,5,3.0,26,8,8,5,0,13,98.43076923076923,99.3,8,0,0,5,False,3.0,False,False
823442,2026-07-02,2026,PHI,PIT,1,1,2.0,24,6,6,5,0,8,96.6625,98.9,6,0,0,0,False,2.0,False,False
824092,2026-07-04,2026,KC,PHI,1,5,,20,7,7,4,0,12,97.375,98.0,7,0,0,4,False,,,False
824495,2026-07-07,2026,CIN,PHI,1,4,,6,8,8,1,0,2,97.30000000000001,97.7,8,2,3,3,False,,,False
824494,2026-07-09,2026,CIN,PHI,0,1,2.0,12,8,8,3,0,6,97.7,99.2,8,0,0,1,False,2.0,False,True
824249,2026-07-11,2026,DET,PHI,1,4,,9,8,8,4,1,2,97.8,98.1,8,0,2,3,False,,,False
824250,2026-07-12,2026,DET,PHI,0,5,,15,9,9,3,0,7,95.8,96.9,9,0,0,5,False,,,False
823440,2026-07-16,2026,PHI,NYM,3,0,,14,7,7,3,0,5,96.53999999999999,98.1,7,0,0,-3,False,,,False
823436,2026-07-20,2026,PHI,LAD,3,8,,10,7,7,4,1,5,96.56,97.2,7,0,0,5,False,,,False
823437,2026-07-21,2026,PHI,LAD,2,1,1.0,14,9,9,3,0,5,96.74,97.3,9,0,0,-1,False,1.0,True,True
823434,2026-07-24,2026,PHI,NYY,1,0,3.0,15,8,8,3,0,7,97.02857142857144,98.6,8,0,0,-1,False,3.0,False,True
823435,2026-07-25,2026,PHI,NYY,3,1,1.0,18,8,8,4,0,8,97.6375,98.3,8,0,0,-2,False,1.0,True,True
823839,2026-07-27,2026,MIA,PHI,5,6,2.0,14,7,7,3,0,7,96.18571428571428,97.4,7,0,0,1,False,2.0,False,True
823837,2026-07-29,2026,MIA,PHI,6,6,2.0,18,8,8,5,2,11,95.68181818181819,97.1,8,0,0,0,False,2.0,False,True
824808,2026-08-01,2026,BAL,PHI,0,1,3.0,22,7,7,4,0,10,97.69,99.3,7,0,0,1,False,3.0,False,True
823429,2026-08-05,2026,PHI,WSH,3,3,4.0,15,8,8,4,0,6,96.58333333333333,97.0,8,0,0,0,False,4.0,False,True
823430,2026-08-06,2026,PHI,WSH,3,7,,10,8,8,3,0,6,96.28333333333335,97.4,8,0,0,4,False,,,False
823426,2026-08-08,2026,PHI,TOR,2,4,2.0,8,7,7,3,0,1,97.5,97.5,7,0,1,2,False,2.0,False,True
823018,2026-08-10,2026,STL,PHI,5,6,,10,9,9,3,0,6,96.80000000000001,98.2,9,0,0,1,False,,,True
823669,2026-08-13,2026,MIN,PHI,1,7,,12,7,7,4,0,4,96.825,97.7,7,0,0,6,False,,,False
823670,2026-08-16,2026,MIN,PHI,5,7,3.0,14,8,8,4,0,10,97.42,98.6,8,0,0,2,False,3.0,False,True
823427,2026-08-17,2026,PHI,MIA,1,4,,35,7,7,7,2,19,96.96842105263158,98.1,7,0,0,3,False,,,False
823424,2026-08-19,2026,PHI,MIA,1,4,,28,8,8,5,0,13,97.23076923076923,98.6,8,0,0,3,False,,,False
823098,2026-08-25,2026,SEA,PHI,4,1,6.0,20,8,8,4,0,10,97.84,99.1,8,0,0,-3,False,6.0,False,False
823985,2026-08-28,2026,LAA,PHI,3,5,3.0,25,9,9,5,0,16,96.5,97.5,9,0,0,2,False,3.0,False,True
823986,2026-08-29,2026,LAA,PHI,0,1,1.0,24,8,8,4,1,13,96.43076923076923,97.3,8,0,0,1,False,1.0,True,True
825038,2026-09-01,2026,AZ,PHI,1,3,,21,7,8,4,0,15,96.43333333333334,97.7,7,2,2,2,True,,,True
825037,2026-09-02,2026,AZ,PHI,0,0,,12,8,8,4,1,6,95.71666666666665,96.6,8,0,0,0,False,,,True
823419,2026-09-05,2026,PHI,ATL,1,4,3.0,19,7,7,4,1,12,98.425,99.6,7,0,0,3,False,3.0,False,False
823416,2026-09-09,2026,PHI,HOU,6,11,,21,7,7,5,1,12,95.8,98.1,7,0,0,5,False,,,False
824873,2026-09-11,2026,ATL,PHI,2,3,,22,9,9,6,1,14,97.20714285714287,97.8,9,0,0,1,False,,,True
822683,2026-09-15,2026,WSH,PHI,3,3,,11,7,7,3,3,8,96.15,97.0,7,1,2,0,False,,,True
823573,2026-09-17,2026,NYM,PHI,0,3,2.0,21,8,8,4,0,11,96.69090909090909,97.8,8,0,0,3,False,2.0,False,False
