game_year,pitch_type,pitch_name,n,velo,spin,pfx_z,pfx_x,ext,plate_z,swings,whiffs,ooz,chases,in_zone,rv100,total,usage,ivb_in,hb_in,whiff_rate,chase_rate,zone_rate,xwobacon,xwobacon_bip
2025,FF,4-Seam Fastball,243,95.52921810699588,2345.222222222222,1.4725925925925925,-0.6639094650205761,6.6839506172839505,3.1726337448559674,124,54,127,44,116,0.10905349794238679,727,0.3342503438789546,17.67111111111111,-7.9669135802469135,0.43548387096774194,0.3464566929133858,0.4773662551440329,0.446,22
2025,SL,Slider,227,85.82995594713657,2488.8678414096917,-0.08590308370044053,0.28325991189427313,6.637004405286343,1.8390308370044053,112,45,133,49,94,0.6788546255506608,727,0.312242090784044,-1.0308370044052864,3.3991189427312776,0.4017857142857143,0.3684210526315789,0.41409691629955947,0.441,40
2025,SI,Sinker,126,96.13253968253969,2224.190476190476,1.0424603174603173,-1.1667460317460316,6.70079365079365,2.377857142857143,68,12,59,19,67,4.2626984126984135,727,0.1733149931224209,12.509523809523808,-14.00095238095238,0.17647058823529413,0.3220338983050847,0.5317460317460317,0.187,28
2025,CU,Curveball,70,80.99714285714286,2403.7428571428572,-0.597,1.0197142857142856,6.464285714285714,1.9729999999999999,18,3,49,8,21,0.33428571428571463,727,0.09628610729023383,-7.164,12.236571428571427,0.16666666666666666,0.16326530612244897,0.3,0.301,11
2025,CH,Changeup,61,88.35245901639344,1519.377049180328,0.38672131147540983,-1.0359016393442622,6.7081967213114755,2.09,28,4,33,6,28,-3.4114754098360662,727,0.08390646492434663,4.640655737704918,-12.430819672131147,0.14285714285714285,0.18181818181818182,0.45901639344262296,0.399,16
2026,FF,4-Seam Fastball,467,97.03875802997858,2410.6338329764453,1.502762312633833,-0.656252676659529,6.655888650963598,3.1065732522510827,243,90,239,90,228,2.2710920770877947,967,0.48293691830403307,18.033147751605995,-7.875032119914348,0.37037037037037035,0.37656903765690375,0.48822269807280516,0.321,39
2026,SL,Slider,179,86.8072625698324,2487.877094972067,-0.12474860335195531,0.20363128491620114,6.634078212290503,1.6031255751678297,90,31,106,38,73,-0.48547486033519593,967,0.18510858324715615,-1.4969832402234637,2.4435754189944134,0.34444444444444444,0.3584905660377358,0.40782122905027934,0.299,32
2026,CH,Changeup,126,90.47539682539683,1572.563492063492,0.44293650793650796,-1.0055555555555555,6.704761904761904,2.1775963557330273,67,20,71,22,55,-0.0031746031746033155,967,0.13029989658738367,5.3152380952380955,-12.066666666666666,0.29850746268656714,0.30985915492957744,0.4365079365079365,0.324,30
2026,SI,Sinker,109,97.14220183486239,2299.183486238532,1.0429357798165138,-1.2686238532110092,6.708256880733946,2.347099683043811,55,3,53,24,56,-1.415596330275229,967,0.11271975180972078,12.515229357798166,-15.22348623853211,0.05454545454545454,0.4528301886792453,0.5137614678899083,0.393,25
2026,ST,Sweeper,77,84.6896103896104,2592.4155844155844,-0.1216883116883117,1.2548051948051948,6.5,1.671270148283608,26,7,54,11,23,-6.098701298701299,967,0.0796277145811789,-1.4602597402597404,15.057662337662338,0.2692307692307692,0.2037037037037037,0.2987012987012987,0.492,10
2026,CU,Curveball,8,82.3625,2517.625,-0.89125,0.49374999999999997,6.45,0.9853014099931168,2,0,6,1,2,-12.9,967,0.008273009307135471,-10.695,5.925,0.0,0.16666666666666666,0.25,0.116,1
