group,check,published,recomputed,status
era_summary[Pre-TJ (2020-2024)],avg_rel_z,5.688,5.688,PASS
era_summary[Pre-TJ (2020-2024)],avg_extension,5.78,5.78,PASS
era_summary[Pre-TJ (2020-2024)],avg_rsa_proxy (NEW KPI recomputed),63.59,63.59,PASS
era_summary[Post-TJ (2025-2026)],outings,75,75,PASS
era_summary[Post-TJ (2025-2026)],pitches,1022,1022,PASS
era_summary[Post-TJ (2025-2026)],batters_faced,269,269,PASS
era_summary[Post-TJ (2025-2026)],hits,44,44,PASS
era_summary[Post-TJ (2025-2026)],hrs,2,2,PASS
era_summary[Post-TJ (2025-2026)],ba,0.185,0.185,PASS
era_summary[Post-TJ (2025-2026)],obp,0.257,0.257,PASS
era_summary[Post-TJ (2025-2026)],slg,0.273,0.273,PASS
era_summary[Post-TJ (2025-2026)],woba,0.239,0.239,PASS
era_summary[Post-TJ (2025-2026)],k_rate,0.242,0.242,PASS
era_summary[Post-TJ (2025-2026)],bb_rate,0.074,0.074,PASS
era_summary[Post-TJ (2025-2026)],hr_rate,0.007,0.007,PASS
era_summary[Post-TJ (2025-2026)],whiff_rate,0.219,0.219,PASS
era_summary[Post-TJ (2025-2026)],chase_rate,0.292,0.292,PASS
era_summary[Post-TJ (2025-2026)],zone_rate_strict,0.502,0.502,PASS
era_summary[Post-TJ (2025-2026)],csw_rate,0.295,0.295,PASS
era_summary[Post-TJ (2025-2026)],putaway_rate,0.222,0.222,PASS
era_summary[Post-TJ (2025-2026)],first_pitch_strike_rate,0.643,0.643,PASS
era_summary[Post-TJ (2025-2026)],hard_hit_rate,0.331,0.331,PASS
era_summary[Post-TJ (2025-2026)],xwobacon,0.307,0.307,PASS
era_summary[Post-TJ (2025-2026)],"xwobacon_bip (published = all BIP, `size` semantics)",178,178,PASS
era_summary[Post-TJ (2025-2026)],O4: BIP rows lacking an xwOBA estimate (published n minus true n),2,2,PASS
era_summary[Post-TJ (2025-2026)],avg_velo,84.95,84.95,PASS
era_summary[Post-TJ (2025-2026)],avg_arm_angle_native,31.54,31.54,PASS
era_summary[Post-TJ (2025-2026)],avg_rel_x,3.128,3.128,PASS
era_summary[Post-TJ (2025-2026)],avg_rel_z,5.601,5.601,PASS
era_summary[Post-TJ (2025-2026)],avg_extension,5.885,5.885,PASS
era_summary[Post-TJ (2025-2026)],avg_rsa_proxy (NEW KPI recomputed),60.81,60.81,PASS
season_log[2020],pitches,336,336,PASS
season_log[2020],batters_faced,84,84,PASS
season_log[2020],outings,21,21,PASS
season_log[2020],woba,0.277,0.277,PASS
season_log[2020],whiff_rate,0.317,0.317,PASS
season_log[2020],hard_hit_rate,0.213,0.213,PASS
season_log[2021],pitches,865,865,PASS
season_log[2021],batters_faced,206,206,PASS
season_log[2021],outings,58,58,PASS
season_log[2021],woba,0.291,0.291,PASS
season_log[2021],whiff_rate,0.324,0.324,PASS
season_log[2021],hard_hit_rate,0.215,0.215,PASS
season_log[2022],pitches,846,846,PASS
season_log[2022],batters_faced,219,219,PASS
season_log[2022],outings,60,60,PASS
season_log[2022],woba,0.246,0.246,PASS
season_log[2022],whiff_rate,0.281,0.281,PASS
season_log[2022],hard_hit_rate,0.285,0.285,PASS
season_log[2023],pitches,996,996,PASS
season_log[2023],batters_faced,236,236,PASS
season_log[2023],outings,66,66,PASS
season_log[2023],woba,0.284,0.284,PASS
season_log[2023],whiff_rate,0.293,0.293,PASS
season_log[2023],hard_hit_rate,0.292,0.292,PASS
season_log[2024],pitches,119,119,PASS
season_log[2024],batters_faced,25,25,PASS
season_log[2024],outings,8,8,PASS
season_log[2024],woba,0.168,0.168,PASS
season_log[2024],whiff_rate,0.241,0.241,PASS
season_log[2024],hard_hit_rate,0.308,0.308,PASS
season_log[2025],pitches,388,388,PASS
season_log[2025],batters_faced,99,99,PASS
season_log[2025],outings,30,30,PASS
season_log[2025],woba,0.2,0.2,PASS
season_log[2025],whiff_rate,0.208,0.208,PASS
season_log[2025],hard_hit_rate,0.379,0.379,PASS
season_log[2026],pitches,634,634,PASS
season_log[2026],batters_faced,170,170,PASS
season_log[2026],outings,45,45,PASS
season_log[2026],woba,0.262,0.262,PASS
season_log[2026],whiff_rate,0.225,0.225,PASS
season_log[2026],hard_hit_rate,0.304,0.304,PASS
season_log,season_log rows == distinct seasons,7,7,PASS
arsenal,[Pre-TJ (2020-2024)] usage sums to 1,1.0,1.001,PASS
arsenal,[Pre-TJ (2020-2024)] pitch-type count,6,6,PASS
arsenal[Pre-TJ (2020-2024)/Sweeper],pitches,1044,1044,PASS
arsenal[Pre-TJ (2020-2024)/Sweeper],usage,0.332,0.332,PASS
arsenal[Pre-TJ (2020-2024)/Sweeper],velo,81.514,81.514,PASS
arsenal[Pre-TJ (2020-2024)/Sweeper],spin,2911.92,2911.92,PASS
arsenal[Pre-TJ (2020-2024)/Sweeper],ivb_in,2.505,2.505,PASS
arsenal[Pre-TJ (2020-2024)/Sweeper],hb_in,-17.578,-17.578,PASS
arsenal[Pre-TJ (2020-2024)/Sweeper],whiff_rate,0.372,0.372,PASS
arsenal[Pre-TJ (2020-2024)/Sweeper],chase_rate,0.386,0.386,PASS
arsenal[Pre-TJ (2020-2024)/Sweeper],csw_rate,0.362,0.362,PASS
arsenal[Pre-TJ (2020-2024)/Sweeper],hard_hit_rate,0.201,0.201,PASS
arsenal[Pre-TJ (2020-2024)/Sweeper],xwobacon,0.34,0.34,PASS
arsenal[Pre-TJ (2020-2024)/Cutter],pitches,850,850,PASS
arsenal[Pre-TJ (2020-2024)/Cutter],usage,0.27,0.27,PASS
arsenal[Pre-TJ (2020-2024)/Cutter],velo,87.264,87.264,PASS
arsenal[Pre-TJ (2020-2024)/Cutter],spin,2572.769,2572.769,PASS
arsenal[Pre-TJ (2020-2024)/Cutter],ivb_in,6.62,6.62,PASS
arsenal[Pre-TJ (2020-2024)/Cutter],hb_in,-4.335,-4.335,PASS
arsenal[Pre-TJ (2020-2024)/Cutter],whiff_rate,0.264,0.264,PASS
arsenal[Pre-TJ (2020-2024)/Cutter],chase_rate,0.298,0.298,PASS
arsenal[Pre-TJ (2020-2024)/Cutter],csw_rate,0.308,0.308,PASS
arsenal[Pre-TJ (2020-2024)/Cutter],hard_hit_rate,0.29,0.29,PASS
arsenal[Pre-TJ (2020-2024)/Cutter],xwobacon,0.376,0.376,PASS
arsenal[Pre-TJ (2020-2024)/Sinker],pitches,617,617,PASS
arsenal[Pre-TJ (2020-2024)/Sinker],usage,0.196,0.196,PASS
arsenal[Pre-TJ (2020-2024)/Sinker],velo,90.302,90.302,PASS
arsenal[Pre-TJ (2020-2024)/Sinker],spin,2347.867,2347.867,PASS
arsenal[Pre-TJ (2020-2024)/Sinker],ivb_in,4.954,4.954,PASS
arsenal[Pre-TJ (2020-2024)/Sinker],hb_in,15.575,15.575,PASS
arsenal[Pre-TJ (2020-2024)/Sinker],whiff_rate,0.151,0.151,PASS
arsenal[Pre-TJ (2020-2024)/Sinker],chase_rate,0.182,0.182,PASS
arsenal[Pre-TJ (2020-2024)/Sinker],csw_rate,0.318,0.318,PASS
arsenal[Pre-TJ (2020-2024)/Sinker],hard_hit_rate,0.379,0.379,PASS
arsenal[Pre-TJ (2020-2024)/Sinker],xwobacon,0.379,0.379,PASS
arsenal[Pre-TJ (2020-2024)/Changeup],pitches,380,380,PASS
arsenal[Pre-TJ (2020-2024)/Changeup],usage,0.121,0.121,PASS
arsenal[Pre-TJ (2020-2024)/Changeup],velo,85.134,85.134,PASS
arsenal[Pre-TJ (2020-2024)/Changeup],spin,1976.039,1976.039,PASS
arsenal[Pre-TJ (2020-2024)/Changeup],ivb_in,1.712,1.712,PASS
arsenal[Pre-TJ (2020-2024)/Changeup],hb_in,16.873,16.873,PASS
arsenal[Pre-TJ (2020-2024)/Changeup],whiff_rate,0.36,0.36,PASS
arsenal[Pre-TJ (2020-2024)/Changeup],chase_rate,0.342,0.342,PASS
arsenal[Pre-TJ (2020-2024)/Changeup],csw_rate,0.2,0.2,PASS
arsenal[Pre-TJ (2020-2024)/Changeup],hard_hit_rate,0.21,0.21,PASS
arsenal[Pre-TJ (2020-2024)/Changeup],xwobacon,0.241,0.241,PASS
arsenal[Pre-TJ (2020-2024)/Curveball],pitches,147,147,PASS
arsenal[Pre-TJ (2020-2024)/Curveball],usage,0.047,0.047,PASS
arsenal[Pre-TJ (2020-2024)/Curveball],velo,78.863,78.863,PASS
arsenal[Pre-TJ (2020-2024)/Curveball],spin,2951.687,2951.687,PASS
arsenal[Pre-TJ (2020-2024)/Curveball],ivb_in,-5.944,-5.944,PASS
arsenal[Pre-TJ (2020-2024)/Curveball],hb_in,-15.509,-15.509,PASS
arsenal[Pre-TJ (2020-2024)/Curveball],whiff_rate,0.328,0.328,PASS
arsenal[Pre-TJ (2020-2024)/Curveball],chase_rate,0.273,0.273,PASS
arsenal[Pre-TJ (2020-2024)/Curveball],csw_rate,0.286,0.286,PASS
arsenal[Pre-TJ (2020-2024)/Curveball],hard_hit_rate,0.211,0.211,PASS
arsenal[Pre-TJ (2020-2024)/Curveball],xwobacon,0.325,0.325,PASS
arsenal[Pre-TJ (2020-2024)/4-Seam Fastball],pitches,110,110,PASS
arsenal[Pre-TJ (2020-2024)/4-Seam Fastball],usage,0.035,0.035,PASS
arsenal[Pre-TJ (2020-2024)/4-Seam Fastball],velo,90.546,90.546,PASS
arsenal[Pre-TJ (2020-2024)/4-Seam Fastball],spin,2429.636,2429.636,PASS
arsenal[Pre-TJ (2020-2024)/4-Seam Fastball],ivb_in,14.302,14.302,PASS
arsenal[Pre-TJ (2020-2024)/4-Seam Fastball],hb_in,6.457,6.457,PASS
arsenal[Pre-TJ (2020-2024)/4-Seam Fastball],whiff_rate,0.224,0.224,PASS
arsenal[Pre-TJ (2020-2024)/4-Seam Fastball],chase_rate,0.22,0.22,PASS
arsenal[Pre-TJ (2020-2024)/4-Seam Fastball],csw_rate,0.236,0.236,PASS
arsenal[Pre-TJ (2020-2024)/4-Seam Fastball],hard_hit_rate,0.25,0.25,PASS
arsenal[Pre-TJ (2020-2024)/4-Seam Fastball],xwobacon,0.508,0.508,PASS
arsenal,[Post-TJ (2025-2026)] usage sums to 1,1.0,1.0,PASS
arsenal,[Post-TJ (2025-2026)] pitch-type count,4,4,PASS
arsenal[Post-TJ (2025-2026)/Sweeper],pitches,401,401,PASS
arsenal[Post-TJ (2025-2026)/Sweeper],usage,0.394,0.394,PASS
arsenal[Post-TJ (2025-2026)/Sweeper],velo,80.947,80.947,PASS
arsenal[Post-TJ (2025-2026)/Sweeper],spin,2918.651,2918.651,PASS
arsenal[Post-TJ (2025-2026)/Sweeper],ivb_in,4.774,4.774,PASS
arsenal[Post-TJ (2025-2026)/Sweeper],hb_in,-16.8,-16.8,PASS
arsenal[Post-TJ (2025-2026)/Sweeper],whiff_rate,0.232,0.232,PASS
arsenal[Post-TJ (2025-2026)/Sweeper],chase_rate,0.314,0.314,PASS
arsenal[Post-TJ (2025-2026)/Sweeper],csw_rate,0.307,0.307,PASS
arsenal[Post-TJ (2025-2026)/Sweeper],hard_hit_rate,0.371,0.371,PASS
arsenal[Post-TJ (2025-2026)/Sweeper],xwobacon,0.361,0.361,PASS
arsenal[Post-TJ (2025-2026)/Cutter],pitches,256,256,PASS
arsenal[Post-TJ (2025-2026)/Cutter],usage,0.251,0.251,PASS
arsenal[Post-TJ (2025-2026)/Cutter],velo,86.725,86.725,PASS
arsenal[Post-TJ (2025-2026)/Cutter],spin,2579.447,2579.447,PASS
arsenal[Post-TJ (2025-2026)/Cutter],ivb_in,6.422,6.422,PASS
arsenal[Post-TJ (2025-2026)/Cutter],hb_in,-3.815,-3.815,PASS
arsenal[Post-TJ (2025-2026)/Cutter],whiff_rate,0.248,0.248,PASS
arsenal[Post-TJ (2025-2026)/Cutter],chase_rate,0.336,0.336,PASS
arsenal[Post-TJ (2025-2026)/Cutter],csw_rate,0.297,0.297,PASS
arsenal[Post-TJ (2025-2026)/Cutter],hard_hit_rate,0.289,0.289,PASS
arsenal[Post-TJ (2025-2026)/Cutter],xwobacon,0.237,0.237,PASS
arsenal[Post-TJ (2025-2026)/Sinker],pitches,231,231,PASS
arsenal[Post-TJ (2025-2026)/Sinker],usage,0.227,0.227,PASS
arsenal[Post-TJ (2025-2026)/Sinker],velo,90.331,90.331,PASS
arsenal[Post-TJ (2025-2026)/Sinker],spin,2385.555,2385.555,PASS
arsenal[Post-TJ (2025-2026)/Sinker],ivb_in,4.514,4.514,PASS
arsenal[Post-TJ (2025-2026)/Sinker],hb_in,16.988,16.988,PASS
arsenal[Post-TJ (2025-2026)/Sinker],whiff_rate,0.13,0.13,PASS
arsenal[Post-TJ (2025-2026)/Sinker],chase_rate,0.163,0.163,PASS
arsenal[Post-TJ (2025-2026)/Sinker],csw_rate,0.338,0.338,PASS
arsenal[Post-TJ (2025-2026)/Sinker],hard_hit_rate,0.471,0.471,PASS
arsenal[Post-TJ (2025-2026)/Sinker],xwobacon,0.297,0.297,PASS
arsenal[Post-TJ (2025-2026)/Changeup],pitches,130,130,PASS
arsenal[Post-TJ (2025-2026)/Changeup],usage,0.128,0.128,PASS
arsenal[Post-TJ (2025-2026)/Changeup],velo,84.208,84.208,PASS
arsenal[Post-TJ (2025-2026)/Changeup],spin,1966.906,1966.906,PASS
arsenal[Post-TJ (2025-2026)/Changeup],ivb_in,-0.263,-0.263,PASS
arsenal[Post-TJ (2025-2026)/Changeup],hb_in,17.214,17.214,PASS
arsenal[Post-TJ (2025-2026)/Changeup],whiff_rate,0.224,0.224,PASS
arsenal[Post-TJ (2025-2026)/Changeup],chase_rate,0.333,0.333,PASS
arsenal[Post-TJ (2025-2026)/Changeup],csw_rate,0.185,0.185,PASS
arsenal[Post-TJ (2025-2026)/Changeup],hard_hit_rate,0.138,0.138,PASS
arsenal[Post-TJ (2025-2026)/Changeup],xwobacon,0.292,0.292,PASS
platoon[Pre-TJ (2020-2024)/L],pitches,1263,1263,PASS
platoon[Pre-TJ (2020-2024)/L],batters_faced,308,308,PASS
platoon[Pre-TJ (2020-2024)/L],woba,0.241,0.241,PASS
platoon[Pre-TJ (2020-2024)/L],whiff_rate,0.328,0.328,PASS
platoon[Pre-TJ (2020-2024)/L],chase_rate,0.292,0.292,PASS
platoon[Pre-TJ (2020-2024)/L],csw_rate,0.344,0.344,PASS
platoon[Pre-TJ (2020-2024)/L],putaway_rate,0.262,0.262,PASS
platoon[Pre-TJ (2020-2024)/L],first_pitch_strike_rate,0.664,0.664,PASS
platoon[Pre-TJ (2020-2024)/L],hard_hit_rate,0.231,0.231,PASS
platoon[Pre-TJ (2020-2024)/L],xwobacon,0.329,0.329,PASS
platoon[Pre-TJ (2020-2024)/L],zone_rate_strict,0.489,0.489,PASS
platoon[Pre-TJ (2020-2024)/L],slo_ft (NEW KPI recomputed),0.355,0.355,PASS
platoon[Pre-TJ (2020-2024)/R],pitches,1899,1899,PASS
platoon[Pre-TJ (2020-2024)/R],batters_faced,462,462,PASS
platoon[Pre-TJ (2020-2024)/R],woba,0.291,0.291,PASS
platoon[Pre-TJ (2020-2024)/R],whiff_rate,0.28,0.28,PASS
platoon[Pre-TJ (2020-2024)/R],chase_rate,0.32,0.32,PASS
platoon[Pre-TJ (2020-2024)/R],csw_rate,0.287,0.287,PASS
platoon[Pre-TJ (2020-2024)/R],putaway_rate,0.187,0.187,PASS
platoon[Pre-TJ (2020-2024)/R],first_pitch_strike_rate,0.617,0.617,PASS
platoon[Pre-TJ (2020-2024)/R],hard_hit_rate,0.28,0.28,PASS
platoon[Pre-TJ (2020-2024)/R],xwobacon,0.362,0.362,PASS
platoon[Pre-TJ (2020-2024)/R],zone_rate_strict,0.446,0.446,PASS
platoon[Pre-TJ (2020-2024)/R],slo_ft (NEW KPI recomputed),5.997,5.997,PASS
platoon[Post-TJ (2025-2026)/L],pitches,361,361,PASS
platoon[Post-TJ (2025-2026)/L],batters_faced,100,100,PASS
platoon[Post-TJ (2025-2026)/L],woba,0.213,0.213,PASS
platoon[Post-TJ (2025-2026)/L],whiff_rate,0.206,0.206,PASS
platoon[Post-TJ (2025-2026)/L],chase_rate,0.298,0.298,PASS
platoon[Post-TJ (2025-2026)/L],csw_rate,0.26,0.26,PASS
platoon[Post-TJ (2025-2026)/L],putaway_rate,0.24,0.24,PASS
platoon[Post-TJ (2025-2026)/L],first_pitch_strike_rate,0.59,0.59,PASS
platoon[Post-TJ (2025-2026)/L],hard_hit_rate,0.284,0.284,PASS
platoon[Post-TJ (2025-2026)/L],xwobacon,0.239,0.239,PASS
platoon[Post-TJ (2025-2026)/L],zone_rate_strict,0.501,0.501,PASS
platoon[Post-TJ (2025-2026)/L],slo_ft (NEW KPI recomputed),0.187,0.187,PASS
platoon[Post-TJ (2025-2026)/R],pitches,661,661,PASS
platoon[Post-TJ (2025-2026)/R],batters_faced,169,169,PASS
platoon[Post-TJ (2025-2026)/R],woba,0.255,0.255,PASS
platoon[Post-TJ (2025-2026)/R],whiff_rate,0.226,0.226,PASS
platoon[Post-TJ (2025-2026)/R],chase_rate,0.289,0.289,PASS
platoon[Post-TJ (2025-2026)/R],csw_rate,0.313,0.313,PASS
platoon[Post-TJ (2025-2026)/R],putaway_rate,0.213,0.213,PASS
platoon[Post-TJ (2025-2026)/R],first_pitch_strike_rate,0.675,0.675,PASS
platoon[Post-TJ (2025-2026)/R],hard_hit_rate,0.36,0.36,PASS
platoon[Post-TJ (2025-2026)/R],xwobacon,0.349,0.349,PASS
platoon[Post-TJ (2025-2026)/R],zone_rate_strict,0.502,0.502,PASS
platoon[Post-TJ (2025-2026)/R],slo_ft (NEW KPI recomputed),6.35,6.35,PASS
pxh[Sweeper/L],pitches,144,144,PASS
pxh[Sweeper/L],usage_within_hand,0.403,0.403,PASS
pxh[Sweeper/L],whiff_rate,0.271,0.271,PASS
pxh[Sweeper/L],chase_rate,0.386,0.386,PASS
pxh[Sweeper/L],in_zone_rate,0.424,0.424,PASS
pxh[Sweeper/L],csw_rate,0.215,0.215,PASS
pxh[Sweeper/L],hard_hit_rate,0.138,0.138,PASS
pxh[Sweeper/L],xwobacon,0.21,0.21,PASS
pxh[Sweeper/L],velo,81.14,81.14,PASS
pxh[Sinker/L],pitches,112,112,PASS
pxh[Sinker/L],usage_within_hand,0.314,0.314,PASS
pxh[Sinker/L],whiff_rate,0.071,0.071,PASS
pxh[Sinker/L],chase_rate,0.184,0.184,PASS
pxh[Sinker/L],in_zone_rate,0.562,0.562,PASS
pxh[Sinker/L],csw_rate,0.259,0.259,PASS
pxh[Sinker/L],hard_hit_rate,0.55,0.55,PASS
pxh[Sinker/L],xwobacon,0.334,0.334,PASS
pxh[Sinker/L],velo,90.21,90.21,PASS
pxh[Cutter/L],pitches,92,92,PASS
pxh[Cutter/L],usage_within_hand,0.258,0.258,PASS
pxh[Cutter/L],whiff_rate,0.205,0.205,PASS
pxh[Cutter/L],chase_rate,0.25,0.25,PASS
pxh[Cutter/L],in_zone_rate,0.565,0.565,PASS
pxh[Cutter/L],csw_rate,0.337,0.337,PASS
pxh[Cutter/L],hard_hit_rate,0.235,0.235,PASS
pxh[Cutter/L],xwobacon,0.176,0.176,PASS
pxh[Cutter/L],velo,86.8,86.8,PASS
pxh[Sweeper/R],pitches,257,257,PASS
pxh[Sweeper/R],usage_within_hand,0.389,0.389,PASS
pxh[Sweeper/R],whiff_rate,0.205,0.205,PASS
pxh[Sweeper/R],chase_rate,0.255,0.255,PASS
pxh[Sweeper/R],in_zone_rate,0.603,0.603,PASS
pxh[Sweeper/R],csw_rate,0.358,0.358,PASS
pxh[Sweeper/R],hard_hit_rate,0.537,0.537,PASS
pxh[Sweeper/R],xwobacon,0.468,0.468,PASS
pxh[Sweeper/R],velo,80.84,80.84,PASS
pxh[Cutter/R],pitches,164,164,PASS
pxh[Cutter/R],usage_within_hand,0.248,0.248,PASS
pxh[Cutter/R],whiff_rate,0.267,0.267,PASS
pxh[Cutter/R],chase_rate,0.376,0.376,PASS
pxh[Cutter/R],in_zone_rate,0.482,0.482,PASS
pxh[Cutter/R],csw_rate,0.274,0.274,PASS
pxh[Cutter/R],hard_hit_rate,0.321,0.321,PASS
pxh[Cutter/R],xwobacon,0.277,0.277,PASS
pxh[Cutter/R],velo,86.68,86.68,PASS
pxh[Changeup/R],pitches,121,121,PASS
pxh[Changeup/R],usage_within_hand,0.183,0.183,PASS
pxh[Changeup/R],whiff_rate,0.222,0.222,PASS
pxh[Changeup/R],chase_rate,0.333,0.333,PASS
pxh[Changeup/R],in_zone_rate,0.281,0.281,PASS
pxh[Changeup/R],csw_rate,0.174,0.174,PASS
pxh[Changeup/R],hard_hit_rate,0.143,0.143,PASS
pxh[Changeup/R],xwobacon,0.294,0.294,PASS
pxh[Changeup/R],velo,84.16,84.16,PASS
pxh[Sinker/R],pitches,119,119,PASS
pxh[Sinker/R],usage_within_hand,0.18,0.18,PASS
pxh[Sinker/R],whiff_rate,0.2,0.2,PASS
pxh[Sinker/R],chase_rate,0.145,0.145,PASS
pxh[Sinker/R],in_zone_rate,0.538,0.538,PASS
pxh[Sinker/R],csw_rate,0.412,0.412,PASS
pxh[Sinker/R],hard_hit_rate,0.357,0.357,PASS
pxh[Sinker/R],xwobacon,0.243,0.243,PASS
pxh[Sinker/R],velo,90.45,90.45,PASS
two_strike[Sweeper/L],two_strike_pitches,72,72,PASS
two_strike[Sweeper/L],share_of_two_strike,0.75,0.75,PASS
two_strike[Sweeper/L],whiff_rate,0.386,0.386,PASS
two_strike[Sweeper/L],chase_rate,0.429,0.429,PASS
two_strike[Sweeper/L],in_zone_rate,0.319,0.319,PASS
two_strike[Sinker/L],two_strike_pitches,10,10,PASS
two_strike[Sinker/L],share_of_two_strike,0.104,0.104,PASS
two_strike[Sinker/L],whiff_rate,0.143,0.143,PASS
two_strike[Sinker/L],chase_rate,0.5,0.5,PASS
two_strike[Sinker/L],in_zone_rate,0.6,0.6,PASS
two_strike[Sweeper/R],two_strike_pitches,88,88,PASS
two_strike[Sweeper/R],share_of_two_strike,0.447,0.447,PASS
two_strike[Sweeper/R],whiff_rate,0.115,0.115,PASS
two_strike[Sweeper/R],chase_rate,0.314,0.314,PASS
two_strike[Sweeper/R],in_zone_rate,0.602,0.602,PASS
two_strike[Changeup/R],two_strike_pitches,56,56,PASS
two_strike[Changeup/R],share_of_two_strike,0.284,0.284,PASS
two_strike[Changeup/R],whiff_rate,0.194,0.194,PASS
two_strike[Changeup/R],chase_rate,0.467,0.467,PASS
two_strike[Changeup/R],in_zone_rate,0.196,0.196,PASS
two_strike[Cutter/R],two_strike_pitches,40,40,PASS
two_strike[Cutter/R],share_of_two_strike,0.203,0.203,PASS
two_strike[Cutter/R],whiff_rate,0.48,0.48,PASS
two_strike[Cutter/R],chase_rate,0.4,0.4,PASS
two_strike[Cutter/R],in_zone_rate,0.375,0.375,PASS
two_strike[Sinker/R],two_strike_pitches,13,13,PASS
two_strike[Sinker/R],share_of_two_strike,0.066,0.066,PASS
two_strike[Sinker/R],whiff_rate,0.143,0.143,PASS
two_strike[Sinker/R],chase_rate,0.286,0.286,PASS
two_strike[Sinker/R],in_zone_rate,0.462,0.462,PASS
benchmark,population size,28,28,PASS
benchmark,population is 28 (as reported),28,28,PASS
"bench[Milner, Hoby]",pitches,628,628,PASS
"bench[Milner, Hoby]",rel_x,3.827,3.827,PASS
"bench[Milner, Hoby]",rel_z,4.507,4.507,PASS
"bench[Milner, Hoby]",rsa_proxy,49.668,49.668,PASS
"bench[Milner, Hoby]",rdi,3.231,3.231,PASS
"bench[Milner, Hoby]",slo_vs_lhh,0.619,0.619,PASS
"bench[Milner, Hoby]",slo_vs_rhh,7.035,7.035,PASS
"bench[Backhus, Kyle]",pitches,334,334,PASS
"bench[Backhus, Kyle]",rel_x,3.145,3.145,PASS
"bench[Backhus, Kyle]",rel_z,4.25,4.25,PASS
"bench[Backhus, Kyle]",rsa_proxy,53.497,53.497,PASS
"bench[Backhus, Kyle]",rdi,3.101,3.101,PASS
"bench[Backhus, Kyle]",slo_vs_lhh,0.063,0.063,PASS
"bench[Backhus, Kyle]",slo_vs_rhh,6.353,6.353,PASS
"bench[Vargas, Jason]",pitches,959,959,PASS
"bench[Vargas, Jason]",rel_x,3.245,3.245,PASS
"bench[Vargas, Jason]",rel_z,5.364,5.364,PASS
"bench[Vargas, Jason]",rsa_proxy,58.829,58.829,PASS
"bench[Vargas, Jason]",rdi,1.603,1.603,PASS
"bench[Vargas, Jason]",slo_vs_lhh,0.037,0.037,PASS
"bench[Vargas, Jason]",slo_vs_rhh,6.453,6.453,PASS
"bench[Diekman, Jake]",pitches,717,717,PASS
"bench[Diekman, Jake]",rel_x,3.334,3.334,PASS
"bench[Diekman, Jake]",rel_z,5.623,5.623,PASS
"bench[Diekman, Jake]",rsa_proxy,59.334,59.334,PASS
"bench[Diekman, Jake]",rdi,1.521,1.521,PASS
"bench[Diekman, Jake]",slo_vs_lhh,0.126,0.126,PASS
"bench[Diekman, Jake]",slo_vs_rhh,6.542,6.542,PASS
"bench[Vasquez, Andrew]",pitches,653,653,PASS
"bench[Vasquez, Andrew]",rel_x,3.015,3.015,PASS
"bench[Vasquez, Andrew]",rel_z,5.77,5.77,PASS
"bench[Vasquez, Andrew]",rsa_proxy,62.408,62.408,PASS
