player_name,batter,game_year,plate_apps,pitches,at_bats,hits,walks,unint_walks,hbp,strikeouts,sf,singles,doubles,triples,hrs,bip,ba,obp,slg,ops,iso,krate,bbrate,babip,woba,swings,whiffs,whiff_rate,chases,ooz,chase_rate,bips,hard_hits,hard_hit_rate,bips_barrel,barrels,barrel_rate,runs_created,rc_per_pa,below_house_floor,in_population
"Anderson, Chase",502624,2021,14,43,11,0,0,0,0,6,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,24.0,12.0,0.5,9.0,19.0,0.47368421052631576,8.0,1.0,0.125,8.0,0.0,0.0,2,0.14285714285714285,True,False
"Anderson, Drew",623454,2018,4,12,3,0,0,0,0,1,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,8.0,3.0,0.375,3.0,5.0,0.6,3.0,1.0,0.3333333333333333,3.0,0.0,0.0,0,0.0,True,False
"Anderson, Drew",623454,2019,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,2.0,1.0,1.0,2.0,0.5,,,,,,,0,0.0,True,False
"Araujo, Elvis",542587,2015,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,1.0,0.5,0.0,1.0,0.0,,,,,,,0,0.0,True,False
"Arraez, Luis",650333,2026,62,235,59,14,2,2,0,2,1,9,4,0,1,57,0.23728813559322035,0.25806451612903225,0.3559322033898305,0.6139967195188627,0.11864406779661016,0.03225806451612903,0.03225806451612903,0.22807017543859648,0.26582258064516123,115.0,8.0,0.06956521739130435,43.0,128.0,0.3359375,57.0,9.0,0.15789473684210525,57.0,1.0,0.017543859649122806,9,0.14516129032258066,False,True
"Arrieta, Jake",453562,2018,50,206,45,6,3,3,0,27,0,5,0,0,1,20,0.13333333333333333,0.1875,0.2,0.3875,0.06666666666666668,0.54,0.06,0.29411764705882354,0.1771041666666667,81.0,37.0,0.4567901234567901,24.0,101.0,0.2376237623762376,20.0,5.0,0.25,20.0,0.0,0.0,3,0.06,False,True
"Arrieta, Jake",453562,2019,50,186,45,7,1,1,0,19,0,6,1,0,0,30,0.15555555555555556,0.17391304347826086,0.17777777777777778,0.3516908212560387,0.022222222222222227,0.38,0.02,0.2692307692307692,0.15493478260869567,82.0,29.0,0.35365853658536583,28.0,86.0,0.32558139534883723,30.0,8.0,0.26666666666666666,30.0,0.0,0.0,5,0.1,False,True
"Asche, Cody",605125,2015,457,1722,426,104,26,23,4,111,1,67,22,3,12,315,0.24413145539906103,0.29321663019693656,0.39436619718309857,0.6875828273800351,0.15023474178403753,0.24288840262582057,0.05689277899343545,0.3026315789473684,0.29712334801762114,835.0,207.0,0.24790419161676647,272.0,903.0,0.301218161683278,315.0,104.0,0.33015873015873015,315.0,18.0,0.05714285714285714,41,0.08971553610503283,False,True
"Asche, Cody",605125,2016,218,914,197,42,18,18,2,54,1,23,15,0,4,144,0.2131979695431472,0.28440366972477066,0.350253807106599,0.6346574768313696,0.13705583756345177,0.24770642201834864,0.08256880733944955,0.2714285714285714,0.2787339449541284,409.0,81.0,0.1980440097799511,126.0,486.0,0.25925925925925924,144.0,43.0,0.2986111111111111,144.0,5.0,0.034722222222222224,20,0.09174311926605505,False,True
"Asher, Alec",594742,2015,6,25,6,2,0,0,0,3,0,1,1,0,0,3,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333333,0.16666666666666669,0.5,0.0,0.6666666666666666,0.3561666666666667,11.0,5.0,0.45454545454545453,3.0,9.0,0.3333333333333333,3.0,2.0,0.6666666666666666,3.0,0.0,0.0,0,0.0,True,False
"Asher, Alec",594742,2016,11,47,11,1,0,0,0,6,0,1,0,0,0,5,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.5454545454545454,0.0,0.2,0.07981818181818182,17.0,8.0,0.47058823529411764,5.0,18.0,0.2777777777777778,5.0,0.0,0.0,5.0,0.0,0.0,2,0.18181818181818182,True,False
"Aumont, Phillippe",518418,2015,1,6,0,0,1,1,0,0,0,0,0,0,0,0,,1.0,,,,0.0,1.0,,0.687,,,,0.0,5.0,0.0,,,,,,,0,0.0,True,False
"Bader, Harrison",664056,2025,198,731,179,55,12,12,5,56,2,38,11,1,5,125,0.30726256983240224,0.36363636363636365,0.46368715083798884,0.8273235144743525,0.1564245810055866,0.2828282828282828,0.06060606060606061,0.4166666666666667,0.3583787878787879,375.0,106.0,0.2826666666666667,134.0,384.0,0.3489583333333333,125.0,51.0,0.408,125.0,10.0,0.08,17,0.08585858585858586,False,True
"Bautista, José",430832,2018,57,262,45,11,11,11,1,15,0,5,4,0,2,30,0.24444444444444444,0.40350877192982454,0.4666666666666667,0.8701754385964913,0.22222222222222224,0.2631578947368421,0.19298245614035087,0.32142857142857145,0.3817543859649123,100.0,31.0,0.31,26.0,145.0,0.1793103448275862,30.0,13.0,0.43333333333333335,30.0,2.0,0.06666666666666667,6,0.10526315789473684,False,True
"Berroa, Steward",672642,2026,7,23,7,1,0,0,0,4,0,1,0,0,0,3,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.5714285714285714,0.0,0.3333333333333333,0.127,13.0,1.0,0.07692307692307693,4.0,8.0,0.5,3.0,0.0,0.0,3.0,0.0,0.0,1,0.14285714285714285,True,False
"Billingsley, Chad",451532,2015,14,45,13,1,0,0,0,5,0,0,0,0,1,9,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.38461538461538464,0.23076923076923078,0.35714285714285715,0.0,0.0,0.15884615384615383,19.0,6.0,0.3157894736842105,8.0,22.0,0.36363636363636365,9.0,2.0,0.2222222222222222,9.0,0.0,0.0,1,0.07142857142857142,True,False
"Blanco, Andrés",433217,2015,261,1008,233,68,21,21,4,44,0,36,22,3,7,192,0.2918454935622318,0.36046511627906974,0.5021459227467812,0.8626110390258509,0.2103004291845494,0.1685823754789272,0.08045977011494253,0.33516483516483514,0.3716434108527132,487.0,107.0,0.21971252566735114,162.0,535.0,0.30280373831775703,192.0,51.0,0.265625,192.0,10.0,0.052083333333333336,26,0.09961685823754789,False,True
"Blanco, Andrés",433217,2016,209,786,190,48,11,11,7,41,1,28,15,1,4,150,0.25263157894736843,0.3157894736842105,0.4052631578947368,0.7210526315789474,0.1526315789473684,0.19617224880382775,0.05263157894736842,0.3013698630136986,0.31335406698564594,417.0,111.0,0.26618705035971224,152.0,443.0,0.3431151241534989,150.0,53.0,0.35333333333333333,150.0,3.0,0.02,23,0.11004784688995216,False,True
"Blanco, Andrés",433217,2017,144,553,130,25,12,12,0,34,2,18,4,0,3,98,0.19230769230769232,0.2569444444444444,0.2923076923076923,0.5492521367521368,0.1,0.2361111111111111,0.08333333333333333,0.23157894736842105,0.24284722222222221,296.0,89.0,0.30067567567567566,80.0,262.0,0.3053435114503817,98.0,23.0,0.23469387755102042,98.0,3.0,0.030612244897959183,14,0.09722222222222222,False,True
"Bogusevic, Brian",460131,2015,61,246,58,15,3,3,0,21,0,10,3,0,2,37,0.25862068965517243,0.29508196721311475,0.41379310344827586,0.7088750706613907,0.15517241379310343,0.3442622950819672,0.04918032786885246,0.37142857142857144,0.3076885245901639,120.0,39.0,0.325,46.0,140.0,0.32857142857142857,37.0,12.0,0.32432432432432434,37.0,1.0,0.02702702702702703,5,0.08196721311475409,False,True
"Bohm, Alec",664761,2020,180,661,160,54,16,16,2,36,2,39,11,0,4,126,0.3375,0.4,0.48125,0.8812500000000001,0.14375,0.2,0.08888888888888889,0.4098360655737705,0.38117222222222225,314.0,79.0,0.2515923566878981,85.0,340.0,0.25,126.0,59.0,0.46825396825396826,126.0,13.0,0.10317460317460317,26,0.14444444444444443,False,True
"Bohm, Alec",664761,2021,417,1673,380,94,31,31,2,111,4,72,15,0,7,273,0.24736842105263157,0.30455635491606714,0.34210526315789475,0.6466616180739619,0.09473684210526317,0.26618705035971224,0.07434052757793765,0.32706766917293234,0.2850431654676259,818.0,218.0,0.2665036674816626,224.0,861.0,0.2601626016260163,273.0,135.0,0.4945054945054945,273.0,18.0,0.06593406593406594,52,0.12470023980815348,False,True
"Bohm, Alec",664761,2022,695,2518,645,177,33,33,6,126,11,131,29,3,14,529,0.2744186046511628,0.3107913669064748,0.3937984496124031,0.704589816518878,0.11937984496124032,0.18129496402877698,0.04748201438848921,0.31589147286821706,0.30682158273381294,1295.0,281.0,0.21698841698841698,417.0,1307.0,0.3190512624330528,529.0,230.0,0.43478260869565216,529.0,36.0,0.06805293005671077,86,0.1237410071942446,False,True
"Bohm, Alec",664761,2023,663,2436,604,164,47,47,6,103,6,109,34,0,21,507,0.271523178807947,0.3273001508295626,0.43211920529801323,0.7594193561275758,0.1605960264900662,0.15535444947209653,0.07088989441930618,0.294238683127572,0.32834841628959277,1211.0,228.0,0.18827415359207267,363.0,1206.0,0.3009950248756219,507.0,209.0,0.41222879684418146,507.0,29.0,0.05719921104536489,106,0.15987933634992457,False,True
"Bohm, Alec",664761,2024,619,2161,568,156,39,39,6,86,6,95,44,2,15,487,0.2746478873239437,0.3247172859450727,0.43838028169014087,0.7630975676352136,0.1637323943661972,0.13893376413570274,0.0630048465266559,0.29809725158562367,0.3297043618739903,1075.0,188.0,0.17488372093023255,290.0,1057.0,0.27436140018921473,487.0,220.0,0.4517453798767967,487.0,33.0,0.06776180698151951,99,0.15993537964458804,False,True
"Bohm, Alec",664761,2025,520,1861,476,137,33,33,5,83,6,105,18,3,11,399,0.28781512605042014,0.33653846153846156,0.40756302521008403,0.7441014867485456,0.11974789915966388,0.1596153846153846,0.06346153846153846,0.3247422680412371,0.32445769230769234,888.0,132.0,0.14864864864864866,221.0,862.0,0.25638051044083526,399.0,186.0,0.46616541353383456,399.0,26.0,0.06516290726817042,62,0.11923076923076924,False,True
"Bohm, Alec",664761,2026,495,1802,450,108,32,31,8,69,5,73,21,0,14,383,0.24,0.298989898989899,0.38,0.678989898989899,0.14,0.1393939393939394,0.06464646464646465,0.25268817204301075,0.29846761133603233,835.0,134.0,0.16047904191616766,231.0,899.0,0.25695216907675195,383.0,162.0,0.42297650130548303,383.0,22.0,0.057441253263707574,71,0.14343434343434344,False,True
"Bonifacio, Jorge",593528,2021,12,46,11,1,1,1,0,6,0,1,0,0,0,5,0.09090909090909091,0.16666666666666666,0.09090909090909091,0.25757575757575757,0.0,0.5,0.08333333333333333,0.2,0.13091666666666665,24.0,12.0,0.5,10.0,26.0,0.38461538461538464,5.0,1.0,0.2,5.0,0.0,0.0,2,0.16666666666666666,True,False
"Bour, Justin",571506,2018,54,223,49,11,4,4,1,13,0,7,3,0,1,36,0.22448979591836735,0.2962962962962963,0.3469387755102041,0.6432350718065003,0.12244897959183673,0.24074074074074073,0.07407407407407407,0.2857142857142857,0.28540740740740744,108.0,27.0,0.25,41.0,115.0,0.3565217391304348,36.0,13.0,0.3611111111111111,36.0,3.0,0.08333333333333333,5,0.09259259259259259,False,True
"Bourjos, Peter",488721,2016,383,1332,355,89,17,15,4,91,1,57,20,7,5,271,0.2507042253521127,0.2917771883289125,0.38873239436619716,0.6805095826951096,0.1380281690140845,0.23759791122715404,0.044386422976501305,0.3230769230769231,0.29118133333333335,722.0,206.0,0.2853185595567867,241.0,677.0,0.3559822747415066,271.0,89.0,0.3284132841328413,271.0,7.0,0.025830258302583026,26,0.06788511749347259,False,True
"Bradley, Archie",605151,2021,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,1.0,0.0,,,,,,,0,0.0,True,False
"Brantly, Rob",542963,2019,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,,0,0.0,True,False
"Brown, Domonic",502126,2015,204,773,189,43,14,14,1,36,0,31,6,1,5,153,0.2275132275132275,0.28431372549019607,0.3492063492063492,0.6335200746965453,0.12169312169312169,0.17647058823529413,0.06862745098039216,0.25675675675675674,0.27991176470588236,389.0,84.0,0.2159383033419023,135.0,412.0,0.3276699029126214,153.0,43.0,0.28104575163398693,153.0,7.0,0.0457516339869281,27,0.1323529411764706,False,True
"Bruce, Jay",457803,2019,149,512,145,32,3,3,0,29,1,14,6,0,12,117,0.2206896551724138,0.2348993288590604,0.5103448275862069,0.7452441564452673,0.2896551724137931,0.19463087248322147,0.020134228187919462,0.19047619047619047,0.30088590604026844,309.0,92.0,0.2977346278317152,123.0,283.0,0.43462897526501765,117.0,50.0,0.42735042735042733,117.0,11.0,0.09401709401709402,34,0.22818791946308725,False,True
"Bruce, Jay",457803,2020,102,413,96,19,6,6,0,24,0,7,4,2,6,72,0.19791666666666666,0.24509803921568626,0.46875,0.7138480392156863,0.27083333333333337,0.23529411764705882,0.058823529411764705,0.19696969696969696,0.2972254901960784,222.0,64.0,0.2882882882882883,61.0,220.0,0.2772727272727273,72.0,28.0,0.3888888888888889,72.0,7.0,0.09722222222222222,15,0.14705882352941177,False,True
"Buchanan, David",571527,2015,23,86,20,4,2,2,0,8,0,3,1,0,0,13,0.2,0.2727272727272727,0.25,0.5227272727272727,0.04999999999999999,0.34782608695652173,0.08695652173913043,0.3333333333333333,0.23968181818181816,36.0,12.0,0.3333333333333333,15.0,45.0,0.3333333333333333,13.0,0.0,0.0,13.0,0.0,0.0,2,0.08695652173913043,True,False
"Buchholz, Clay",453329,2017,2,10,2,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,3.0,3.0,1.0,2.0,7.0,0.2857142857142857,,,,,,,0,0.0,True,False
"Burriss, Emmanuel",502034,2016,50,175,45,5,2,2,2,10,0,3,1,1,0,36,0.1111111111111111,0.1836734693877551,0.17777777777777778,0.3614512471655329,0.06666666666666668,0.2,0.04,0.14285714285714285,0.16875510204081634,94.0,25.0,0.26595744680851063,32.0,97.0,0.32989690721649484,36.0,8.0,0.2222222222222222,36.0,0.0,0.0,0,0.0,False,True
"Cabrera, Asdrúbal",452678,2018,185,666,171,39,12,12,2,38,0,21,13,0,5,133,0.22807017543859648,0.2864864864864865,0.391812865497076,0.6782993519835625,0.16374269005847952,0.20540540540540542,0.06486486486486487,0.265625,0.29495135135135137,333.0,84.0,0.25225225225225223,99.0,341.0,0.2903225806451613,133.0,47.0,0.3533834586466165,133.0,9.0,0.06766917293233082,17,0.0918918918918919,False,True
"Camargo, Johan",622666,2022,166,718,152,36,13,13,0,37,0,30,3,0,3,116,0.23684210526315788,0.296969696969697,0.3157894736842105,0.6127591706539075,0.07894736842105263,0.22289156626506024,0.0783132530120482,0.29464285714285715,0.2756121212121212,350.0,87.0,0.24857142857142858,137.0,405.0,0.33827160493827163,116.0,32.0,0.27586206896551724,116.0,3.0,0.02586206896551724,17,0.10240963855421686,False,True
"Castellanos, Nick",592206,2022,627,2320,589,150,32,32,4,148,2,106,31,0,13,443,0.2546689303904924,0.2966507177033493,0.3735144312393888,0.670165148942738,0.11884550084889645,0.23604465709728867,0.051036682615629984,0.3186046511627907,0.29451196172248806,1331.0,428.0,0.32156273478587527,501.0,1246.0,0.40208667736757625,443.0,151.0,0.34085778781038373,443.0,28.0,0.06320541760722348,70,0.11164274322169059,False,True
"Castellanos, Nick",592206,2023,721,2614,673,180,38,38,3,199,7,105,39,2,34,481,0.2674591381872214,0.3065187239944521,0.48291233283803864,0.7894310568324907,0.21545319465081725,0.27600554785020803,0.052704576976421634,0.32662192393736017,0.33443966712898754,1475.0,526.0,0.3566101694915254,578.0,1415.0,0.40848056537102473,481.0,208.0,0.43243243243243246,481.0,53.0,0.1101871101871102,117,0.1622746185852982,False,True
"Castellanos, Nick",592206,2024,676,2392,625,161,39,39,10,141,2,102,31,4,24,483,0.2576,0.3106508875739645,0.4352,0.7458508875739644,0.17759999999999998,0.20857988165680474,0.057692307692307696,0.29653679653679654,0.32317899408284023,1393.0,420.0,0.3015075376884422,467.0,1222.0,0.3821603927986907,483.0,187.0,0.38716356107660455,483.0,42.0,0.08695652173913043,90,0.13313609467455623,False,True
"Castellanos, Nick",592206,2025,605,2227,563,139,32,32,4,136,6,91,29,2,17,432,0.2468916518650089,0.2892561983471074,0.3960923623445826,0.68534856069169,0.14920071047957373,0.22479338842975208,0.05289256198347107,0.2932692307692308,0.29647438016528926,1316.0,394.0,0.2993920972644377,493.0,1201.0,0.4104912572855953,432.0,149.0,0.3449074074074074,432.0,32.0,0.07407407407407407,79,0.1305785123966942,False,True
"Castro, Rodolfo",666801,2023,32,141,30,3,2,2,0,12,0,3,0,0,0,18,0.1,0.15625,0.1,0.25625,0.0,0.375,0.0625,0.16666666666666666,0.12628125,65.0,22.0,0.3384615384615385,27.0,84.0,0.32142857142857145,18.0,4.0,0.2222222222222222,18.0,1.0,0.05555555555555555,3,0.09375,True,True
"Cave, Jake",595909,2023,206,830,187,40,15,15,1,56,2,25,9,1,5,134,0.21390374331550802,0.2731707317073171,0.35294117647058826,0.6261119081779054,0.13903743315508024,0.27184466019417475,0.07281553398058252,0.2734375,0.27329756097560975,406.0,110.0,0.270935960591133,125.0,419.0,0.29832935560859186,134.0,47.0,0.35074626865671643,134.0,10.0,0.07462686567164178,22,0.10679611650485436,False,True
"Clemens, Kody",665019,2023,148,609,139,32,8,8,1,40,0,21,7,0,4,99,0.2302158273381295,0.27702702702702703,0.3669064748201439,0.6439335018471709,0.13669064748201437,0.2702702702702703,0.05405405405405406,0.29473684210526313,0.2808175675675676,290.0,81.0,0.2793103448275862,87.0,289.0,0.30103806228373703,99.0,40.0,0.40404040404040403,99.0,6.0,0.06060606060606061,14,0.0945945945945946,False,True
"Clemens, Kody",665019,2024,125,495,119,27,5,5,1,31,0,11,10,1,5,88,0.226890756302521,0.264,0.453781512605042,0.717781512605042,0.226890756302521,0.248,0.04,0.26506024096385544,0.305976,244.0,64.0,0.26229508196721313,78.0,235.0,0.33191489361702126,88.0,37.0,0.42045454545454547,88.0,6.0,0.06818181818181818,19,0.152,False,True
"Clemens, Kody",665019,2025,7,29,6,0,1,1,0,0,0,0,0,0,0,6,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.09871428571428571,14.0,2.0,0.14285714285714285,2.0,13.0,0.15384615384615385,6.0,1.0,0.16666666666666666,6.0,0.0,0.0,0,0.0,True,False
"Coonrod, Sam",656322,2021,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,0,0.0,True,False
"Correia, Kevin",429781,2015,7,24,6,1,0,0,0,1,0,1,0,0,0,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.14285714285714285,0.0,0.2,0.14683333333333334,8.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0,0.0,True,False
"Cozens, Dylan",622226,2018,44,197,38,6,6,6,0,24,0,3,2,0,1,14,0.15789473684210525,0.2727272727272727,0.2894736842105263,0.562200956937799,0.13157894736842107,0.5454545454545454,0.13636363636363635,0.38461538461538464,0.25693181818181815,89.0,46.0,0.5168539325842697,30.0,114.0,0.2631578947368421,14.0,8.0,0.5714285714285714,14.0,1.0,0.07142857142857142,2,0.045454545454545456,True,True
"Cozens, Dylan",622226,2019,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,1.0,3.0,0.3333333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,True,False
"Crawford, J.P.",641487,2017,87,407,70,15,16,16,0,22,1,10,4,1,0,49,0.21428571428571427,0.3563218390804598,0.3,0.6563218390804597,0.08571428571428572,0.25287356321839083,0.1839080459770115,0.30612244897959184,0.30273563218390803,167.0,36.0,0.2155688622754491,40.0,204.0,0.19607843137254902,49.0,11.0,0.22448979591836735,49.0,0.0,0.0,8,0.09195402298850575,False,True
"Crawford, J.P.",641487,2018,137,604,117,25,13,13,5,37,0,13,6,3,3,82,0.21367521367521367,0.31851851851851853,0.39316239316239315,0.7116809116809117,0.1794871794871795,0.27007299270072993,0.0948905109489051,0.2857142857142857,0.31347407407407407,240.0,66.0,0.275,47.0,285.0,0.1649122807017544,82.0,28.0,0.34146341463414637,82.0,4.0,0.04878048780487805,12,0.08759124087591241,False,True
"Crawford, Justin",702222,2026,367,1331,337,90,21,21,3,67,2,67,17,4,2,276,0.26706231454005935,0.3140495867768595,0.3590504451038576,0.6731000318807171,0.09198813056379823,0.18256130790190736,0.05722070844686648,0.32592592592592595,0.2983140495867769,716.0,132.0,0.18435754189944134,247.0,658.0,0.37537993920972645,276.0,96.0,0.34782608695652173,276.0,4.0,0.014492753623188406,35,0.09536784741144415,False,True
"Crouse, Hans",668968,2021,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,0,0.0,True,False
"Dahl, David",621311,2024,63,266,59,12,3,3,0,21,1,7,2,0,3,38,0.2033898305084746,0.23809523809523808,0.3898305084745763,0.6279257465698144,0.1864406779661017,0.3333333333333333,0.047619047619047616,0.25,0.2682380952380952,144.0,48.0,0.3333333333333333,53.0,146.0,0.363013698630137,38.0,8.0,0.21052631578947367,38.0,3.0,0.07894736842105263,10,0.15873015873015872,False,True
"Danks, Jordan",458668,2015,4,13,4,0,0,0,0,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,4.0,0.6666666666666666,3.0,9.0,0.3333333333333333,2.0,0.0,0.0,2.0,0.0,0.0,0,0.0,True,False
"Davis, Austin",656354,2018,3,14,3,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,8.0,5.0,0.625,3.0,5.0,0.6,,,,,,,0,0.0,True,False
"De Fratus, Justin",518603,2015,3,9,3,1,0,0,0,1,0,1,0,0,0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.5,0.2936666666666667,7.0,2.0,0.2857142857142857,3.0,5.0,0.6,2.0,0.0,0.0,2.0,0.0,0.0,0,0.0,True,False
"De La Cruz, Bryan",650559,2026,36,131,30,10,2,2,2,8,2,7,1,0,2,24,0.3333333333333333,0.3888888888888889,0.5666666666666667,0.9555555555555555,0.23333333333333334,0.2222222222222222,0.05555555555555555,0.36363636363636365,0.40069444444444446,73.0,22.0,0.3013698630136986,31.0,73.0,0.4246575342465753,24.0,9.0,0.375,24.0,2.0,0.08333333333333333,8,0.2222222222222222,True,True
"De Los Santos, Enyel",660853,2018,5,15,3,0,0,0,0,2,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,10.0,2.0,0.2,2.0,6.0,0.3333333333333333,3.0,0.0,0.0,3.0,0.0,0.0,0,0.0,True,False
"De Los Santos, Enyel",660853,2019,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,4.0,0.0,,,,,,,0,0.0,True,False
