player_name,game_year,pitches,plate_apps,at_bats,bip,hits,doubles,triples,hrs,walks,strikeouts,hbp,sf,singles,ba,obp,slg,ops,iso,krate,bbrate,hr_rate,xwobacon,xwobacon_n,xslgcon,bips,ev_mu,ev90,ev_max,la_mu,la_sd,dist_mu,sweet_spot_rate,ideal_contact_rate,barrels,barrel_rate,hard_hit_rate,swings,bt_swings,bat_speed_mu,bat_speed_p90,bat_speed_sd,swing_length_mu,fast_swing_rate,aa_swings,attack_angle_mu,attack_dir_mu,swing_path_tilt_mu,aa_fit_rate,bt_coverage,aa_coverage,sq_n,squared_up_rate,squared_up_pct_mu,blast_rate,contact_depth_mu,contact_depth_n,is_schwarber
"Clemens, Kody",2023,609,149,140,99,32,7,0,4,8,40,1,0,21,0.229,0.275,0.364,0.639,0.135,0.268,0.054,0.027,0.341,99.0,,99.0,90.441,102.1,108.9,15.242,27.503,166.848,0.303,0.152,6.0,0.061,0.404,290.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Clemens, Kody",2024,468,120,114,85,25,9,1,5,5,29,1,0,10,0.219,0.258,0.447,0.705,0.228,0.242,0.042,0.042,0.317,85.0,,85.0,89.419,104.0,108.4,19.129,28.579,187.224,0.318,0.188,6.0,0.071,0.424,230.0,228.0,69.508,73.99,5.357,7.259,0.039,0.0,,,,,0.991,0.0,83.0,0.663,0.854,0.012,,0.0,False
"Crawford, J.P.",2018,604,137,117,82,25,6,3,3,13,37,5,0,13,0.214,0.319,0.393,0.712,0.179,0.27,0.095,0.022,0.338,81.0,,82.0,87.007,100.7,105.2,15.321,25.334,177.893,0.317,0.183,4.0,0.049,0.341,240.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Crawford, Justin",2026,1259,341,313,253,83,14,3,2,20,65,3,2,64,0.265,0.314,0.348,0.662,0.083,0.191,0.059,0.006,0.313,248.0,0.398,253.0,84.852,101.6,109.2,2.104,32.472,127.968,0.312,0.126,3.0,0.012,0.336,675.0,669.0,66.243,73.4,10.46,6.778,0.045,669.0,1.639,10.79,28.701,0.368,0.991,0.991,248.0,0.653,0.835,0.032,23.369,250.0,False
"Dickerson, Corey",2019,583,136,132,101,39,10,2,8,3,32,0,1,19,0.295,0.309,0.583,0.892,0.288,0.235,0.022,0.059,0.425,100.0,,101.0,87.351,104.94,109.0,18.6,31.458,193.955,0.446,0.257,10.0,0.099,0.356,356.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Galvis, Freddy",2015,1680,442,404,333,103,10,5,7,26,78,3,3,81,0.255,0.303,0.356,0.659,0.101,0.176,0.059,0.016,0.305,319.0,,333.0,85.85,98.8,103.5,15.342,28.003,176.362,0.348,0.138,9.0,0.027,0.24,843.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Galvis, Freddy",2016,1835,476,441,341,110,20,3,17,23,109,3,3,70,0.249,0.289,0.424,0.713,0.175,0.229,0.048,0.036,0.325,325.0,,341.0,87.372,100.1,107.9,14.182,27.308,182.025,0.337,0.15,11.0,0.032,0.282,963.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Galvis, Freddy",2017,1863,460,417,334,106,19,5,10,35,87,3,4,72,0.254,0.314,0.396,0.71,0.142,0.189,0.076,0.022,0.331,328.0,,334.0,85.864,99.73,104.1,14.625,27.055,187.749,0.356,0.171,11.0,0.033,0.254,916.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Gregorius, Didi",2020,902,236,217,190,61,10,2,10,12,28,4,2,39,0.281,0.328,0.484,0.812,0.203,0.119,0.051,0.042,0.32,189.0,,190.0,83.381,101.92,104.7,17.397,29.365,170.524,0.368,0.142,8.0,0.042,0.279,483.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Gregorius, Didi",2021,1580,408,369,308,77,16,2,13,24,67,8,7,46,0.209,0.267,0.369,0.636,0.16,0.164,0.059,0.032,0.286,306.0,,308.0,85.789,101.4,107.6,18.284,30.014,165.578,0.325,0.107,7.0,0.023,0.266,859.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Gregorius, Didi",2022,827,232,214,180,45,9,4,1,13,36,3,2,31,0.21,0.263,0.304,0.567,0.094,0.155,0.056,0.004,0.29,179.0,,180.0,84.14,99.42,106.5,15.123,30.249,159.682,0.367,0.144,5.0,0.028,0.228,500.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Hall, Darick",2022,543,142,136,92,34,8,1,9,5,44,1,0,16,0.25,0.282,0.522,0.804,0.272,0.31,0.035,0.063,0.44,92.0,,92.0,91.411,106.65,113.0,18.609,26.715,196.272,0.37,0.239,16.0,0.174,0.446,285.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Harper, Bryce",2019,2787,672,574,399,149,36,1,35,88,178,6,4,77,0.26,0.362,0.509,0.871,0.249,0.265,0.131,0.052,0.482,395.0,,399.0,91.815,108.86,116.4,13.605,25.863,195.624,0.391,0.238,59.0,0.148,0.456,1358.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Harper, Bryce",2020,973,236,190,150,51,9,2,13,41,43,2,2,27,0.268,0.4,0.542,0.942,0.274,0.182,0.174,0.055,0.506,150.0,,150.0,90.343,107.4,114.7,13.96,27.547,192.907,0.367,0.22,26.0,0.173,0.507,447.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Harper, Bryce",2021,2401,585,488,360,151,42,1,35,86,134,5,4,73,0.309,0.415,0.615,1.03,0.306,0.229,0.147,0.06,0.516,360.0,,360.0,91.063,108.81,116.3,12.869,25.988,186.353,0.408,0.278,65.0,0.181,0.497,1139.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Harper, Bryce",2022,1594,418,371,290,106,28,1,18,37,87,3,7,59,0.286,0.349,0.512,0.861,0.226,0.208,0.089,0.043,0.449,289.0,,290.0,91.506,107.82,114.3,11.343,26.963,176.163,0.386,0.234,37.0,0.128,0.479,896.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Harper, Bryce",2023,2021,538,457,342,134,29,1,21,72,119,5,4,83,0.293,0.392,0.499,0.891,0.206,0.221,0.134,0.039,0.467,342.0,,342.0,91.174,108.56,115.7,8.535,27.628,162.764,0.38,0.272,52.0,0.152,0.468,1039.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Harper, Bryce",2024,2469,620,550,415,157,42,0,30,65,138,2,2,85,0.285,0.362,0.525,0.887,0.24,0.223,0.105,0.048,0.428,412.0,,415.0,90.985,107.0,113.8,13.352,27.469,185.056,0.364,0.222,44.0,0.106,0.482,1305.0,1209.0,72.473,78.403,6.857,7.221,0.371,0.0,,,,,0.926,0.0,384.0,0.62,0.831,0.289,,0.0,False
"Harper, Bryce",2025,2172,574,501,383,131,32,0,27,64,121,6,3,72,0.261,0.35,0.487,0.837,0.226,0.211,0.111,0.047,0.441,383.0,0.669,383.0,90.993,107.2,113.8,11.415,24.688,175.22,0.394,0.222,47.0,0.123,0.475,1178.0,1151.0,72.317,78.7,7.759,7.273,0.403,1151.0,10.833,-1.516,35.406,0.446,0.977,0.977,367.0,0.621,0.829,0.305,31.852,366.0,False
"Harper, Bryce",2026,1927,494,412,315,106,22,3,24,74,104,1,7,57,0.257,0.366,0.5,0.866,0.243,0.211,0.15,0.049,0.445,315.0,0.68,315.0,90.251,106.52,113.5,12.53,24.756,173.118,0.384,0.206,36.0,0.114,0.451,973.0,962.0,72.764,78.6,6.943,7.311,0.435,962.0,11.862,-0.866,37.114,0.447,0.989,0.989,308.0,0.597,0.818,0.328,31.972,308.0,False
"Haseley, Adam",2019,976,242,223,163,59,14,0,5,13,60,5,0,40,0.265,0.32,0.395,0.715,0.13,0.248,0.054,0.021,0.312,162.0,,163.0,87.319,101.67,105.6,4.963,24.854,133.301,0.294,0.117,6.0,0.037,0.288,487.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Hernández, César",2015,1183,318,284,230,72,13,3,1,28,59,1,1,55,0.254,0.322,0.331,0.653,0.077,0.186,0.088,0.003,0.31,215.0,,230.0,85.711,100.66,106.4,6.753,23.517,140.561,0.287,0.122,3.0,0.013,0.27,541.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Hernández, César",2016,1897,474,412,329,114,10,9,6,54,86,2,1,89,0.277,0.362,0.388,0.75,0.111,0.181,0.114,0.013,0.331,316.0,,329.0,86.182,100.5,105.6,4.788,25.004,135.418,0.319,0.119,7.0,0.021,0.295,831.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Hernández, César",2017,1649,398,351,269,105,13,2,7,43,83,3,1,83,0.299,0.379,0.407,0.786,0.108,0.209,0.108,0.018,0.341,263.0,,269.0,84.84,100.54,107.2,5.886,23.769,156.641,0.372,0.145,6.0,0.022,0.264,674.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Hernández, César",2018,2245,528,454,335,112,12,2,14,66,123,4,3,84,0.247,0.345,0.374,0.719,0.127,0.233,0.125,0.027,0.335,323.0,,335.0,84.27,100.66,109.4,14.325,25.92,168.394,0.343,0.131,15.0,0.045,0.248,872.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Hernández, César",2019,1926,479,441,365,126,22,3,13,30,78,6,2,88,0.286,0.338,0.438,0.776,0.152,0.163,0.063,0.027,0.332,363.0,,365.0,85.786,101.1,108.4,11.08,27.319,153.76,0.353,0.126,13.0,0.036,0.285,868.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Herrera, Odúbel",2015,2155,537,495,372,147,30,3,8,28,129,8,1,106,0.297,0.344,0.418,0.762,0.121,0.24,0.052,0.015,0.353,356.0,,372.0,88.347,105.05,113.3,7.129,25.185,162.589,0.339,0.161,12.0,0.032,0.339,1077.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Herrera, Odúbel",2016,2643,660,587,453,167,21,6,15,63,134,6,2,125,0.284,0.359,0.417,0.776,0.133,0.203,0.095,0.023,0.332,441.0,,453.0,87.125,103.9,113.5,9.825,26.104,167.596,0.313,0.121,19.0,0.042,0.309,1292.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Herrera, Odúbel",2017,2180,561,528,402,148,42,3,14,27,126,4,2,89,0.28,0.319,0.451,0.77,0.171,0.225,0.048,0.025,0.378,395.0,,402.0,87.226,105.86,114.6,9.686,26.875,172.476,0.351,0.162,25.0,0.062,0.326,1163.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Herrera, Odúbel",2018,2319,594,551,430,140,19,3,22,35,122,7,1,96,0.254,0.306,0.419,0.725,0.165,0.205,0.059,0.037,0.327,419.0,,430.0,86.59,105.38,114.7,13.124,28.917,162.319,0.3,0.128,21.0,0.049,0.316,1215.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Herrera, Odúbel",2019,533,139,126,94,28,10,1,1,11,33,1,1,16,0.222,0.288,0.341,0.629,0.119,0.237,0.079,0.007,0.322,94.0,,94.0,87.969,104.58,112.8,11.0,28.536,175.617,0.372,0.117,4.0,0.043,0.309,277.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Herrera, Odúbel",2021,1939,492,451,379,117,27,2,13,29,77,6,5,75,0.259,0.31,0.415,0.725,0.156,0.157,0.059,0.026,0.326,378.0,,379.0,87.671,106.43,113.0,6.413,30.254,144.981,0.335,0.15,18.0,0.047,0.401,975.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Herrera, Odúbel",2022,737,197,185,144,44,9,1,5,11,42,0,1,29,0.238,0.279,0.378,0.657,0.14,0.213,0.056,0.025,0.322,141.0,,144.0,86.278,105.2,111.2,3.071,33.705,126.255,0.25,0.167,7.0,0.049,0.375,388.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Howard, Ryan",2015,1897,504,469,332,107,29,1,23,27,138,5,3,54,0.228,0.276,0.441,0.717,0.213,0.274,0.054,0.046,0.491,325.0,,332.0,91.266,104.66,110.7,14.917,21.842,202.164,0.44,0.253,39.0,0.117,0.452,1036.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Howard, Ryan",2016,1372,363,332,220,65,10,0,25,27,114,1,3,30,0.196,0.256,0.452,0.708,0.256,0.314,0.074,0.069,0.504,218.0,,220.0,92.047,104.73,109.2,16.651,24.565,207.971,0.386,0.255,34.0,0.155,0.477,755.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Jankowski, Travis",2021,583,153,132,104,33,6,2,1,18,29,1,0,24,0.25,0.344,0.348,0.692,0.098,0.19,0.118,0.007,0.266,104.0,,104.0,81.446,98.27,105.8,2.01,30.586,127.856,0.279,0.077,2.0,0.019,0.202,238.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Kepler, Max",2025,1826,472,418,329,90,19,0,18,45,93,4,4,53,0.215,0.295,0.39,0.685,0.175,0.197,0.095,0.038,0.384,326.0,0.579,329.0,90.635,104.44,111.8,16.147,28.357,188.789,0.353,0.216,38.0,0.116,0.447,879.0,873.0,68.86,75.5,9.107,7.269,0.147,873.0,6.885,-5.582,31.748,0.425,0.993,0.993,324.0,0.728,0.853,0.117,30.742,326.0,False
"Knapp, Andrew",2017,652,159,135,92,36,5,1,3,22,44,0,2,27,0.267,0.365,0.385,0.75,0.118,0.277,0.138,0.019,0.364,92.0,,92.0,87.997,103.11,107.0,4.043,23.088,139.405,0.315,0.152,3.0,0.033,0.359,272.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Knapp, Andrew",2018,709,173,157,97,32,6,2,3,15,61,0,1,21,0.204,0.272,0.325,0.597,0.121,0.353,0.087,0.017,0.399,96.0,,97.0,88.56,102.35,105.0,13.708,22.627,192.042,0.423,0.227,9.0,0.093,0.402,345.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Knapp, Andrew",2019,514,121,104,66,21,7,0,2,12,40,3,0,12,0.202,0.303,0.327,0.63,0.125,0.331,0.099,0.017,0.384,63.0,,66.0,87.213,102.8,105.2,13.873,28.394,179.0,0.348,0.242,6.0,0.091,0.379,264.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Knapp, Andrew",2021,437,109,97,59,16,2,0,2,8,40,2,1,12,0.165,0.241,0.247,0.488,0.082,0.367,0.073,0.018,0.331,59.0,,59.0,82.01,101.66,111.6,8.153,31.837,161.22,0.322,0.153,3.0,0.051,0.305,244.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Marsh, Brandon",2022,539,138,132,91,38,9,2,3,6,41,0,0,24,0.288,0.319,0.455,0.774,0.167,0.297,0.043,0.022,0.413,91.0,,91.0,89.897,104.7,107.9,13.308,23.564,182.352,0.462,0.22,6.0,0.066,0.418,267.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Marsh, Brandon",2023,1984,470,405,265,112,25,6,12,56,144,4,4,69,0.277,0.367,0.457,0.824,0.18,0.306,0.119,0.026,0.404,264.0,,265.0,90.352,104.11,110.6,11.985,23.225,169.924,0.392,0.245,24.0,0.091,0.487,842.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Marsh, Brandon",2024,2007,478,420,270,104,17,3,16,50,154,2,5,68,0.248,0.327,0.417,0.744,0.169,0.322,0.105,0.033,0.446,269.0,,270.0,90.932,105.22,110.1,13.515,24.401,184.044,0.441,0.27,27.0,0.1,0.474,829.0,780.0,70.085,75.417,7.959,7.111,0.133,0.0,,,,,0.941,0.0,256.0,0.707,0.845,0.129,,0.0,False
"Marsh, Brandon",2025,1657,426,382,276,106,25,2,11,37,110,0,4,68,0.277,0.338,0.44,0.778,0.163,0.258,0.087,0.026,0.433,272.0,0.618,276.0,90.352,103.66,111.1,11.847,25.117,173.025,0.402,0.207,23.0,0.083,0.464,781.0,767.0,69.406,75.4,8.245,6.993,0.129,767.0,7.659,1.132,38.636,0.381,0.982,0.982,264.0,0.723,0.849,0.106,26.522,265.0,False
"Marsh, Brandon",2026,1644,439,410,301,114,17,2,16,24,112,2,3,79,0.278,0.319,0.446,0.765,0.168,0.255,0.055,0.036,0.402,300.0,0.587,301.0,89.195,103.62,110.1,12.897,26.007,177.027,0.442,0.256,26.0,0.086,0.445,869.0,856.0,69.935,75.6,7.263,7.166,0.154,856.0,8.612,-0.208,37.376,0.401,0.985,0.985,291.0,0.653,0.826,0.186,27.612,292.0,False
"Maton, Nick",2021,512,131,117,80,30,7,1,2,10,39,2,1,20,0.256,0.323,0.385,0.708,0.129,0.298,0.076,0.015,0.355,80.0,,80.0,86.894,101.73,108.8,16.012,28.502,181.45,0.388,0.175,5.0,0.062,0.35,260.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Miller, Brad",2019,506,130,118,83,31,3,1,12,11,35,1,0,15,0.263,0.331,0.61,0.941,0.347,0.269,0.085,0.092,0.454,83.0,,83.0,92.388,106.76,113.4,18.422,26.828,193.732,0.277,0.181,12.0,0.145,0.47,236.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Miller, Brad",2021,1525,376,332,219,75,9,3,20,43,112,1,0,43,0.226,0.316,0.452,0.768,0.226,0.298,0.114,0.053,0.444,219.0,,219.0,92.096,106.84,113.9,12.635,28.299,164.452,0.333,0.21,27.0,0.123,0.479,700.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Nava, Daniel",2017,630,156,135,113,46,7,1,3,17,23,3,1,35,0.341,0.423,0.474,0.897,0.133,0.147,0.109,0.019,0.394,113.0,,113.0,85.981,99.7,104.2,12.265,22.752,193.115,0.487,0.186,6.0,0.053,0.283,261.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Paredes, Jimmy",2016,403,108,104,68,24,7,0,4,3,37,0,0,13,0.231,0.252,0.413,0.665,0.182,0.343,0.028,0.037,0.43,65.0,,68.0,89.509,103.18,109.8,5.892,23.18,156.203,0.309,0.162,9.0,0.132,0.368,239.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Quinn, Roman",2018,393,100,88,66,21,2,3,0,10,23,1,0,16,0.239,0.323,0.33,0.653,0.091,0.23,0.1,0.0,0.27,61.0,,66.0,87.643,102.8,105.4,9.607,25.296,152.839,0.258,0.076,0.0,0.0,0.288,180.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Revere, Ben",2015,1411,388,366,332,109,13,6,1,19,36,1,0,89,0.298,0.334,0.374,0.708,0.076,0.093,0.049,0.003,0.293,317.0,,332.0,82.5,95.94,105.0,3.091,22.637,124.411,0.337,0.072,0.0,0.0,0.123,610.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Santana, Carlos",2018,2116,499,409,338,89,22,1,16,82,77,0,8,50,0.218,0.343,0.394,0.737,0.176,0.154,0.164,0.032,0.345,335.0,,338.0,89.124,104.66,110.5,17.424,29.81,178.93,0.311,0.163,24.0,0.071,0.402,882.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Saunders, Michael",2017,906,212,200,149,41,9,2,6,11,51,1,0,24,0.205,0.25,0.36,0.61,0.155,0.241,0.052,0.028,0.346,147.0,,149.0,85.813,102.62,108.3,13.388,30.43,161.941,0.295,0.161,11.0,0.074,0.309,438.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Schwarber, Kyle",2022,2878,666,577,379,126,21,3,46,83,200,4,2,56,0.218,0.32,0.504,0.824,0.286,0.3,0.125,0.069,0.501,378.0,,379.0,92.949,109.6,114.8,18.939,29.228,199.876,0.359,0.277,76.0,0.201,0.544,1167.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,True
"Schwarber, Kyle",2023,3068,716,586,373,115,19,1,47,121,214,6,3,48,0.196,0.338,0.473,0.811,0.277,0.299,0.169,0.066,0.459,373.0,,373.0,92.246,108.06,115.2,18.689,29.815,190.846,0.354,0.236,61.0,0.164,0.488,1156.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,True
"Schwarber, Kyle",2024,2852,689,574,384,142,22,0,38,102,197,5,8,82,0.247,0.361,0.484,0.845,0.237,0.286,0.148,0.055,0.489,384.0,,384.0,93.6,109.2,115.6,15.036,29.496,175.104,0.331,0.224,60.0,0.156,0.555,1139.0,1060.0,75.045,81.702,9.376,7.644,0.706,0.0,,,,,0.931,0.0,351.0,0.638,0.822,0.519,,0.0,True
"Schwarber, Kyle",2025,3059,719,606,408,145,23,2,56,101,197,11,1,64,0.239,0.357,0.561,0.918,0.322,0.274,0.14,0.078,0.536,408.0,0.894,408.0,94.309,109.8,117.2,20.061,27.791,199.365,0.363,0.272,85.0,0.208,0.596,1279.0,1268.0,74.211,81.4,10.921,7.462,0.698,1268.0,14.506,-4.184,30.243,0.625,0.991,0.991,402.0,0.669,0.832,0.552,31.984,402.0,True
"Schwarber, Kyle",2026,2114,494,413,242,100,13,1,33,72,172,6,3,53,0.242,0.36,0.518,0.878,0.276,0.348,0.146,0.067,0.519,241.0,0.833,242.0,93.247,108.9,113.2,21.456,26.924,205.975,0.421,0.269,41.0,0.169,0.521,931.0,913.0,74.246,81.0,10.057,7.44,0.674,913.0,14.864,-8.812,29.324,0.646,0.981,0.981,236.0,0.593,0.818,0.479,32.895,236.0,True
"Sizemore, Grady",2015,352,104,98,75,24,5,0,0,6,23,0,0,19,0.245,0.288,0.296,0.584,0.051,0.221,0.058,0.0,0.359,74.0,,75.0,91.001,100.87,105.1,9.959,22.411,166.324,0.347,0.173,2.0,0.027,0.44,185.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Stott, Bryson",2022,1877,471,432,340,100,19,2,10,36,89,1,1,69,0.231,0.291,0.354,0.645,0.123,0.189,0.076,0.021,0.308,339.0,,340.0,87.515,101.7,108.4,12.688,30.028,149.218,0.309,0.159,15.0,0.044,0.368,844.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Stott, Bryson",2023,2665,639,586,494,164,32,2,15,37,100,7,8,115,0.28,0.326,0.418,0.744,0.138,0.156,0.058,0.023,0.329,494.0,,494.0,87.632,100.87,108.0,9.717,25.954,155.994,0.379,0.17,23.0,0.047,0.352,1199.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,0.0,False
"Stott, Bryson",2024,2307,569,506,422,124,19,2,11,51,93,3,9,92,0.245,0.313,0.356,0.669,0.111,0.163,0.09,0.019,0.327,421.0,,422.0,86.775,101.6,109.8,13.779,28.876,161.702,0.365,0.126,15.0,0.036,0.308,1018.0,960.0,66.1,72.627,8.323,6.967,0.017,0.0,,,,,0.943,0.0,388.0,0.686,0.84,0.018,,0.0,False
