stand,game_year,pitch_name,pitches,velo,velo_max,spin,ivb_in,hb_in,ext_ft,arm_angle,plate_x,plate_z,usage,whiff_rate,chase_rate,in_zone_rate,csw_rate,bips,hard_hit_rate,avg_ev,xwobacon,xwobacon_bip,hr
R,2019,4-Seam Fastball,411,89.684,93.6,2191.119,17.56,7.058,5.73,,0.015,2.838,0.467,0.283,0.259,0.474,0.302,48.0,0.333,87.281,0.389,48.0,4.0
R,2019,Slider,248,81.777,87.2,2322.787,3.938,-5.329,5.162,,0.304,2.211,0.282,0.29,0.152,0.548,0.403,34.0,0.265,87.785,0.32,34.0,2.0
R,2019,Changeup,159,82.374,85.8,1462.234,4.657,14.369,5.619,,0.897,1.81,0.181,0.254,0.323,0.201,0.164,34.0,0.324,86.424,0.465,34.0,2.0
R,2019,Sinker,52,89.152,92.7,2180.673,13.281,13.355,5.798,,0.619,2.489,0.059,0.242,0.407,0.481,0.212,14.0,0.357,86.043,0.406,14.0,1.0
R,2019,Curveball,10,71.01,73.5,2218.714,-1.428,-5.94,5.11,,0.813,1.79,0.011,0.333,0.143,0.3,0.3,2.0,0.5,97.1,0.984,2.0,1.0
R,2020,Cutter,47,83.049,87.1,2233.489,4.489,-5.689,5.785,42.937,-0.489,2.035,0.398,0.182,0.25,0.489,0.255,8.0,0.375,85.088,0.3,8.0,1.0
R,2020,4-Seam Fastball,43,88.542,91.0,2118.884,16.861,7.767,5.81,33.275,0.124,3.181,0.364,0.438,0.2,0.419,0.372,4.0,0.75,99.175,0.777,4.0,2.0
R,2020,Slider,15,77.867,81.2,2333.2,-1.176,-6.4,5.6,33.854,-0.337,1.897,0.127,0.0,0.2,0.667,0.267,5.0,0.0,80.94,0.218,5.0,0.0
R,2020,Changeup,9,81.233,82.6,1471.889,4.853,14.88,5.722,37.75,0.244,1.503,0.076,0.0,0.0,0.444,0.222,2.0,0.5,99.05,1.186,2.0,1.0
R,2020,Curveball,3,71.733,72.3,2366.333,-8.6,-11.48,5.567,,0.145,2.386,0.025,,0.0,0.333,0.333,,,,,,0.0
R,2020,Sinker,1,88.4,88.4,2329.0,15.24,15.6,5.4,29.0,-0.215,2.205,0.008,0.0,,1.0,0.0,1.0,1.0,97.1,0.801,1.0,1.0
R,2021,4-Seam Fastball,470,90.78,94.3,2229.37,18.432,5.641,5.911,46.639,0.213,2.844,0.394,0.207,0.214,0.543,0.274,71.0,0.437,91.133,0.384,71.0,5.0
R,2021,Cutter,320,85.484,88.9,2352.169,6.653,-5.175,5.812,43.413,-0.447,2.596,0.268,0.217,0.409,0.519,0.269,63.0,0.333,85.413,0.377,63.0,4.0
R,2021,Sweeper,212,77.41,81.4,2454.505,4.617,-14.521,5.757,33.689,0.374,2.278,0.178,0.271,0.204,0.514,0.382,26.0,0.231,88.742,0.221,26.0,2.0
R,2021,Changeup,146,82.944,87.1,1426.589,5.617,14.103,5.866,38.972,0.932,1.718,0.122,0.22,0.241,0.233,0.11,25.0,0.36,87.256,0.442,25.0,1.0
R,2021,Sinker,45,90.293,93.7,2207.622,14.667,11.688,6.107,25.795,0.749,2.29,0.038,0.238,0.4,0.333,0.267,4.0,0.5,91.5,0.21,4.0,0.0
R,2021,Slider,1,76.5,76.5,2456.0,3.72,-6.12,5.7,31.1,2.012,2.962,0.001,,0.0,0.0,0.0,,,,,,0.0
R,2022,4-Seam Fastball,967,91.78,95.3,2274.27,19.602,4.463,5.842,51.103,0.06,2.816,0.459,0.238,0.281,0.54,0.291,159.0,0.384,89.483,0.31,159.0,5.0
R,2022,Cutter,665,86.943,91.0,2369.066,8.71,-4.705,5.729,44.143,-0.365,2.685,0.315,0.25,0.367,0.496,0.272,124.0,0.363,87.481,0.351,124.0,7.0
R,2022,Sweeper,364,77.15,81.6,2523.981,3.478,-15.371,5.585,34.662,0.337,2.238,0.173,0.162,0.22,0.549,0.357,55.0,0.255,86.7,0.327,55.0,2.0
R,2022,Changeup,108,82.905,86.0,1328.926,5.84,12.74,5.793,41.185,0.855,2.141,0.051,0.2,0.359,0.278,0.139,24.0,0.292,86.717,0.265,24.0,1.0
R,2022,Curveball,4,72.425,73.1,2469.0,-12.69,-7.95,5.625,50.8,0.251,1.057,0.002,0.5,0.667,0.25,0.5,1.0,0.0,47.1,0.197,1.0,0.0
R,2022,Sinker,1,84.5,84.5,1421.0,10.44,11.16,5.5,40.9,0.089,3.53,0.0,,0.0,0.0,0.0,,,,,,0.0
R,2023,4-Seam Fastball,451,91.61,94.9,2274.731,19.483,3.919,5.973,54.782,-0.04,2.749,0.501,0.22,0.232,0.532,0.255,71.0,0.479,91.655,0.331,71.0,2.0
R,2023,Cutter,284,86.654,91.0,2401.271,8.116,-4.624,5.828,45.117,-0.337,2.657,0.316,0.204,0.328,0.528,0.243,56.0,0.464,90.816,0.412,56.0,5.0
R,2023,Sweeper,114,76.299,80.6,2587.465,1.82,-16.742,5.603,36.695,0.481,2.33,0.127,0.258,0.121,0.491,0.404,12.0,0.333,87.75,0.48,12.0,2.0
R,2023,Changeup,30,83.41,86.3,1403.7,4.236,14.488,5.957,43.25,0.47,1.342,0.033,0.294,0.381,0.3,0.2,6.0,0.167,83.583,0.549,6.0,0.0
R,2023,Slider,21,81.752,83.3,2494.667,-2.109,-6.297,5.781,44.076,-0.227,1.194,0.023,0.429,0.188,0.238,0.143,2.0,0.0,79.8,0.466,2.0,0.0
R,2024,4-Seam Fastball,981,92.001,95.6,2309.312,19.159,4.826,5.924,52.776,0.158,2.756,0.431,0.207,0.221,0.547,0.255,150.0,0.507,92.374,0.379,150.0,11.0
R,2024,Cutter,705,87.49,91.9,2409.216,8.65,-4.551,5.778,44.83,-0.093,2.793,0.31,0.253,0.32,0.526,0.27,141.0,0.39,88.44,0.34,141.0,3.0
R,2024,Changeup,274,83.591,86.4,1406.018,4.286,13.762,5.836,43.231,0.9,1.759,0.12,0.326,0.386,0.263,0.197,60.0,0.4,84.493,0.35,60.0,3.0
R,2024,Sweeper,274,77.681,82.9,2573.35,1.863,-14.974,5.614,40.275,0.531,2.333,0.12,0.147,0.137,0.522,0.343,42.0,0.452,87.776,0.391,42.0,4.0
R,2024,Slider,24,81.592,84.0,2423.75,-6.595,-2.195,5.879,50.408,-0.187,1.199,0.011,0.091,0.368,0.208,0.083,8.0,0.375,85.15,0.365,8.0,1.0
R,2024,Sinker,17,90.353,92.3,2235.706,13.574,12.353,5.941,24.671,1.2,2.642,0.007,0.286,0.4,0.118,0.176,2.0,0.5,88.7,0.724,2.0,0.0
R,2025,4-Seam Fastball,173,90.108,92.9,2247.272,19.344,4.403,5.905,55.026,0.328,2.896,0.373,0.212,0.169,0.52,0.329,30.0,0.367,91.973,0.337,30.0,4.0
R,2025,Cutter,160,86.641,89.2,2320.619,11.346,-4.779,5.82,50.452,0.247,2.878,0.345,0.211,0.111,0.55,0.288,32.0,0.406,93.147,0.348,32.0,3.0
R,2025,Changeup,83,82.242,84.3,1337.47,6.591,12.544,5.925,48.328,0.903,1.685,0.179,0.486,0.329,0.157,0.205,10.0,0.2,83.63,0.409,10.0,0.0
R,2025,Sweeper,47,77.636,80.2,2518.17,2.696,-13.586,5.664,45.047,0.52,2.385,0.101,0.227,0.227,0.532,0.319,6.0,0.5,94.233,0.393,6.0,0.0
R,2025,Sinker,1,90.7,90.7,2008.0,15.84,11.88,5.6,52.1,1.99,3.044,0.002,,0.0,0.0,0.0,,,,,,0.0
