game_year,pitch_name,pitches,velo,velo_max,spin,ivb_in,hb_in,ext_ft,arm_angle,plate_x,plate_z,usage,whiff_rate,chase_rate,in_zone_rate,csw_rate,bips,hard_hit_rate,avg_ev,xwobacon,xwobacon_bip,hr
2020,Slider,30,77.423,81.2,2269.667,-0.94,-6.312,5.617,34.656,-0.526,1.994,0.182,0.083,0.133,0.5,0.233,7.0,0.0,80.786,0.224,7.0,0.0
2020,Changeup,9,81.233,82.6,1471.889,4.853,14.88,5.722,37.75,0.244,1.503,0.055,0.0,0.0,0.444,0.222,2.0,0.5,99.05,1.186,2.0,1.0
2020,Curveball,3,71.733,72.3,2366.333,-8.6,-11.48,5.567,,0.145,2.386,0.018,,0.0,0.333,0.333,,,,,,0.0
2020,Sinker,1,88.4,88.4,2329.0,15.24,15.6,5.4,29.0,-0.215,2.205,0.006,0.0,,1.0,0.0,1.0,1.0,97.1,0.801,1.0,1.0
2021,4-Seam Fastball,653,90.728,94.3,2222.827,18.611,5.62,5.934,47.81,0.129,2.787,0.428,0.231,0.211,0.557,0.289,94.0,0.426,91.882,0.37,94.0,5.0
2021,Cutter,358,85.38,88.9,2351.573,6.484,-5.263,5.817,43.198,-0.472,2.507,0.235,0.227,0.384,0.52,0.277,69.0,0.348,86.09,0.372,69.0,4.0
2021,Sweeper,302,77.46,81.4,2451.146,4.734,-14.605,5.776,33.731,0.049,2.255,0.198,0.263,0.238,0.5,0.338,48.0,0.229,84.523,0.281,48.0,4.0
2021,Changeup,146,82.944,87.1,1426.589,5.617,14.103,5.866,38.972,0.932,1.718,0.096,0.22,0.241,0.233,0.11,25.0,0.36,87.256,0.442,25.0,1.0
2021,Sinker,61,90.139,93.7,2200.475,14.642,11.788,6.121,25.274,0.51,2.324,0.04,0.276,0.359,0.361,0.262,8.0,0.5,91.45,0.232,8.0,0.0
2021,Slider,4,76.025,76.9,2397.5,2.58,-6.72,5.8,30.025,-0.2,2.085,0.003,0.0,0.0,0.5,0.25,,,,,,0.0
2022,4-Seam Fastball,1155,91.75,95.3,2270.183,19.52,4.525,5.85,50.804,-0.005,2.766,0.469,0.258,0.294,0.547,0.307,179.0,0.397,90.096,0.324,179.0,5.0
2022,Cutter,735,86.872,91.0,2370.054,8.555,-4.704,5.728,43.881,-0.388,2.639,0.298,0.245,0.363,0.498,0.272,139.0,0.353,87.144,0.335,139.0,7.0
2022,Sweeper,459,77.132,82.2,2520.547,3.736,-15.239,5.613,33.557,0.129,2.139,0.186,0.213,0.239,0.516,0.344,69.0,0.232,84.751,0.309,69.0,3.0
2022,Changeup,108,82.905,86.0,1328.926,5.84,12.74,5.793,41.185,0.855,2.141,0.044,0.2,0.359,0.278,0.139,24.0,0.292,86.717,0.265,24.0,1.0
2022,Curveball,7,72.071,74.9,2436.714,-3.977,-9.017,5.643,33.6,-0.637,1.12,0.003,0.5,0.333,0.143,0.286,1.0,0.0,47.1,0.197,1.0,0.0
2022,Sinker,1,84.5,84.5,1421.0,10.44,11.16,5.5,40.9,0.089,3.53,0.0,,0.0,0.0,0.0,,,,,,0.0
2023,4-Seam Fastball,560,91.588,95.6,2272.896,19.432,4.055,5.979,54.614,-0.111,2.705,0.524,0.251,0.249,0.548,0.288,82.0,0.476,91.152,0.314,82.0,3.0
2023,Cutter,308,86.612,91.0,2399.919,8.096,-4.598,5.835,44.989,-0.359,2.634,0.288,0.206,0.308,0.536,0.24,64.0,0.438,90.492,0.391,64.0,6.0
2023,Sweeper,148,76.241,80.6,2579.871,1.88,-17.046,5.649,35.799,0.177,2.225,0.139,0.275,0.197,0.486,0.392,22.0,0.227,81.123,0.371,22.0,2.0
2023,Changeup,30,83.41,86.3,1403.7,4.236,14.488,5.957,43.25,0.47,1.342,0.028,0.294,0.381,0.3,0.2,6.0,0.167,83.583,0.549,6.0,0.0
2023,Slider,21,81.752,83.3,2494.667,-2.109,-6.297,5.781,44.076,-0.227,1.194,0.02,0.429,0.188,0.238,0.143,2.0,0.0,79.8,0.466,2.0,0.0
2023,Sinker,1,88.1,88.1,2189.0,14.88,7.08,6.1,24.8,-0.968,0.714,0.001,,0.0,0.0,0.0,,,,,,0.0
2024,4-Seam Fastball,1266,92.079,95.6,2308.976,19.153,4.855,5.933,52.815,0.085,2.723,0.444,0.215,0.219,0.571,0.269,192.0,0.526,92.636,0.378,192.0,12.0
2024,Cutter,798,87.527,91.9,2410.566,8.592,-4.574,5.788,44.775,-0.16,2.763,0.28,0.251,0.31,0.528,0.264,166.0,0.373,88.198,0.358,166.0,4.0
2024,Sweeper,450,78.04,83.2,2576.593,2.066,-14.952,5.667,39.274,0.003,2.17,0.158,0.25,0.236,0.453,0.331,74.0,0.392,86.446,0.329,74.0,4.0
2024,Changeup,274,83.591,86.4,1406.018,4.286,13.762,5.836,43.231,0.9,1.759,0.096,0.326,0.386,0.263,0.197,60.0,0.4,84.493,0.35,60.0,3.0
2024,Sinker,34,90.041,92.3,2239.382,13.691,12.431,6.071,22.397,0.466,2.352,0.012,0.375,0.364,0.353,0.265,5.0,0.2,82.84,0.32,5.0,0.0
2024,Slider,27,81.593,84.0,2434.185,-5.667,-2.4,5.87,49.474,-0.285,1.183,0.009,0.091,0.318,0.185,0.074,8.0,0.375,85.15,0.365,8.0,1.0
2025,4-Seam Fastball,228,90.127,93.3,2248.434,19.313,4.478,5.923,55.071,0.214,2.833,0.381,0.194,0.188,0.579,0.316,47.0,0.511,93.306,0.513,47.0,9.0
2025,Cutter,207,86.651,90.0,2326.667,11.224,-4.775,5.835,50.375,0.064,2.821,0.346,0.216,0.128,0.546,0.3,39.0,0.462,92.974,0.387,39.0,4.0
2025,Changeup,83,82.242,84.3,1337.47,6.591,12.544,5.925,48.328,0.903,1.685,0.139,0.486,0.329,0.157,0.205,10.0,0.2,83.63,0.409,10.0,0.0
2025,Sweeper,80,78.084,81.4,2522.962,2.823,-13.438,5.698,45.179,0.002,2.142,0.134,0.257,0.233,0.462,0.288,10.0,0.5,89.22,0.339,10.0,0.0
2025,Sinker,1,90.7,90.7,2008.0,15.84,11.88,5.6,52.1,1.99,3.044,0.002,,0.0,0.0,0.0,,,,,,0.0
