game_year,game_date,gi,PA_c,ops_std,obp_std,slg_std,woba_std,HR_c
2019,2019-08-01,41,166,0.8669,0.4217,0.4452,0.3761,2.0
2019,2019-08-02,42,170,0.8539,0.4176,0.4362,0.3713,2.0
2019,2019-08-03,43,174,0.8574,0.4195,0.4379,0.3727,2.0
2019,2019-08-04,44,178,0.8693,0.427,0.4423,0.378,2.0
2019,2019-08-05,45,182,0.8723,0.4286,0.4438,0.3793,2.0
2019,2019-08-06,46,186,0.8523,0.4194,0.4329,0.3711,2.0
2019,2019-08-08,47,190,0.8642,0.4211,0.4431,0.3743,2.0
2019,2019-08-09,48,194,0.8451,0.4124,0.4327,0.3666,2.0
2019,2019-08-10,49,198,0.8567,0.4141,0.4425,0.3704,2.0
2019,2019-08-11,50,202,0.8622,0.4158,0.4463,0.3716,2.0
2019,2019-08-13,51,206,0.8619,0.4175,0.4444,0.372,2.0
2019,2019-08-14,52,207,0.8574,0.4155,0.442,0.3702,2.0
2019,2019-08-15,53,212,0.8876,0.4198,0.4677,0.3805,3.0
2019,2019-08-16,54,216,0.8798,0.4167,0.4632,0.3774,3.0
2019,2019-08-17,55,221,0.8682,0.4118,0.4564,0.3728,3.0
2019,2019-08-18,56,226,0.8543,0.4071,0.4472,0.3676,3.0
2019,2019-08-19,57,231,0.8671,0.4113,0.4559,0.3725,3.0
2019,2019-08-20,58,235,0.8604,0.4085,0.4519,0.3699,3.0
2019,2019-08-21,59,238,0.8489,0.4034,0.4455,0.3652,3.0
2019,2019-08-23,60,242,0.8427,0.4008,0.4419,0.3627,3.0
2019,2019-08-24,61,246,0.8367,0.3984,0.4384,0.3604,3.0
2019,2019-08-25,62,249,0.832,0.3976,0.4344,0.3588,3.0
2019,2019-08-28,63,251,0.8334,0.3984,0.435,0.3594,3.0
2019,2019-08-29,64,257,0.8286,0.3969,0.4317,0.3571,3.0
2019,2019-08-30,65,262,0.8255,0.3969,0.4286,0.3562,3.0
2019,2019-08-31,66,263,0.8222,0.3954,0.4267,0.3549,3.0
2019,2019-09-01,67,268,0.8259,0.3955,0.4304,0.3561,3.0
2019,2019-09-02,68,272,0.8406,0.4007,0.4398,0.3617,3.0
2019,2019-09-03,69,277,0.8492,0.4043,0.4449,0.3652,3.0
2019,2019-09-04,70,278,0.8514,0.4065,0.4449,0.3664,3.0
2019,2019-09-05,71,282,0.8513,0.4078,0.4435,0.3667,3.0
2019,2019-09-06,72,287,0.8481,0.4077,0.4405,0.3657,3.0
2019,2019-09-07,73,290,0.85,0.4069,0.4431,0.3661,3.0
2019,2019-09-08,74,294,0.8449,0.4048,0.4402,0.3641,3.0
2019,2019-09-10,75,298,0.8509,0.406,0.4449,0.3662,3.0
2019,2019-09-11,76,303,0.857,0.4092,0.4478,0.3688,3.0
2019,2019-09-12,77,306,0.8587,0.4085,0.4502,0.3692,3.0
2019,2019-09-14,78,314,0.8573,0.4076,0.4496,0.3686,3.0
2019,2019-09-15,79,319,0.8543,0.4075,0.4468,0.3677,3.0
2019,2019-09-16,80,323,0.8628,0.4118,0.451,0.3713,3.0
2019,2019-09-17,81,329,0.8735,0.4164,0.457,0.3756,3.0
2019,2019-09-18,82,333,0.8623,0.4114,0.4508,0.3711,3.0
2019,2019-09-19,83,337,0.8558,0.4095,0.4463,0.3687,3.0
2019,2019-09-21,84,342,0.8582,0.4094,0.4488,0.3694,3.0
2019,2019-09-22,85,348,0.8485,0.4052,0.4434,0.3655,3.0
2019,2019-09-24,86,353,0.8418,0.4023,0.4395,0.3628,3.0
2019,2019-09-25,87,357,0.8573,0.4062,0.4511,0.3686,4.0
2019,2019-09-26,88,362,0.8447,0.4006,0.4441,0.3635,4.0
2019,2019-09-28,89,366,0.8348,0.3962,0.4387,0.3595,4.0
2020,2020-07-24,1,4,1.0,0.5,0.5,0.4415,0.0
2020,2020-07-26,2,9,0.8889,0.4444,0.4444,0.3924,0.0
2020,2020-07-28,3,12,0.8333,0.4167,0.4167,0.3679,0.0
2020,2020-07-29,4,16,0.8375,0.4375,0.4,0.3748,0.0
2020,2020-07-30,5,19,0.8099,0.4211,0.3889,0.3621,0.0
2020,2020-07-31,6,23,0.7246,0.3913,0.3333,0.3295,0.0
2020,2020-08-01,7,26,0.6378,0.3462,0.2917,0.2915,0.0
2020,2020-08-02,8,29,0.5696,0.3103,0.2593,0.2613,0.0
2020,2020-08-03,9,34,0.5199,0.2941,0.2258,0.2435,0.0
2020,2020-08-04,10,38,0.5016,0.2895,0.2121,0.2362,0.0
2020,2020-08-05,11,42,0.529,0.2857,0.2432,0.2432,0.0
2020,2020-08-08,12,46,0.5825,0.3261,0.2564,0.2717,0.0
2020,2020-08-09,13,50,0.5758,0.32,0.2558,0.2676,0.0
2020,2020-08-10,14,54,0.5701,0.3148,0.2553,0.2641,0.0
2020,2020-08-11,15,58,0.5284,0.2931,0.2353,0.2459,0.0
2020,2020-08-12,16,63,0.572,0.3175,0.2545,0.2655,0.0
2020,2020-08-15,17,66,0.6092,0.3333,0.2759,0.2802,0.0
2020,2020-08-16,18,70,0.6332,0.3429,0.2903,0.2894,0.0
2020,2020-08-18,19,74,0.659,0.3514,0.3077,0.2999,0.0
2020,2020-08-22,20,78,0.6505,0.3462,0.3043,0.2959,0.0
2020,2020-08-24,21,82,0.6428,0.3415,0.3014,0.2922,0.0
2020,2020-08-25,22,86,0.6489,0.3372,0.3117,0.293,0.0
2020,2020-08-26,23,90,0.6654,0.3444,0.321,0.2996,0.0
2020,2020-08-29,24,92,0.6502,0.337,0.3133,0.2931,0.0
2020,2020-08-30,25,96,0.6218,0.3229,0.2989,0.2809,0.0
2020,2020-08-31,26,100,0.6167,0.32,0.2967,0.2785,0.0
2020,2020-09-01,27,101,0.642,0.3267,0.3152,0.288,0.0
2020,2020-09-02,28,105,0.6363,0.3238,0.3125,0.2854,0.0
2020,2020-09-06,29,110,0.654,0.3273,0.3267,0.2917,0.0
2020,2020-09-08,30,113,0.6728,0.3363,0.3365,0.2996,0.0
2020,2020-09-26,31,117,0.7479,0.359,0.3889,0.3287,0.0
2020,2020-09-27,32,121,0.7654,0.3636,0.4018,0.3353,0.0
2021,2021-04-01,1,6,0.9,0.5,0.4,0.4083,0.0
2021,2021-04-03,2,10,0.7333,0.4,0.3333,0.3329,0.0
2021,2021-04-04,3,15,1.1833,0.6,0.5833,0.5142,0.0
2021,2021-04-05,4,17,1.2624,0.6471,0.6154,0.5461,0.0
2021,2021-04-06,5,22,0.9444,0.5,0.4444,0.422,0.0
2021,2021-04-08,6,26,1.033,0.4615,0.5714,0.4343,1.0
2021,2021-04-10,7,30,0.88,0.4,0.48,0.3764,1.0
2021,2021-04-11,8,35,0.9571,0.4571,0.5,0.4124,1.0
2021,2021-04-13,9,39,0.8875,0.4359,0.4516,0.3878,1.0
2021,2021-04-14,10,46,0.738,0.3696,0.3684,0.3288,1.0
2021,2021-04-15,11,51,0.8304,0.4118,0.4186,0.3655,1.0
2021,2021-04-16,12,55,0.7913,0.4,0.3913,0.3515,1.0
2021,2021-04-20,13,60,0.78,0.4,0.38,0.3484,1.0
2021,2021-04-21,14,66,0.8091,0.4091,0.4,0.3593,1.0
2021,2021-04-23,15,70,0.7898,0.4,0.3898,0.3514,1.0
2021,2021-04-24,16,74,0.7435,0.3784,0.3651,0.3324,1.0
2021,2021-04-25,17,78,0.7762,0.3974,0.3788,0.3467,1.0
2021,2021-04-26,18,82,0.7617,0.3902,0.3714,0.3405,1.0
2021,2021-04-27,19,86,0.7234,0.3721,0.3514,0.3247,1.0
2021,2021-04-30,20,91,0.7113,0.3736,0.3377,0.3224,1.0
2021,2021-05-01,21,95,0.7081,0.3789,0.3291,0.3234,1.0
2021,2021-05-02,22,100,0.7735,0.4,0.3735,0.3477,1.0
2021,2021-05-03,23,103,0.7702,0.3981,0.3721,0.3461,1.0
2021,2021-05-11,24,108,0.7515,0.3889,0.3626,0.3382,1.0
2021,2021-05-12,25,112,0.7613,0.3929,0.3684,0.3418,1.0
2021,2021-05-13,26,117,0.7261,0.3761,0.35,0.3272,1.0
2021,2021-05-14,27,121,0.7359,0.3802,0.3558,0.331,1.0
2021,2021-05-15,28,122,0.7294,0.377,0.3524,0.3282,1.0
2021,2021-05-16,29,127,0.7155,0.3701,0.3455,0.3222,1.0
2021,2021-05-17,30,131,0.7085,0.3664,0.3421,0.3191,1.0
2021,2021-05-18,31,136,0.6993,0.3603,0.339,0.3138,1.0
2021,2021-05-19,32,140,0.6877,0.3571,0.3306,0.3098,1.0
2021,2021-05-20,33,147,0.7043,0.3605,0.3438,0.3155,1.0
2021,2021-05-21,34,152,0.6886,0.3553,0.3333,0.3096,1.0
2021,2021-05-22,35,157,0.6925,0.3567,0.3358,0.311,1.0
2021,2021-05-23,36,162,0.6828,0.3519,0.331,0.3068,1.0
2021,2021-06-14,37,163,0.6784,0.3497,0.3287,0.3049,1.0
2021,2021-06-15,38,167,0.6738,0.3473,0.3265,0.3029,1.0
2021,2021-06-16,39,171,0.6695,0.345,0.3245,0.3009,1.0
2021,2021-06-18,40,176,0.6821,0.3466,0.3355,0.3052,1.0
2021,2021-06-19,41,179,0.6895,0.352,0.3376,0.3089,1.0
2021,2021-06-20,42,184,0.7044,0.3587,0.3457,0.3148,1.0
2021,2021-06-21,43,191,0.7072,0.356,0.3512,0.3144,1.0
2021,2021-06-22,44,192,0.7033,0.3542,0.3491,0.3128,1.0
2021,2021-06-24,45,196,0.6989,0.352,0.3468,0.3109,1.0
2021,2021-06-25,46,200,0.7442,0.36,0.3842,0.3265,1.0
2021,2021-06-27,47,204,0.7356,0.3578,0.3778,0.3235,1.0
2021,2021-06-29,48,208,0.7308,0.3558,0.375,0.3215,1.0
2021,2021-06-30,49,212,0.7161,0.3491,0.367,0.3155,1.0
2021,2021-07-01,50,213,0.7125,0.3474,0.3651,0.314,1.0
2021,2021-07-02,51,218,0.7165,0.3486,0.3679,0.3157,1.0
2021,2021-07-03,52,222,0.7027,0.3423,0.3604,0.31,1.0
2021,2021-07-04,53,227,0.7256,0.3524,0.3731,0.3194,1.0
2021,2021-07-05,54,232,0.7334,0.3578,0.3756,0.3231,1.0
2021,2021-07-06,55,236,0.7291,0.3559,0.3732,0.3213,1.0
2021,2021-07-07,56,240,0.7386,0.3583,0.3803,0.3248,1.0
2021,2021-07-09,57,244,0.7344,0.3566,0.3779,0.3231,1.0
2021,2021-07-10,58,249,0.7443,0.3614,0.3829,0.3272,1.0
2021,2021-07-11,59,255,0.7396,0.3608,0.3789,0.3257,1.0
2021,2021-07-17,60,259,0.7357,0.3591,0.3766,0.324,1.0
2021,2021-07-18,61,263,0.7442,0.3612,0.383,0.3272,1.0
2021,2021-07-19,62,270,0.7473,0.363,0.3843,0.3284,1.0
2021,2021-07-20,63,272,0.7492,0.364,0.3852,0.3293,1.0
2021,2021-07-31,64,277,0.7533,0.3646,0.3887,0.3303,1.0
2021,2021-08-01,65,281,0.7419,0.3594,0.3825,0.3256,1.0
2021,2021-08-03,66,286,0.7469,0.3601,0.3867,0.3273,1.0
2021,2021-08-04,67,291,0.7688,0.3711,0.3977,0.3368,1.0
2021,2021-08-05,68,292,0.7733,0.3733,0.4,0.3386,1.0
2021,2021-08-06,69,295,0.7721,0.3729,0.3992,0.3381,1.0
2021,2021-08-07,70,296,0.7765,0.375,0.4015,0.34,1.0
2021,2021-08-08,71,301,0.7817,0.3787,0.403,0.3425,1.0
2021,2021-08-09,72,304,0.7805,0.3783,0.4022,0.342,1.0
2021,2021-08-10,73,308,0.7766,0.3766,0.4,0.3404,1.0
2021,2021-08-11,74,312,0.7764,0.375,0.4014,0.34,1.0
2021,2021-08-14,75,317,0.792,0.3785,0.4134,0.3459,2.0
2021,2021-08-15,76,321,0.786,0.3769,0.4091,0.3438,2.0
2021,2021-08-16,77,326,0.7862,0.3773,0.4089,0.3439,2.0
2021,2021-08-17,78,330,0.787,0.3788,0.4082,0.3445,2.0
2021,2021-08-18,79,335,0.7895,0.3821,0.4074,0.3461,2.0
2021,2021-08-19,80,340,0.7771,0.3765,0.4007,0.341,2.0
2021,2021-08-20,81,344,0.777,0.375,0.402,0.3407,2.0
2021,2021-08-21,82,348,0.7736,0.3736,0.4,0.3393,2.0
2021,2021-08-24,83,353,0.778,0.3768,0.4013,0.3414,2.0
2021,2021-08-25,84,358,0.7677,0.3715,0.3962,0.3366,2.0
2021,2021-08-26,85,362,0.7587,0.3674,0.3913,0.3329,2.0
2021,2021-08-28,86,366,0.7538,0.3661,0.3877,0.3312,2.0
2021,2021-08-29,87,367,0.7516,0.3651,0.3865,0.3303,2.0
2021,2021-08-30,88,371,0.743,0.3612,0.3818,0.3267,2.0
2021,2021-08-31,89,375,0.7489,0.3627,0.3862,0.3289,2.0
2021,2021-09-01,90,376,0.7468,0.3617,0.3851,0.328,2.0
2021,2021-09-03,91,380,0.7422,0.3605,0.3817,0.3264,2.0
2021,2021-09-04,92,385,0.7319,0.3558,0.3761,0.3221,2.0
2021,2021-09-05,93,390,0.7383,0.359,0.3793,0.3248,2.0
2021,2021-09-06,94,392,0.7451,0.3622,0.3829,0.3276,2.0
2021,2021-09-07,95,397,0.7497,0.3627,0.387,0.3292,2.0
2021,2021-09-08,96,401,0.7471,0.3616,0.3855,0.3281,2.0
2021,2021-09-09,97,405,0.7392,0.358,0.3812,0.3248,2.0
2021,2021-09-10,98,406,0.7408,0.3596,0.3812,0.3257,2.0
2021,2021-09-11,99,411,0.7347,0.3577,0.377,0.3235,2.0
2021,2021-09-12,100,415,0.7282,0.3542,0.374,0.3203,2.0
2021,2021-09-13,101,420,0.7318,0.3548,0.377,0.3216,2.0
2021,2021-09-14,102,423,0.7263,0.3522,0.374,0.3193,2.0
2021,2021-09-15,103,427,0.724,0.3513,0.3727,0.3184,2.0
2021,2021-09-17,104,431,0.7169,0.348,0.3688,0.3154,2.0
2021,2021-09-19,105,435,0.7099,0.3448,0.365,0.3125,2.0
2021,2021-09-21,106,441,0.714,0.3492,0.3648,0.315,2.0
2021,2021-09-22,107,446,0.7055,0.3453,0.3602,0.3114,2.0
2021,2021-09-23,108,448,0.7069,0.346,0.3609,0.312,2.0
2021,2021-09-24,109,452,0.7146,0.3473,0.3672,0.3146,2.0
2021,2021-09-25,110,454,0.7112,0.3458,0.3654,0.3133,2.0
2021,2021-09-26,111,459,0.7076,0.3442,0.3634,0.3118,2.0
2021,2021-09-29,112,463,0.7103,0.3456,0.3647,0.3129,2.0
2021,2021-09-30,113,467,0.7153,0.3469,0.3684,0.3147,2.0
2021,2021-10-01,114,472,0.7163,0.3475,0.3688,0.3151,2.0
2021,2021-10-02,115,476,0.7196,0.3487,0.3709,0.3162,2.0
2021,2021-10-03,116,480,0.7265,0.3521,0.3744,0.319,2.0
2022,2022-04-08,1,1,2.0,1.0,1.0,0.884,0.0
2022,2022-04-09,2,5,1.4,0.4,1.0,0.5912,1.0
2022,2022-04-11,3,9,1.4444,0.5556,0.8889,0.6231,1.0
2022,2022-04-12,4,12,1.0833,0.4167,0.6667,0.4673,1.0
2022,2022-04-13,5,16,0.8125,0.3125,0.5,0.3505,1.0
2022,2022-04-15,6,21,0.931,0.381,0.55,0.402,1.0
2022,2022-04-16,7,25,0.9217,0.4,0.5217,0.4006,1.0
2022,2022-04-17,8,29,0.7893,0.3448,0.4444,0.3453,1.0
2022,2022-04-18,9,30,0.7778,0.3333,0.4444,0.3338,1.0
2022,2022-04-19,10,35,0.8553,0.3714,0.4839,0.3671,1.0
2022,2022-04-20,11,36,0.8299,0.3611,0.4688,0.3569,1.0
2022,2022-04-21,12,40,0.7944,0.35,0.4444,0.3433,1.0
2022,2022-04-22,13,44,0.7995,0.3636,0.4359,0.3479,1.0
2022,2022-04-23,14,49,0.8854,0.4082,0.4773,0.3845,1.0
2022,2022-04-24,15,54,0.8657,0.4074,0.4583,0.3781,1.0
2022,2022-04-26,16,55,0.8765,0.4182,0.4583,0.3837,1.0
2022,2022-04-27,17,59,0.8853,0.4237,0.4615,0.3877,1.0
2022,2022-04-28,18,64,0.8117,0.3906,0.4211,0.3574,1.0
2022,2022-04-29,19,68,0.7611,0.3676,0.3934,0.3364,1.0
2022,2022-04-30,20,70,0.7683,0.3714,0.3968,0.3394,1.0
2022,2022-05-01,21,74,0.7245,0.3514,0.3731,0.321,1.0
2022,2022-05-02,22,78,0.7124,0.3462,0.3662,0.3159,1.0
2022,2022-05-04,23,82,0.7357,0.3659,0.3699,0.3281,1.0
2022,2022-05-12,24,86,0.7785,0.3837,0.3947,0.3458,1.0
2022,2022-05-13,25,91,0.7644,0.3846,0.3797,0.3423,1.0
2022,2022-05-14,26,96,0.7664,0.3854,0.381,0.3428,1.0
2022,2022-05-15,27,100,0.7837,0.4,0.3837,0.3517,1.0
2022,2022-05-16,28,102,0.7883,0.402,0.3864,0.3535,1.0
2022,2022-05-17,29,107,0.7755,0.4019,0.3736,0.3499,1.0
2022,2022-05-18,30,113,0.8222,0.4159,0.4062,0.3675,1.0
2022,2022-05-20,31,116,0.7991,0.4052,0.3939,0.358,1.0
2022,2022-05-21,32,121,0.8234,0.4215,0.402,0.3692,1.0
2022,2022-05-22,33,126,0.8398,0.4286,0.4112,0.3756,1.0
2022,2022-05-23,34,130,0.8682,0.4462,0.422,0.3883,1.0
2022,2022-05-24,35,134,0.8725,0.4478,0.4248,0.3899,1.0
2022,2022-05-25,36,139,0.8541,0.4388,0.4153,0.3822,1.0
2022,2022-05-26,37,143,0.8538,0.4406,0.4132,0.3825,1.0
2022,2022-05-27,38,149,0.8557,0.443,0.4127,0.3836,1.0
2022,2022-05-28,39,154,0.8679,0.4481,0.4198,0.3884,1.0
2022,2022-05-29,40,158,0.8716,0.4494,0.4222,0.3897,1.0
2022,2022-05-30,41,163,0.8651,0.4479,0.4173,0.3874,1.0
2022,2022-05-31,42,172,0.8415,0.436,0.4054,0.3774,1.0
2022,2022-06-02,43,177,0.8159,0.4237,0.3922,0.3668,1.0
2022,2022-06-03,44,179,0.8181,0.4246,0.3935,0.3676,1.0
2022,2022-06-04,45,183,0.8186,0.4262,0.3924,0.3683,1.0
2022,2022-06-05,46,188,0.8489,0.4415,0.4074,0.381,1.0
2022,2022-06-07,47,192,0.8523,0.4427,0.4096,0.3823,1.0
2022,2022-06-09,48,197,0.8652,0.4416,0.4235,0.3866,2.0
2022,2022-06-10,49,202,0.8635,0.4406,0.4229,0.3858,2.0
2022,2022-06-11,50,207,0.8889,0.4444,0.4444,0.395,3.0
2022,2022-06-12,51,211,0.8708,0.436,0.4348,0.3875,3.0
2022,2022-06-13,52,216,0.876,0.4398,0.4362,0.3899,3.0
2022,2022-06-14,53,220,0.8589,0.4318,0.4271,0.3828,3.0
2022,2022-06-15,54,224,0.8587,0.433,0.4256,0.383,3.0
2022,2022-06-17,55,228,0.8664,0.4342,0.4322,0.3857,3.0
2022,2022-06-18,56,231,0.8794,0.4416,0.4378,0.3913,3.0
2022,2022-06-19,57,235,0.8773,0.4383,0.439,0.3901,3.0
2022,2022-06-21,58,240,0.8946,0.4375,0.4571,0.3958,4.0
2022,2022-06-22,59,245,0.8772,0.4286,0.4486,0.3877,4.0
2022,2022-06-23,60,249,0.8621,0.4217,0.4404,0.3815,4.0
2022,2022-06-24,61,253,0.8593,0.4229,0.4364,0.3809,4.0
2022,2022-06-25,62,258,0.8625,0.4225,0.44,0.3819,4.0
2022,2022-06-26,63,262,0.8647,0.4237,0.441,0.3828,4.0
2022,2022-06-27,64,267,0.8586,0.4232,0.4353,0.3808,4.0
2022,2022-06-28,65,277,0.8622,0.4224,0.4398,0.3817,4.0
2022,2022-06-29,66,282,0.8458,0.4149,0.4309,0.3749,4.0
2022,2022-06-30,67,286,0.8481,0.4161,0.432,0.3758,4.0
2022,2022-07-01,68,290,0.8542,0.4172,0.437,0.3781,4.0
2022,2022-07-02,69,294,0.8641,0.4184,0.4457,0.3815,4.0
2022,2022-07-03,70,298,0.8589,0.4161,0.4427,0.3793,4.0
2022,2022-07-04,71,303,0.8723,0.4191,0.4532,0.3843,4.0
2022,2022-07-05,72,308,0.8641,0.4156,0.4485,0.3809,4.0
2022,2022-07-06,73,313,0.8766,0.4217,0.4549,0.3862,4.0
2022,2022-07-08,74,318,0.8769,0.4214,0.4555,0.3862,4.0
2022,2022-07-09,75,319,0.8806,0.4232,0.4574,0.3878,4.0
2022,2022-07-10,76,324,0.8661,0.4167,0.4495,0.3818,4.0
2022,2022-07-12,77,329,0.8666,0.4164,0.4502,0.3819,4.0
2022,2022-07-13,78,331,0.8625,0.4139,0.4486,0.3796,4.0
2022,2022-07-14,79,336,0.8552,0.4107,0.4444,0.3766,4.0
2022,2022-07-15,80,340,0.8551,0.4118,0.4433,0.3768,4.0
2022,2022-07-16,81,344,0.8605,0.4099,0.4507,0.3784,5.0
2022,2022-07-17,82,348,0.85,0.4052,0.4448,0.3741,5.0
2022,2022-07-23,83,353,0.8552,0.4079,0.4473,0.3763,5.0
2022,2022-07-24,84,358,0.8526,0.4078,0.4448,0.3754,5.0
2022,2022-07-26,85,360,0.8476,0.4056,0.442,0.3733,5.0
2022,2022-07-27,86,365,0.8352,0.4,0.4352,0.3682,5.0
2022,2022-07-29,87,368,0.8395,0.4022,0.4373,0.37,5.0
2022,2022-07-30,88,373,0.8332,0.3995,0.4337,0.3674,5.0
2022,2022-07-31,89,377,0.8384,0.3979,0.4405,0.369,6.0
2022,2022-08-01,90,382,0.8322,0.3953,0.437,0.3665,6.0
2022,2022-08-02,91,387,0.8263,0.3928,0.4335,0.3641,6.0
2022,2022-08-04,92,391,0.8173,0.3887,0.4286,0.3604,6.0
2022,2022-08-05,93,396,0.8064,0.3838,0.4225,0.3558,6.0
2022,2022-08-06,94,401,0.8171,0.3865,0.4306,0.3599,6.0
2022,2022-08-07,95,406,0.8248,0.3892,0.4356,0.3629,6.0
2022,2022-08-10,96,411,0.8386,0.3942,0.4444,0.3684,6.0
2022,2022-08-12,97,415,0.8351,0.3928,0.4424,0.367,6.0
2022,2022-08-13,98,420,0.8432,0.3976,0.4456,0.3706,6.0
2022,2022-08-14,99,424,0.8348,0.3939,0.4409,0.3671,6.0
2022,2022-08-15,100,429,0.8329,0.3939,0.439,0.3665,6.0
2022,2022-08-16,101,434,0.8399,0.3963,0.4436,0.3692,6.0
2022,2022-08-17,102,438,0.8366,0.395,0.4416,0.3679,6.0
2022,2022-08-19,103,442,0.8443,0.3959,0.4484,0.3708,7.0
2022,2022-08-20,104,447,0.839,0.3937,0.4453,0.3686,7.0
2022,2022-08-21,105,451,0.8311,0.3902,0.4409,0.3654,7.0
2022,2022-08-22,106,455,0.8234,0.3868,0.4366,0.3622,7.0
2022,2022-08-23,107,459,0.819,0.3856,0.4334,0.3605,7.0
2022,2022-08-24,108,463,0.8217,0.3866,0.4351,0.3616,7.0
2022,2022-08-25,109,467,0.8153,0.3833,0.432,0.3585,7.0
2022,2022-08-27,110,472,0.8093,0.3814,0.4279,0.3562,7.0
2022,2022-08-28,111,477,0.8047,0.3795,0.4252,0.3543,7.0
2022,2022-08-29,112,481,0.8095,0.3825,0.4269,0.3564,7.0
2022,2022-08-30,113,486,0.805,0.3807,0.4243,0.3546,7.0
2022,2022-08-31,114,491,0.8084,0.3788,0.4295,0.3552,8.0
2022,2022-09-02,115,496,0.8105,0.379,0.4315,0.356,8.0
2022,2022-09-03,116,500,0.8078,0.378,0.4298,0.3549,8.0
2022,2022-09-04,117,505,0.8036,0.3762,0.4273,0.3531,8.0
2022,2022-09-05,118,509,0.7969,0.3733,0.4236,0.3503,8.0
2022,2022-09-07,119,520,0.7962,0.3731,0.4231,0.3501,8.0
2022,2022-09-09,120,525,0.7943,0.3714,0.4228,0.3491,8.0
2022,2022-09-10,121,530,0.8025,0.3736,0.4289,0.3523,8.0
2022,2022-09-11,122,534,0.8,0.3727,0.4274,0.3513,8.0
2022,2022-09-13,123,538,0.8076,0.3755,0.4321,0.3543,8.0
2022,2022-09-14,124,539,0.8099,0.3766,0.4333,0.3553,8.0
2022,2022-09-15,125,540,0.8083,0.3759,0.4324,0.3546,8.0
2022,2022-09-16,126,544,0.8059,0.375,0.4309,0.3537,8.0
2022,2022-09-17,127,549,0.7981,0.3716,0.4266,0.3504,8.0
2022,2022-09-18,128,554,0.7981,0.3718,0.4263,0.3505,8.0
2022,2022-09-19,129,558,0.7985,0.3728,0.4257,0.3508,8.0
2022,2022-09-20,130,563,0.791,0.3694,0.4216,0.3477,8.0
2022,2022-09-21,131,564,0.7895,0.3688,0.4207,0.3471,8.0
2022,2022-09-22,132,568,0.7874,0.368,0.4194,0.3462,8.0
2022,2022-09-23,133,573,0.7838,0.3665,0.4173,0.3447,8.0
2022,2022-09-24,134,577,0.7854,0.3674,0.4179,0.3454,8.0
