player_name,game_year,plate_apps,walks,strikeouts,bbrate,krate,k_free,bb_per_k,bb_minus_k,obp,ops,woba,obp_per_k
"Bohm, Alec",2020,180,16,36,0.08888888888888889,0.2,False,0.4444444444444444,-0.11111111111111112,0.4,0.8812500000000001,0.38117222222222225,2.0
"Bohm, Alec",2021,417,31,111,0.07434052757793765,0.26618705035971224,False,0.27927927927927926,-0.1918465227817746,0.30455635491606714,0.6466616180739619,0.2850431654676259,1.144144144144144
"Bohm, Alec",2022,695,33,126,0.04748201438848921,0.18129496402877698,False,0.2619047619047619,-0.13381294964028778,0.3107913669064748,0.704589816518878,0.30682158273381294,1.7142857142857142
"Bohm, Alec",2023,663,47,103,0.07088989441930618,0.15535444947209653,False,0.4563106796116505,-0.08446455505279035,0.3273001508295626,0.7594193561275758,0.32834841628959277,2.1067961165048543
"Bohm, Alec",2024,619,39,86,0.0630048465266559,0.13893376413570274,False,0.45348837209302323,-0.07592891760904684,0.3247172859450727,0.7630975676352136,0.3297043618739903,2.3372093023255816
"Bohm, Alec",2025,520,33,83,0.06346153846153846,0.1596153846153846,False,0.39759036144578314,-0.09615384615384615,0.33653846153846156,0.7441014867485456,0.32445769230769234,2.1084337349397595
"Bohm, Alec",2026,481,31,68,0.06444906444906445,0.14137214137214138,False,0.45588235294117646,-0.07692307692307693,0.288981288981289,0.6482490235350648,0.2861125,2.0441176470588234
"Bour, Justin",2018,54,4,13,0.07407407407407407,0.24074074074074073,False,0.3076923076923077,-0.16666666666666666,0.2962962962962963,0.6432350718065003,0.28540740740740744,1.2307692307692308
"Bourjos, Peter",2016,383,15,91,0.0391644908616188,0.23759791122715404,False,0.16483516483516483,-0.19843342036553524,0.2917771883289125,0.6805095826951096,0.29118133333333335,1.2280292651645437
"Brown, Domonic",2015,204,14,36,0.06862745098039216,0.17647058823529413,False,0.3888888888888889,-0.10784313725490197,0.28431372549019607,0.6335200746965453,0.27991176470588236,1.611111111111111
"Bruce, Jay",2019,149,3,29,0.020134228187919462,0.19463087248322147,False,0.10344827586206896,-0.174496644295302,0.2348993288590604,0.7452441564452673,0.30088590604026844,1.206896551724138
"Bruce, Jay",2020,102,6,24,0.058823529411764705,0.23529411764705882,False,0.25,-0.1764705882352941,0.24509803921568626,0.7138480392156863,0.2972254901960784,1.0416666666666667
"Burriss, Emmanuel",2016,50,2,10,0.04,0.2,False,0.2,-0.16,0.1836734693877551,0.3614512471655329,0.16875510204081634,0.9183673469387755
"Cabrera, Asdrúbal",2018,185,12,38,0.06486486486486487,0.20540540540540542,False,0.3157894736842105,-0.14054054054054055,0.2864864864864865,0.6782993519835625,0.29495135135135137,1.394736842105263
"Camargo, Johan",2022,166,13,37,0.0783132530120482,0.22289156626506024,False,0.35135135135135137,-0.14457831325301204,0.296969696969697,0.6127591706539075,0.2756121212121212,1.3323505323505325
"Castellanos, Nick",2022,627,32,148,0.051036682615629984,0.23604465709728867,False,0.21621621621621623,-0.18500797448165868,0.2966507177033493,0.670165148942738,0.29451196172248806,1.2567567567567568
"Castellanos, Nick",2023,721,38,199,0.052704576976421634,0.27600554785020803,False,0.19095477386934673,-0.2233009708737864,0.3065187239944521,0.7894310568324907,0.33443966712898754,1.1105527638190955
"Castellanos, Nick",2024,676,39,141,0.057692307692307696,0.20857988165680474,False,0.2765957446808511,-0.15088757396449703,0.3106508875739645,0.7458508875739644,0.32317899408284023,1.4893617021276593
"Castellanos, Nick",2025,605,32,136,0.05289256198347107,0.22479338842975208,False,0.23529411764705882,-0.17190082644628102,0.2892561983471074,0.68534856069169,0.29647438016528926,1.2867647058823528
"Cave, Jake",2023,206,15,56,0.07281553398058252,0.27184466019417475,False,0.26785714285714285,-0.19902912621359223,0.2731707317073171,0.6261119081779054,0.27329756097560975,1.0048780487804878
"Clemens, Kody",2023,148,8,40,0.05405405405405406,0.2702702702702703,False,0.2,-0.21621621621621623,0.27702702702702703,0.6439335018471709,0.2808175675675676,1.025
"Clemens, Kody",2024,125,5,31,0.04,0.248,False,0.16129032258064516,-0.208,0.264,0.717781512605042,0.305976,1.0645161290322582
"Crawford, J.P.",2017,87,16,22,0.1839080459770115,0.25287356321839083,False,0.7272727272727273,-0.06896551724137934,0.3563218390804598,0.6563218390804597,0.30273563218390803,1.409090909090909
"Crawford, J.P.",2018,137,13,37,0.0948905109489051,0.27007299270072993,False,0.35135135135135137,-0.17518248175182483,0.31851851851851853,0.7116809116809117,0.31347407407407407,1.1793793793793794
"Crawford, Justin",2026,362,21,67,0.058011049723756904,0.1850828729281768,False,0.31343283582089554,-0.1270718232044199,0.31197771587743733,0.6633290672287887,0.29461838440111415,1.685610942501975
"Dahl, David",2024,63,3,21,0.047619047619047616,0.3333333333333333,False,0.14285714285714285,-0.2857142857142857,0.23809523809523808,0.6279257465698144,0.2682380952380952,0.7142857142857143
"Dickerson, Corey",2019,137,3,33,0.021897810218978103,0.24087591240875914,False,0.09090909090909091,-0.21897810218978103,0.30656934306569344,0.8855167114867462,0.36020437956204376,1.2727272727272727
"Eflin, Zach",2018,50,0,31,0.0,0.62,False,0.0,-0.62,0.09090909090909091,0.25,0.10615909090909091,0.1466275659824047
"Eflin, Zach",2019,52,0,27,0.0,0.5192307692307693,False,0.0,-0.5192307692307693,0.16,0.33999999999999997,0.14614000000000002,0.3081481481481481
"Eickhoff, Jerad",2016,62,1,12,0.016129032258064516,0.1935483870967742,False,0.08333333333333333,-0.1774193548387097,0.14516129032258066,0.3254891591750397,0.14204838709677417,0.7500000000000001
"Florimón, Pedro",2018,76,5,30,0.06578947368421052,0.39473684210526316,False,0.16666666666666666,-0.32894736842105265,0.27631578947368424,0.6988510007412898,0.2991052631578947,0.7000000000000001
"Franco, Maikel",2015,335,24,52,0.07164179104477612,0.15522388059701492,False,0.46153846153846156,-0.0835820895522388,0.34328358208955223,0.8399941084053417,0.3597117117117117,2.2115384615384617
"Franco, Maikel",2016,630,33,106,0.05238095238095238,0.16825396825396827,False,0.3113207547169811,-0.11587301587301588,0.30634920634920637,0.7331994645247657,0.3111396468699839,1.820754716981132
"Franco, Maikel",2017,620,38,95,0.06129032258064516,0.1532258064516129,False,0.4,-0.09193548387096775,0.27741935483870966,0.6861150070126227,0.29191290322580643,1.8105263157894735
"Franco, Maikel",2018,458,22,62,0.048034934497816595,0.13537117903930132,False,0.3548387096774194,-0.08733624454148473,0.3034934497816594,0.7700061518601813,0.328382096069869,2.2419354838709675
"Franco, Maikel",2019,409,17,61,0.04156479217603912,0.1491442542787286,False,0.2786885245901639,-0.10757946210268948,0.26405867970660146,0.6727990396037737,0.2811466992665036,1.7704918032786885
"Francoeur, Jeff",2015,343,13,77,0.037900874635568516,0.22448979591836735,False,0.16883116883116883,-0.18658892128279883,0.2857142857142857,0.7182296231375986,0.308332361516035,1.2727272727272727
"Galvis, Freddy",2015,603,29,103,0.04809286898839138,0.17081260364842454,False,0.2815533980582524,-0.12271973466003316,0.30201342281879195,0.6454839058241586,0.28350756302521013,1.7680979996090442
"Galvis, Freddy",2016,624,19,136,0.030448717948717948,0.21794871794871795,False,0.13970588235294118,-0.1875,0.27435064935064934,0.6733232520903754,0.2842081967213115,1.258785332314744
"Galvis, Freddy",2017,661,43,111,0.06505295007564296,0.16792738275340394,False,0.38738738738738737,-0.10287443267776097,0.30652503793626706,0.6881039853046882,0.29773444613050076,1.825342793476329
"Galvis, Freddy",2021,120,9,19,0.075,0.15833333333333333,False,0.47368421052631576,-0.08333333333333333,0.2916666666666667,0.684190031152648,0.29580833333333334,1.842105263157895
"García, Adolis",2026,259,21,84,0.08108108108108109,0.32432432432432434,False,0.25,-0.24324324324324326,0.2702702702702703,0.5992745992745994,0.26770656370656365,0.8333333333333334
"Goeddel, Tyler",2016,234,17,52,0.07264957264957266,0.2222222222222222,False,0.3269230769230769,-0.14957264957264954,0.2575107296137339,0.5485905418203066,0.244206008583691,1.1587982832618027
"Gosselin, Phil",2019,68,3,16,0.04411764705882353,0.23529411764705882,False,0.1875,-0.19117647058823528,0.29411764705882354,0.6018099547511313,0.26325,1.25
"Gosselin, Phil",2020,101,9,27,0.0891089108910891,0.26732673267326734,False,0.3333333333333333,-0.17821782178217824,0.31683168316831684,0.7190055962117952,0.3134950495049505,1.1851851851851851
"Gregorius, Didi",2020,234,12,28,0.05128205128205128,0.11965811965811966,False,0.42857142857142855,-0.06837606837606838,0.33047210300429186,0.8188441960275477,0.3477381974248927,2.7618025751072963
"Gregorius, Didi",2021,407,24,67,0.05896805896805897,0.16461916461916462,False,0.3582089552238806,-0.10565110565110565,0.2678132678132678,0.6373784852045721,0.274980343980344,1.626865671641791
"Gregorius, Didi",2022,232,13,36,0.05603448275862069,0.15517241379310345,False,0.3611111111111111,-0.09913793103448276,0.2629310344827586,0.5666693522397679,0.2514913793103448,1.6944444444444444
"Hall, Darick",2022,142,5,44,0.035211267605633804,0.30985915492957744,False,0.11363636363636363,-0.27464788732394363,0.28169014084507044,0.8037489643744822,0.3425774647887324,0.9090909090909092
"Hall, Darick",2023,56,2,18,0.03571428571428571,0.32142857142857145,False,0.1111111111111111,-0.28571428571428575,0.19642857142857142,0.43716931216931215,0.19323214285714285,0.611111111111111
"Harang, Aaron",2015,58,1,18,0.017241379310344827,0.3103448275862069,False,0.05555555555555555,-0.2931034482758621,0.1836734693877551,0.3711734693877551,0.16551020408163264,0.5918367346938775
"Harper, Bryce",2019,671,88,178,0.13114754098360656,0.26527570789865873,False,0.4943820224719101,-0.13412816691505217,0.3621460506706408,0.8717446545100824,0.36552160953800295,1.3651685393258426
"Harper, Bryce",2020,236,41,43,0.17372881355932204,0.18220338983050846,False,0.9534883720930233,-0.008474576271186418,0.4,0.9421052631578948,0.3997489361702128,2.1953488372093024
"Harper, Bryce",2021,585,86,134,0.147008547008547,0.22905982905982905,False,0.6417910447761194,-0.08205128205128204,0.41509433962264153,1.0298484379832973,0.43098799313893654,1.8121655871585471
"Harper, Bryce",2022,487,42,101,0.08624229979466119,0.20739219712525667,False,0.4158415841584158,-0.12114989733059547,0.35802469135802467,0.9053688022125281,0.3855843621399177,1.7263170761520596
"Harper, Bryce",2023,591,83,130,0.1404399323181049,0.21996615905245348,False,0.6384615384615384,-0.07952622673434859,0.39593908629441626,0.9069611303825926,0.3902148900169204,1.8
"Harper, Bryce",2024,637,70,143,0.10989010989010989,0.22448979591836735,False,0.48951048951048953,-0.11459968602825746,0.3663522012578616,0.8966013115781463,0.3840377358490566,1.631932532875929
"Harper, Bryce",2025,592,67,124,0.11317567567567567,0.20945945945945946,False,0.5403225806451613,-0.09628378378378379,0.34966216216216217,0.8302823172009219,0.3584662162162162,1.6693548387096775
"Harper, Bryce",2026,523,82,111,0.15678776290630975,0.21223709369024857,False,0.7387387387387387,-0.05544933078393882,0.372848948374761,0.8681977855840634,0.3738192307692307,1.7567567567567568
"Harrison, Josh",2023,114,3,20,0.02631578947368421,0.17543859649122806,False,0.15,-0.14912280701754385,0.2631578947368421,0.5544200306591722,0.24835087719298243,1.5
"Haseley, Adam",2019,241,13,60,0.05394190871369295,0.24896265560165975,False,0.21666666666666667,-0.1950207468879668,0.32083333333333336,0.7172297297297298,0.3087625,1.2886805555555556
"Haseley, Adam",2020,91,6,17,0.06593406593406594,0.18681318681318682,False,0.35294117647058826,-0.12087912087912088,0.3409090909090909,0.682681242807825,0.305125,1.8248663101604277
"Hays, Austin",2024,84,0,22,0.0,0.2619047619047619,False,0.0,-0.2619047619047619,0.2619047619047619,0.6399535423925669,0.27709523809523806,1.0
"Hellickson, Jeremy",2016,66,4,24,0.06060606060606061,0.36363636363636365,False,0.16666666666666666,-0.30303030303030304,0.22413793103448276,0.40932311621966794,0.19017241379310346,0.6163793103448276
"Hernández, César",2015,452,39,86,0.08628318584070796,0.1902654867256637,False,0.45348837209302323,-0.10398230088495575,0.3392857142857143,0.6874338624338625,0.30576062639821033,1.7832225913621265
"Hernández, César",2016,622,62,116,0.09967845659163987,0.1864951768488746,False,0.5344827586206896,-0.08681672025723472,0.3711507293354943,0.7642037457888764,0.33468352365415993,1.9901358072989437
"Hernández, César",2017,576,60,104,0.10416666666666667,0.18055555555555555,False,0.5769230769230769,-0.07638888888888888,0.3715277777777778,0.7922714176994998,0.3458836805555555,2.057692307692308
"Hernández, César",2018,704,91,155,0.12926136363636365,0.22017045454545456,False,0.5870967741935483,-0.09090909090909091,0.352773826458037,0.7147572975324172,0.32030440967283075,1.602275960170697
"Hernández, César",2019,663,41,100,0.06184012066365008,0.15082956259426847,False,0.41,-0.08898944193061839,0.3288084464555053,0.7373051784816491,0.31536651583710407,2.18
"Herrera, Odúbel",2015,537,28,129,0.0521415270018622,0.24022346368715083,False,0.21705426356589147,-0.18808193668528864,0.34398496240601506,0.7621667805878332,0.33336090225563914,1.4319374016436441
"Herrera, Odúbel",2016,656,56,134,0.08536585365853659,0.20426829268292682,False,0.417910447761194,-0.11890243902439022,0.36085626911314983,0.7810964063344191,0.33770170015455947,1.7665799443151218
"Herrera, Odúbel",2017,560,27,126,0.048214285714285716,0.225,False,0.21428571428571427,-0.1767857142857143,0.3196428571428571,0.7712557603686636,0.32817142857142856,1.4206349206349205
"Herrera, Odúbel",2018,594,35,122,0.058922558922558925,0.2053872053872054,False,0.28688524590163933,-0.14646464646464646,0.30743243243243246,0.7274324324324324,0.3155050675675676,1.49684315463004
"Herrera, Odúbel",2019,139,11,33,0.07913669064748201,0.23741007194244604,False,0.3333333333333333,-0.15827338129496404,0.28776978417266186,0.6290396254425031,0.27243165467625896,1.2121212121212122
"Herrera, Odúbel",2021,492,29,77,0.05894308943089431,0.1565040650406504,False,0.37662337662337664,-0.09756097560975609,0.31020408163265306,0.7257596371882087,0.3124204081632653,1.9820832228995495
"Herrera, Odúbel",2022,197,11,42,0.05583756345177665,0.2131979695431472,False,0.2619047619047619,-0.15736040609137056,0.27918781725888325,0.6575661956372616,0.28692893401015224,1.3095238095238095
"Hill, Derek",2026,84,4,32,0.047619047619047616,0.38095238095238093,False,0.125,-0.3333333333333333,0.2891566265060241,0.7575110568857709,0.3263734939759036,0.7590361445783133
"Hoskins, Rhys",2017,211,36,46,0.17061611374407584,0.21800947867298578,False,0.782608695652174,-0.04739336492890994,0.3933649289099526,1.011011987733482,0.41727014218009484,1.8043478260869565
"Hoskins, Rhys",2018,658,85,150,0.12917933130699089,0.22796352583586627,False,0.5666666666666667,-0.09878419452887538,0.3515981735159817,0.8480139441253007,0.3634246575342466,1.5423439878234397
"Hoskins, Rhys",2019,699,110,173,0.15736766809728184,0.2474964234620887,False,0.6358381502890174,-0.09012875536480686,0.3586800573888092,0.8130660223010899,0.34693687230989956,1.4492332954611424
"Hoskins, Rhys",2020,185,29,43,0.15675675675675677,0.23243243243243245,False,0.6744186046511628,-0.07567567567567568,0.3837837837837838,0.8870950420619295,0.3823621621621621,1.6511627906976745
"Hoskins, Rhys",2021,443,47,108,0.10609480812641084,0.24379232505643342,False,0.4351851851851852,-0.13769751693002258,0.3340857787810384,0.8636487607861798,0.3645620767494357,1.3703703703703705
"Hoskins, Rhys",2022,745,76,193,0.10201342281879194,0.25906040268456376,False,0.39378238341968913,-0.15704697986577182,0.31989247311827956,0.7788590384678236,0.33818279569892473,1.2348180957156387
"Howard, Ryan",2015,502,25,138,0.049800796812749,0.2749003984063745,False,0.18115942028985507,-0.22509960159362546,0.27689243027888444,0.7201472482660365,0.30770400000000003,1.0072463768115942
"Howard, Ryan",2016,363,25,114,0.06887052341597796,0.3140495867768595,False,0.21929824561403508,-0.24517906336088155,0.256198347107438,0.7080055760231007,0.2967617728531856,0.8157894736842104
"Jankowski, Travis",2021,153,18,29,0.11764705882352941,0.1895424836601307,False,0.6206896551724138,-0.0718954248366013,0.3466666666666667,0.6978117048346055,0.31246,1.8289655172413795
"Joseph, Tommy",2016,347,22,75,0.06340057636887608,0.21613832853025935,False,0.29333333333333333,-0.15273775216138327,0.30835734870317005,0.8131192534650749,0.34161671469740634,1.4266666666666667
"Joseph, Tommy",2017,532,32,129,0.06015037593984962,0.2424812030075188,False,0.24806201550387597,-0.18233082706766918,0.287593984962406,0.7199172172856383,0.30547180451127826,1.1860465116279069
"Joyce, Matt",2021,67,10,16,0.14925373134328357,0.23880597014925373,False,0.625,-0.08955223880597016,0.23880597014925373,0.4569877883310719,0.2187462686567164,1.0
"Kelly, Ty",2017,104,8,24,0.07692307692307693,0.23076923076923078,False,0.3333333333333333,-0.15384615384615385,0.26,0.6009090909090908,0.25867,1.1266666666666667
"Kemp, Otto",2025,220,12,69,0.05454545454545454,0.31363636363636366,False,0.17391304347826086,-0.2590909090909091,0.29545454545454547,0.7024897213339425,0.3055818181818182,0.9420289855072463
"Kendrick, Howie",2017,156,11,30,0.07051282051282051,0.19230769230769232,False,0.36666666666666664,-0.1217948717948718,0.3974358974358974,0.8513366066557555,0.36928846153846157,2.0666666666666664
"Kepler, Max",2025,487,48,95,0.09856262833675565,0.19507186858316222,False,0.5052631578947369,-0.09650924024640657,0.2962962962962963,0.6869939707149009,0.3006008230452675,1.5189083820662768
"Kim, Hyun Soo",2017,96,9,19,0.09375,0.19791666666666666,False,0.47368421052631576,-0.10416666666666666,0.3020833333333333,0.600933908045977,0.2695,1.5263157894736843
"Kingery, Scott",2018,483,23,126,0.047619047619047616,0.2608695652173913,False,0.18253968253968253,-0.21325051759834368,0.2650103519668737,0.6035059271881127,0.2625983436853002,1.015873015873016
"Kingery, Scott",2019,499,33,147,0.06613226452905811,0.29458917835671344,False,0.22448979591836735,-0.22845691382765532,0.3132530120481928,0.7870521386857474,0.32889357429718874,1.0633554626669945
"Kingery, Scott",2020,124,9,35,0.07258064516129033,0.28225806451612906,False,0.2571428571428571,-0.20967741935483875,0.22764227642276422,0.5108281171307288,0.22744715447154473,0.8065040650406503
"Knapp, Andrew",2017,201,27,56,0.13432835820895522,0.27860696517412936,False,0.48214285714285715,-0.14427860696517414,0.35323383084577115,0.719512900613213,0.31901990049751244,1.2678571428571428
"Knapp, Andrew",2018,214,23,75,0.10747663551401869,0.35046728971962615,False,0.30666666666666664,-0.24299065420560745,0.29107981220657275,0.606587833596947,0.2726384976525822,0.8305477308294209
"Knapp, Andrew",2019,158,16,51,0.10126582278481013,0.3227848101265823,False,0.3137254901960784,-0.22151898734177217,0.3096774193548387,0.6332068311195447,0.28187096774193554,0.9593927893738141
"Knapp, Andrew",2020,89,15,19,0.16853932584269662,0.21348314606741572,False,0.7894736842105263,-0.0449438202247191,0.4044943820224719,0.8489388264669163,0.3725842696629213,1.894736842105263
"Knapp, Andrew",2021,159,10,61,0.06289308176100629,0.3836477987421384,False,0.16393442622950818,-0.3207547169811321,0.21518987341772153,0.4289829768659974,0.1965,0.5609047520232413
"Lough, David",2016,79,8,8,0.10126582278481013,0.10126582278481013,False,1.0,0.0,0.34177215189873417,0.6552049877196298,0.2923205128205128,3.375
"Marchán, Rafael",2021,56,4,10,0.07142857142857142,0.17857142857142858,False,0.4,-0.10714285714285715,0.2857142857142857,0.6318681318681318,0.2767142857142857,1.5999999999999999
"Marchán, Rafael",2024,56,3,8,0.05357142857142857,0.14285714285714285,False,0.375,-0.08928571428571427,0.34545454545454546,0.8944741532976828,0.3819818181818182,2.4181818181818184
"Marchán, Rafael",2025,119,10,17,0.08403361344537816,0.14285714285714285,False,0.5882352941176471,-0.05882352941176469,0.2796610169491525,0.5815478094019827,0.2612372881355932,1.9576271186440677
"Marchán, Rafael",2026,92,2,14,0.021739130434782608,0.15217391304347827,False,0.14285714285714285,-0.13043478260869568,0.14130434782608695,0.3117588932806324,0.1430978260869565,0.9285714285714285
"Marsh, Brandon",2022,183,10,58,0.0546448087431694,0.31693989071038253,False,0.1724137931034483,-0.26229508196721313,0.3076923076923077,0.7521367521367521,0.32575824175824175,0.9708222811671088
"Marsh, Brandon",2023,511,60,159,0.11741682974559686,0.3111545988258317,False,0.37735849056603776,-0.19373776908023482,0.37058823529411766,0.8343891402714932,0.3611705882352941,1.191009988901221
"Marsh, Brandon",2024,491,50,157,0.10183299389002037,0.319755600814664,False,0.3184713375796178,-0.2179226069246436,0.32040816326530613,0.7268746759673846,0.3176244897959183,1.0020408163265306
"Marsh, Brandon",2025,441,38,115,0.08616780045351474,0.26077097505668934,False,0.33043478260869563,-0.1746031746031746,0.3318077803203661,0.7607417904726503,0.3294988558352403,1.2724107054024476
"Marsh, Brandon",2026,465,24,118,0.05161290322580645,0.2537634408602151,False,0.2033898305084746,-0.20215053763440863,0.3204301075268817,0.7635855599630766,0.3283101952277657,1.2627118644067796
"Maton, Nick",2021,131,10,39,0.07633587786259542,0.29770992366412213,False,0.2564102564102564,-0.2213740458015267,0.3230769230769231,0.7076923076923077,0.30938461538461537,1.085207100591716
"Maton, Nick",2022,86,10,29,0.11627906976744186,0.3372093023255814,False,0.3448275862068966,-0.22093023255813954,0.3372093023255814,0.8440586173940745,0.3596860465116279,1.0
"McCutchen, Andrew",2019,262,43,55,0.16412213740458015,0.2099236641221374,False,0.7818181818181819,-0.045801526717557245,0.37786259541984735,0.8344835999860574,0.35844656488549614,1.8000000000000003
"McCutchen, Andrew",2020,241,22,48,0.0912863070539419,0.1991701244813278,False,0.4583333333333333,-0.10788381742738588,0.3236514522821577,0.7568311757844619,0.32707883817427386,1.6250000000000002
"McCutchen, Andrew",2021,572,79,132,0.1381118881118881,0.23076923076923078,False,0.5984848484848485,-0.09265734265734268,0.3321678321678322,0.7761512346574587,0.3347307692307692,1.4393939393939394
"Merrifield, Whit",2024,175,15,19,0.08571428571428572,0.10857142857142857,False,0.7894736842105263,-0.022857142857142854,0.27586206896551724,0.5688556995387657,0.2575689655172414,2.540834845735027
"Miller, Brad",2019,130,11,35,0.08461538461538462,0.2692307692307692,False,0.3142857142857143,-0.1846153846153846,0.33076923076923076,0.9409387222946546,0.38322307692307694,1.2285714285714286
"Miller, Brad",2021,375,43,112,0.11466666666666667,0.2986666666666667,False,0.38392857142857145,-0.18400000000000002,0.31733333333333336,0.7705055387713998,0.3314586666666666,1.0625
"Moniak, Mickey",2022,50,3,19,0.06,0.38,False,0.15789473684210525,-0.32,0.1836734693877551,0.33584738243123335,0.15812244897959185,0.4833512352309345
"Muñoz, Yairo",2022,60,3,10,0.05,0.16666666666666666,False,0.3,-0.11666666666666665,0.25,0.6535087719298245,0.2832166666666666,1.5
"Nava, Daniel",2017,214,26,38,0.12149532710280374,0.17757009345794392,False,0.6842105263157895,-0.05607476635514018,0.3925233644859813,0.8132883918083857,0.3567710280373832,2.210526315789474
"Nola, Aaron",2017,54,4,25,0.07407407407407407,0.46296296296296297,False,0.16,-0.3888888888888889,0.15384615384615385,0.23717948717948717,0.12076923076923075,0.3323076923076923
"Nola, Aaron",2018,70,1,36,0.014285714285714285,0.5142857142857142,False,0.027777777777777776,-0.49999999999999994,0.06349206349206349,0.12800819252432155,0.05868253968253968,0.1234567901234568
"Nola, Aaron",2019,70,6,35,0.08571428571428572,0.5,False,0.17142857142857143,-0.41428571428571426,0.2,0.3525423728813559,0.16806153846153846,0.4
"Nola, Aaron",2021,63,6,29,0.09523809523809523,0.4603174603174603,False,0.20689655172413793,-0.36507936507936506,0.23214285714285715,0.4158163265306123,0.19698214285714283,0.5043103448275863
"Pache, Cristian",2023,105,13,30,0.12380952380952381,0.2857142857142857,False,0.43333333333333335,-0.16190476190476188,0.3269230769230769,0.7225274725274725,0.31775,1.1442307692307694
"Pache, Cristian",2024,117,13,42,0.1111111111111111,0.358974358974359,False,0.30952380952380953,-0.24786324786324787,0.2905982905982906,0.5624429507924653,0.2568119658119658,0.8095238095238095
"Paredes, Jimmy",2016,150,5,44,0.03333333333333333,0.29333333333333333,False,0.11363636363636363,-0.26,0.24161073825503357,0.5912610879053832,0.25348322147651003,0.8236729713239781
"Perkins, Cameron",2017,97,5,23,0.05154639175257732,0.23711340206185566,False,0.21739130434782608,-0.18556701030927836,0.23711340206185566,0.5098406747891284,0.22495876288659794,1.0
"Quinn, Roman",2016,69,8,19,0.11594202898550725,0.2753623188405797,False,0.42105263157894735,-0.15942028985507245,0.373134328358209,0.7064676616915423,0.3223283582089552,1.3550667714061273
"Quinn, Roman",2018,143,10,35,0.06993006993006994,0.24475524475524477,False,0.2857142857142857,-0.17482517482517484,0.31690140845070425,0.7291151489087195,0.31574647887323937,1.29476861167002
"Quinn, Roman",2019,122,12,34,0.09836065573770492,0.2786885245901639,False,0.35294117647058826,-0.180327868852459,0.2975206611570248,0.6678910315273952,0.28916528925619833,1.0675741370928538
"Quinn, Roman",2020,116,5,39,0.04310344827586207,0.33620689655172414,False,0.1282051282051282,-0.2931034482758621,0.2608695652173913,0.5756843800322061,0.25384347826086956,0.7759197324414715
